Year,SEX,AREA,TIME_DETAIL,Value
2011,Male,West Bank,2011,93.3
2012,Male,West Bank,2012,88.2
2013,Male,West Bank,2013,99.0
2014,Male,West Bank,2014,94.0
2015,Male,West Bank,2015,95.6
2019,Male,West Bank,2019,
2011,Male,Gaza Strip,2011,
2012,Male,Gaza Strip,2012,
2013,Male,Gaza Strip,2013,
2014,Male,Gaza Strip,2014,
2015,Male,Gaza Strip,2015,91.2
2019,Male,Gaza Strip,2019,
2011,Male,Palestine,2011,
2012,Male,Palestine,2012,
2013,Male,Palestine,2013,
2014,Male,Palestine,2014,99.3
2015,Male,Palestine,2015,93.6
2019,Male,Palestine,2019,99.4
2011,Female,West Bank,2011,91.3
2012,Female,West Bank,2012,87.3
2013,Female,West Bank,2013,98.9
2014,Female,West Bank,2014,91.9
2015,Female,West Bank,2015,94.1
2019,Female,West Bank,2019,
2011,Female,Gaza Strip,2011,
2012,Female,Gaza Strip,2012,
2013,Female,Gaza Strip,2013,
2014,Female,Gaza Strip,2014,
2015,Female,Gaza Strip,2015,89.2
2019,Female,Gaza Strip,2019,
2011,Female,Palestine,2011,
2012,Female,Palestine,2012,
2013,Female,Palestine,2013,
2014,Female,Palestine,2014,99.3
2015,Female,Palestine,2015,91.9
2019,Female,Palestine,2019,98.9
2011,Both sexes or no breakdown by sex,West Bank,2011,92.3
2012,Both sexes or no breakdown by sex,West Bank,2012,87.7
2013,Both sexes or no breakdown by sex,West Bank,2013,99.0
2014,Both sexes or no breakdown by sex,West Bank,2014,99.1
2015,Both sexes or no breakdown by sex,West Bank,2015,94.9
2019,Both sexes or no breakdown by sex,West Bank,2019,98.9
2011,Both sexes or no breakdown by sex,Gaza Strip,2011,
2012,Both sexes or no breakdown by sex,Gaza Strip,2012,
2013,Both sexes or no breakdown by sex,Gaza Strip,2013,
2014,Both sexes or no breakdown by sex,Gaza Strip,2014,99.6
2015,Both sexes or no breakdown by sex,Gaza Strip,2015,90.2
2019,Both sexes or no breakdown by sex,Gaza Strip,2019,99.5
2011,Both sexes or no breakdown by sex,Palestine,2011,
2012,Both sexes or no breakdown by sex,Palestine,2012,
2013,Both sexes or no breakdown by sex,Palestine,2013,
2014,Both sexes or no breakdown by sex,Palestine,2014,99.3
2015,Both sexes or no breakdown by sex,Palestine,2015,92.8
2019,Both sexes or no breakdown by sex,Palestine,2019,99.2
