Year,SEX,AREA,EDUCATION,Value
2000,Male,Palestine,Total or no breakdown by education level,
2001,Male,Palestine,Total or no breakdown by education level,
2002,Male,Palestine,Total or no breakdown by education level,
2003,Male,Palestine,Total or no breakdown by education level,
2004,Male,Palestine,Total or no breakdown by education level,
2005,Male,Palestine,Total or no breakdown by education level,
2006,Male,Palestine,Total or no breakdown by education level,
2007,Male,Palestine,Total or no breakdown by education level,
2008,Male,Palestine,Total or no breakdown by education level,
2009,Male,Palestine,Total or no breakdown by education level,
2010,Male,Palestine,Total or no breakdown by education level,
2011,Male,Palestine,Total or no breakdown by education level,
2012,Male,Palestine,Total or no breakdown by education level,
2013,Male,Palestine,Total or no breakdown by education level,
2014,Male,Palestine,Total or no breakdown by education level,
2015,Male,Palestine,Total or no breakdown by education level,
2016,Male,Palestine,Total or no breakdown by education level,
2017,Male,Palestine,Total or no breakdown by education level,
2018,Male,Palestine,Total or no breakdown by education level,
2000,Male,Palestine,Primary education,
2001,Male,Palestine,Primary education,
2002,Male,Palestine,Primary education,
2003,Male,Palestine,Primary education,
2004,Male,Palestine,Primary education,
2005,Male,Palestine,Primary education,
2006,Male,Palestine,Primary education,
2007,Male,Palestine,Primary education,
2008,Male,Palestine,Primary education,
2009,Male,Palestine,Primary education,
2010,Male,Palestine,Primary education,
2011,Male,Palestine,Primary education,
2012,Male,Palestine,Primary education,
2013,Male,Palestine,Primary education,
2014,Male,Palestine,Primary education,
2015,Male,Palestine,Primary education,
2016,Male,Palestine,Primary education,
2017,Male,Palestine,Primary education,
2018,Male,Palestine,Primary education,
2000,Male,Palestine,Lower secondary education,
2001,Male,Palestine,Lower secondary education,
2002,Male,Palestine,Lower secondary education,
2003,Male,Palestine,Lower secondary education,
2004,Male,Palestine,Lower secondary education,
2005,Male,Palestine,Lower secondary education,
2006,Male,Palestine,Lower secondary education,
2007,Male,Palestine,Lower secondary education,
2008,Male,Palestine,Lower secondary education,
2009,Male,Palestine,Lower secondary education,
2010,Male,Palestine,Lower secondary education,
2011,Male,Palestine,Lower secondary education,
2012,Male,Palestine,Lower secondary education,
2013,Male,Palestine,Lower secondary education,
2014,Male,Palestine,Lower secondary education,
2015,Male,Palestine,Lower secondary education,
2016,Male,Palestine,Lower secondary education,
2017,Male,Palestine,Lower secondary education,
2018,Male,Palestine,Lower secondary education,
2000,Male,Palestine,Upper secondary education,
2001,Male,Palestine,Upper secondary education,
2002,Male,Palestine,Upper secondary education,
2003,Male,Palestine,Upper secondary education,
2004,Male,Palestine,Upper secondary education,
2005,Male,Palestine,Upper secondary education,
2006,Male,Palestine,Upper secondary education,
2007,Male,Palestine,Upper secondary education,
2008,Male,Palestine,Upper secondary education,
2009,Male,Palestine,Upper secondary education,
2010,Male,Palestine,Upper secondary education,
2011,Male,Palestine,Upper secondary education,
2012,Male,Palestine,Upper secondary education,
2013,Male,Palestine,Upper secondary education,
2014,Male,Palestine,Upper secondary education,
2015,Male,Palestine,Upper secondary education,
2016,Male,Palestine,Upper secondary education,
2017,Male,Palestine,Upper secondary education,
2018,Male,Palestine,Upper secondary education,
2000,Male,Jenin,Total or no breakdown by education level,96.1
2001,Male,Jenin,Total or no breakdown by education level,94.7
2002,Male,Jenin,Total or no breakdown by education level,96.1
2003,Male,Jenin,Total or no breakdown by education level,97.8
2004,Male,Jenin,Total or no breakdown by education level,97.6
2005,Male,Jenin,Total or no breakdown by education level,97.6
2006,Male,Jenin,Total or no breakdown by education level,97.3
2007,Male,Jenin,Total or no breakdown by education level,97.6
2008,Male,Jenin,Total or no breakdown by education level,97.8
2009,Male,Jenin,Total or no breakdown by education level,94.4
2010,Male,Jenin,Total or no breakdown by education level,93.6
2011,Male,Jenin,Total or no breakdown by education level,99.5
2012,Male,Jenin,Total or no breakdown by education level,99.5
2013,Male,Jenin,Total or no breakdown by education level,100.0
2014,Male,Jenin,Total or no breakdown by education level,100.0
2015,Male,Jenin,Total or no breakdown by education level,100.0
2016,Male,Jenin,Total or no breakdown by education level,100.0
2017,Male,Jenin,Total or no breakdown by education level,100.0
2018,Male,Jenin,Total or no breakdown by education level,100.0
2000,Male,Jenin,Primary education,
2001,Male,Jenin,Primary education,
2002,Male,Jenin,Primary education,
2003,Male,Jenin,Primary education,
2004,Male,Jenin,Primary education,
2005,Male,Jenin,Primary education,
2006,Male,Jenin,Primary education,
2007,Male,Jenin,Primary education,
2008,Male,Jenin,Primary education,
2009,Male,Jenin,Primary education,
2010,Male,Jenin,Primary education,
2011,Male,Jenin,Primary education,
2012,Male,Jenin,Primary education,
2013,Male,Jenin,Primary education,
2014,Male,Jenin,Primary education,
2015,Male,Jenin,Primary education,
2016,Male,Jenin,Primary education,
2017,Male,Jenin,Primary education,
2018,Male,Jenin,Primary education,
2000,Male,Jenin,Lower secondary education,
2001,Male,Jenin,Lower secondary education,
2002,Male,Jenin,Lower secondary education,
2003,Male,Jenin,Lower secondary education,
2004,Male,Jenin,Lower secondary education,
2005,Male,Jenin,Lower secondary education,
2006,Male,Jenin,Lower secondary education,
2007,Male,Jenin,Lower secondary education,
2008,Male,Jenin,Lower secondary education,
2009,Male,Jenin,Lower secondary education,
2010,Male,Jenin,Lower secondary education,
2011,Male,Jenin,Lower secondary education,
2012,Male,Jenin,Lower secondary education,
2013,Male,Jenin,Lower secondary education,
2014,Male,Jenin,Lower secondary education,
2015,Male,Jenin,Lower secondary education,
2016,Male,Jenin,Lower secondary education,
2017,Male,Jenin,Lower secondary education,
2018,Male,Jenin,Lower secondary education,
2000,Male,Jenin,Upper secondary education,
2001,Male,Jenin,Upper secondary education,
2002,Male,Jenin,Upper secondary education,
2003,Male,Jenin,Upper secondary education,
2004,Male,Jenin,Upper secondary education,
2005,Male,Jenin,Upper secondary education,
2006,Male,Jenin,Upper secondary education,
2007,Male,Jenin,Upper secondary education,
2008,Male,Jenin,Upper secondary education,
2009,Male,Jenin,Upper secondary education,
2010,Male,Jenin,Upper secondary education,
2011,Male,Jenin,Upper secondary education,
2012,Male,Jenin,Upper secondary education,
2013,Male,Jenin,Upper secondary education,
2014,Male,Jenin,Upper secondary education,
2015,Male,Jenin,Upper secondary education,
2016,Male,Jenin,Upper secondary education,
2017,Male,Jenin,Upper secondary education,
2018,Male,Jenin,Upper secondary education,
2000,Male,Tubas & Northern Valleys,Total or no breakdown by education level,97.5
2001,Male,Tubas & Northern Valleys,Total or no breakdown by education level,96.7
2002,Male,Tubas & Northern Valleys,Total or no breakdown by education level,96.3
2003,Male,Tubas & Northern Valleys,Total or no breakdown by education level,98.9
2004,Male,Tubas & Northern Valleys,Total or no breakdown by education level,98.6
2005,Male,Tubas & Northern Valleys,Total or no breakdown by education level,98.3
2006,Male,Tubas & Northern Valleys,Total or no breakdown by education level,98.9
2007,Male,Tubas & Northern Valleys,Total or no breakdown by education level,99.3
2008,Male,Tubas & Northern Valleys,Total or no breakdown by education level,100.0
2009,Male,Tubas & Northern Valleys,Total or no breakdown by education level,96.7
2010,Male,Tubas & Northern Valleys,Total or no breakdown by education level,96.3
2011,Male,Tubas & Northern Valleys,Total or no breakdown by education level,99.6
2012,Male,Tubas & Northern Valleys,Total or no breakdown by education level,100.0
2013,Male,Tubas & Northern Valleys,Total or no breakdown by education level,100.0
2014,Male,Tubas & Northern Valleys,Total or no breakdown by education level,100.0
2015,Male,Tubas & Northern Valleys,Total or no breakdown by education level,100.0
2016,Male,Tubas & Northern Valleys,Total or no breakdown by education level,100.0
2017,Male,Tubas & Northern Valleys,Total or no breakdown by education level,100.0
2018,Male,Tubas & Northern Valleys,Total or no breakdown by education level,100.0
2000,Male,Tubas & Northern Valleys,Primary education,
2001,Male,Tubas & Northern Valleys,Primary education,
2002,Male,Tubas & Northern Valleys,Primary education,
2003,Male,Tubas & Northern Valleys,Primary education,
2004,Male,Tubas & Northern Valleys,Primary education,
2005,Male,Tubas & Northern Valleys,Primary education,
2006,Male,Tubas & Northern Valleys,Primary education,
2007,Male,Tubas & Northern Valleys,Primary education,
2008,Male,Tubas & Northern Valleys,Primary education,
2009,Male,Tubas & Northern Valleys,Primary education,
2010,Male,Tubas & Northern Valleys,Primary education,
2011,Male,Tubas & Northern Valleys,Primary education,
2012,Male,Tubas & Northern Valleys,Primary education,
2013,Male,Tubas & Northern Valleys,Primary education,
2014,Male,Tubas & Northern Valleys,Primary education,
2015,Male,Tubas & Northern Valleys,Primary education,
2016,Male,Tubas & Northern Valleys,Primary education,
2017,Male,Tubas & Northern Valleys,Primary education,
2018,Male,Tubas & Northern Valleys,Primary education,
2000,Male,Tubas & Northern Valleys,Lower secondary education,
2001,Male,Tubas & Northern Valleys,Lower secondary education,
2002,Male,Tubas & Northern Valleys,Lower secondary education,
2003,Male,Tubas & Northern Valleys,Lower secondary education,
2004,Male,Tubas & Northern Valleys,Lower secondary education,
2005,Male,Tubas & Northern Valleys,Lower secondary education,
2006,Male,Tubas & Northern Valleys,Lower secondary education,
2007,Male,Tubas & Northern Valleys,Lower secondary education,
2008,Male,Tubas & Northern Valleys,Lower secondary education,
2009,Male,Tubas & Northern Valleys,Lower secondary education,
2010,Male,Tubas & Northern Valleys,Lower secondary education,
2011,Male,Tubas & Northern Valleys,Lower secondary education,
2012,Male,Tubas & Northern Valleys,Lower secondary education,
2013,Male,Tubas & Northern Valleys,Lower secondary education,
2014,Male,Tubas & Northern Valleys,Lower secondary education,
2015,Male,Tubas & Northern Valleys,Lower secondary education,
2016,Male,Tubas & Northern Valleys,Lower secondary education,
2017,Male,Tubas & Northern Valleys,Lower secondary education,
2018,Male,Tubas & Northern Valleys,Lower secondary education,
2000,Male,Tubas & Northern Valleys,Upper secondary education,
2001,Male,Tubas & Northern Valleys,Upper secondary education,
2002,Male,Tubas & Northern Valleys,Upper secondary education,
2003,Male,Tubas & Northern Valleys,Upper secondary education,
2004,Male,Tubas & Northern Valleys,Upper secondary education,
2005,Male,Tubas & Northern Valleys,Upper secondary education,
2006,Male,Tubas & Northern Valleys,Upper secondary education,
2007,Male,Tubas & Northern Valleys,Upper secondary education,
2008,Male,Tubas & Northern Valleys,Upper secondary education,
2009,Male,Tubas & Northern Valleys,Upper secondary education,
2010,Male,Tubas & Northern Valleys,Upper secondary education,
2011,Male,Tubas & Northern Valleys,Upper secondary education,
2012,Male,Tubas & Northern Valleys,Upper secondary education,
2013,Male,Tubas & Northern Valleys,Upper secondary education,
2014,Male,Tubas & Northern Valleys,Upper secondary education,
2015,Male,Tubas & Northern Valleys,Upper secondary education,
2016,Male,Tubas & Northern Valleys,Upper secondary education,
2017,Male,Tubas & Northern Valleys,Upper secondary education,
2018,Male,Tubas & Northern Valleys,Upper secondary education,
2000,Both sexes or no breakdown by sex,Palestine,Total or no breakdown by education level,
2001,Both sexes or no breakdown by sex,Palestine,Total or no breakdown by education level,
2002,Both sexes or no breakdown by sex,Palestine,Total or no breakdown by education level,
2003,Both sexes or no breakdown by sex,Palestine,Total or no breakdown by education level,
2004,Both sexes or no breakdown by sex,Palestine,Total or no breakdown by education level,
2005,Both sexes or no breakdown by sex,Palestine,Total or no breakdown by education level,
2006,Both sexes or no breakdown by sex,Palestine,Total or no breakdown by education level,
2007,Both sexes or no breakdown by sex,Palestine,Total or no breakdown by education level,
2008,Both sexes or no breakdown by sex,Palestine,Total or no breakdown by education level,
2009,Both sexes or no breakdown by sex,Palestine,Total or no breakdown by education level,
2010,Both sexes or no breakdown by sex,Palestine,Total or no breakdown by education level,
2011,Both sexes or no breakdown by sex,Palestine,Total or no breakdown by education level,
2012,Both sexes or no breakdown by sex,Palestine,Total or no breakdown by education level,
2013,Both sexes or no breakdown by sex,Palestine,Total or no breakdown by education level,
2014,Both sexes or no breakdown by sex,Palestine,Total or no breakdown by education level,
2015,Both sexes or no breakdown by sex,Palestine,Total or no breakdown by education level,
2016,Both sexes or no breakdown by sex,Palestine,Total or no breakdown by education level,
2017,Both sexes or no breakdown by sex,Palestine,Total or no breakdown by education level,
2018,Both sexes or no breakdown by sex,Palestine,Total or no breakdown by education level,
2000,Both sexes or no breakdown by sex,Palestine,Primary education,91.6
2001,Both sexes or no breakdown by sex,Palestine,Primary education,94.2
2002,Both sexes or no breakdown by sex,Palestine,Primary education,94.8
2003,Both sexes or no breakdown by sex,Palestine,Primary education,97.0
2004,Both sexes or no breakdown by sex,Palestine,Primary education,98.7
2005,Both sexes or no breakdown by sex,Palestine,Primary education,98.7
2006,Both sexes or no breakdown by sex,Palestine,Primary education,96.2
2007,Both sexes or no breakdown by sex,Palestine,Primary education,97.5
2008,Both sexes or no breakdown by sex,Palestine,Primary education,98.2
2009,Both sexes or no breakdown by sex,Palestine,Primary education,87.5
2010,Both sexes or no breakdown by sex,Palestine,Primary education,91.2
2011,Both sexes or no breakdown by sex,Palestine,Primary education,99.4
2012,Both sexes or no breakdown by sex,Palestine,Primary education,99.7
2013,Both sexes or no breakdown by sex,Palestine,Primary education,100.0
2014,Both sexes or no breakdown by sex,Palestine,Primary education,100.0
2015,Both sexes or no breakdown by sex,Palestine,Primary education,100.0
2016,Both sexes or no breakdown by sex,Palestine,Primary education,100.0
2017,Both sexes or no breakdown by sex,Palestine,Primary education,100.0
2018,Both sexes or no breakdown by sex,Palestine,Primary education,100.0
2000,Both sexes or no breakdown by sex,Palestine,Lower secondary education,96.1
2001,Both sexes or no breakdown by sex,Palestine,Lower secondary education,94.7
2002,Both sexes or no breakdown by sex,Palestine,Lower secondary education,96.1
2003,Both sexes or no breakdown by sex,Palestine,Lower secondary education,97.8
2004,Both sexes or no breakdown by sex,Palestine,Lower secondary education,97.6
2005,Both sexes or no breakdown by sex,Palestine,Lower secondary education,97.6
2006,Both sexes or no breakdown by sex,Palestine,Lower secondary education,97.3
2007,Both sexes or no breakdown by sex,Palestine,Lower secondary education,97.6
2008,Both sexes or no breakdown by sex,Palestine,Lower secondary education,97.8
2009,Both sexes or no breakdown by sex,Palestine,Lower secondary education,94.4
2010,Both sexes or no breakdown by sex,Palestine,Lower secondary education,93.6
2011,Both sexes or no breakdown by sex,Palestine,Lower secondary education,99.5
2012,Both sexes or no breakdown by sex,Palestine,Lower secondary education,99.5
2013,Both sexes or no breakdown by sex,Palestine,Lower secondary education,100.0
2014,Both sexes or no breakdown by sex,Palestine,Lower secondary education,100.0
2015,Both sexes or no breakdown by sex,Palestine,Lower secondary education,100.0
2016,Both sexes or no breakdown by sex,Palestine,Lower secondary education,100.0
2017,Both sexes or no breakdown by sex,Palestine,Lower secondary education,100.0
2018,Both sexes or no breakdown by sex,Palestine,Lower secondary education,100.0
2000,Both sexes or no breakdown by sex,Palestine,Upper secondary education,97.5
2001,Both sexes or no breakdown by sex,Palestine,Upper secondary education,96.7
2002,Both sexes or no breakdown by sex,Palestine,Upper secondary education,96.3
2003,Both sexes or no breakdown by sex,Palestine,Upper secondary education,98.9
2004,Both sexes or no breakdown by sex,Palestine,Upper secondary education,98.6
2005,Both sexes or no breakdown by sex,Palestine,Upper secondary education,98.3
2006,Both sexes or no breakdown by sex,Palestine,Upper secondary education,98.9
2007,Both sexes or no breakdown by sex,Palestine,Upper secondary education,99.3
2008,Both sexes or no breakdown by sex,Palestine,Upper secondary education,100.0
2009,Both sexes or no breakdown by sex,Palestine,Upper secondary education,96.7
2010,Both sexes or no breakdown by sex,Palestine,Upper secondary education,96.3
2011,Both sexes or no breakdown by sex,Palestine,Upper secondary education,99.6
2012,Both sexes or no breakdown by sex,Palestine,Upper secondary education,100.0
2013,Both sexes or no breakdown by sex,Palestine,Upper secondary education,100.0
2014,Both sexes or no breakdown by sex,Palestine,Upper secondary education,100.0
2015,Both sexes or no breakdown by sex,Palestine,Upper secondary education,100.0
2016,Both sexes or no breakdown by sex,Palestine,Upper secondary education,100.0
2017,Both sexes or no breakdown by sex,Palestine,Upper secondary education,100.0
2018,Both sexes or no breakdown by sex,Palestine,Upper secondary education,100.0
2000,Both sexes or no breakdown by sex,Jenin,Total or no breakdown by education level,
2001,Both sexes or no breakdown by sex,Jenin,Total or no breakdown by education level,
2002,Both sexes or no breakdown by sex,Jenin,Total or no breakdown by education level,
2003,Both sexes or no breakdown by sex,Jenin,Total or no breakdown by education level,
2004,Both sexes or no breakdown by sex,Jenin,Total or no breakdown by education level,
2005,Both sexes or no breakdown by sex,Jenin,Total or no breakdown by education level,
2006,Both sexes or no breakdown by sex,Jenin,Total or no breakdown by education level,
2007,Both sexes or no breakdown by sex,Jenin,Total or no breakdown by education level,
2008,Both sexes or no breakdown by sex,Jenin,Total or no breakdown by education level,
2009,Both sexes or no breakdown by sex,Jenin,Total or no breakdown by education level,
2010,Both sexes or no breakdown by sex,Jenin,Total or no breakdown by education level,
2011,Both sexes or no breakdown by sex,Jenin,Total or no breakdown by education level,
2012,Both sexes or no breakdown by sex,Jenin,Total or no breakdown by education level,
2013,Both sexes or no breakdown by sex,Jenin,Total or no breakdown by education level,
2014,Both sexes or no breakdown by sex,Jenin,Total or no breakdown by education level,
2015,Both sexes or no breakdown by sex,Jenin,Total or no breakdown by education level,
2016,Both sexes or no breakdown by sex,Jenin,Total or no breakdown by education level,
2017,Both sexes or no breakdown by sex,Jenin,Total or no breakdown by education level,
