Year,SEX,REF_AREA,TIME_DETAIL,SERIES,Value
2009,M,West Bank,2009,SL_ISV_IFEM,
2010,M,West Bank,2010,SL_ISV_IFEM,
2011,M,West Bank,2011,SL_ISV_IFEM,
2012,M,West Bank,2012,SL_ISV_IFEM,
2013,M,West Bank,2013,SL_ISV_IFEM,
2014,M,West Bank,2014,SL_ISV_IFEM,
2015,M,West Bank,2015,SL_ISV_IFEM,
2016,M,West Bank,2016,SL_ISV_IFEM,
2017,M,West Bank,2017,SL_ISV_IFEM,
2009,M,Gaza Strip,2009,SL_ISV_IFEM,
2010,M,Gaza Strip,2010,SL_ISV_IFEM,
2011,M,Gaza Strip,2011,SL_ISV_IFEM,
2012,M,Gaza Strip,2012,SL_ISV_IFEM,
2013,M,Gaza Strip,2013,SL_ISV_IFEM,
2014,M,Gaza Strip,2014,SL_ISV_IFEM,
2015,M,Gaza Strip,2015,SL_ISV_IFEM,
2016,M,Gaza Strip,2016,SL_ISV_IFEM,
2017,M,Gaza Strip,2017,SL_ISV_IFEM,
2009,M,PS,2009,SL_ISV_IFEM,55.0
2010,M,PS,2010,SL_ISV_IFEM,53.9
2011,M,PS,2011,SL_ISV_IFEM,51.9
2012,M,PS,2012,SL_ISV_IFEM,52.8
2013,M,PS,2013,SL_ISV_IFEM,53.4
2014,M,PS,2014,SL_ISV_IFEM,52.0
2015,M,PS,2015,SL_ISV_IFEM,66.8
2016,M,PS,2016,SL_ISV_IFEM,67.7
2017,M,PS,2017,SL_ISV_IFEM,69.0
2009,F,West Bank,2009,SL_ISV_IFEM,
2010,F,West Bank,2010,SL_ISV_IFEM,
2011,F,West Bank,2011,SL_ISV_IFEM,
2012,F,West Bank,2012,SL_ISV_IFEM,
2013,F,West Bank,2013,SL_ISV_IFEM,
2014,F,West Bank,2014,SL_ISV_IFEM,
2015,F,West Bank,2015,SL_ISV_IFEM,
2016,F,West Bank,2016,SL_ISV_IFEM,
2017,F,West Bank,2017,SL_ISV_IFEM,
2009,F,Gaza Strip,2009,SL_ISV_IFEM,
2010,F,Gaza Strip,2010,SL_ISV_IFEM,
2011,F,Gaza Strip,2011,SL_ISV_IFEM,
2012,F,Gaza Strip,2012,SL_ISV_IFEM,
2013,F,Gaza Strip,2013,SL_ISV_IFEM,
2014,F,Gaza Strip,2014,SL_ISV_IFEM,
2015,F,Gaza Strip,2015,SL_ISV_IFEM,
2016,F,Gaza Strip,2016,SL_ISV_IFEM,
2017,F,Gaza Strip,2017,SL_ISV_IFEM,
2009,F,PS,2009,SL_ISV_IFEM,52.4
2010,F,PS,2010,SL_ISV_IFEM,39.6
2011,F,PS,2011,SL_ISV_IFEM,40.1
2012,F,PS,2012,SL_ISV_IFEM,39.5
2013,F,PS,2013,SL_ISV_IFEM,42.1
2014,F,PS,2014,SL_ISV_IFEM,45.9
2015,F,PS,2015,SL_ISV_IFEM,43.8
2016,F,PS,2016,SL_ISV_IFEM,44.1
2017,F,PS,2017,SL_ISV_IFEM,42.9
2009,_T,West Bank,2009,SL_ISV_IFEM,61.4
2010,_T,West Bank,2010,SL_ISV_IFEM,56.1
2011,_T,West Bank,2011,SL_ISV_IFEM,52.0
2012,_T,West Bank,2012,SL_ISV_IFEM,52.7
2013,_T,West Bank,2013,SL_ISV_IFEM,54.0
2014,_T,West Bank,2014,SL_ISV_IFEM,54.5
2015,_T,West Bank,2015,SL_ISV_IFEM,70.1
2016,_T,West Bank,2016,SL_ISV_IFEM,70.2
2017,_T,West Bank,2017,SL_ISV_IFEM,71.0
2009,_T,Gaza Strip,2009,SL_ISV_IFEM,37.2
2010,_T,Gaza Strip,2010,SL_ISV_IFEM,40.4
2011,_T,Gaza Strip,2011,SL_ISV_IFEM,45.8
2012,_T,Gaza Strip,2012,SL_ISV_IFEM,46.9
2013,_T,Gaza Strip,2013,SL_ISV_IFEM,46.9
2014,_T,Gaza Strip,2014,SL_ISV_IFEM,42.4
2015,_T,Gaza Strip,2015,SL_ISV_IFEM,47.1
2016,_T,Gaza Strip,2016,SL_ISV_IFEM,50.6
2017,_T,Gaza Strip,2017,SL_ISV_IFEM,51.3
2009,_T,PS,2009,SL_ISV_IFEM,54.6
2010,_T,PS,2010,SL_ISV_IFEM,51.8
2011,_T,PS,2011,SL_ISV_IFEM,50.1
2012,_T,PS,2012,SL_ISV_IFEM,50.8
2013,_T,PS,2013,SL_ISV_IFEM,51.7
2014,_T,PS,2014,SL_ISV_IFEM,51.0
2015,_T,PS,2015,SL_ISV_IFEM,63.1
2016,_T,PS,2016,SL_ISV_IFEM,64.1
2017,_T,PS,2017,SL_ISV_IFEM,65.1
