Year,SEX,AREA,TIME_DETAIL,Value
2000,Male,West Bank,2000,
2004,Male,West Bank,2004,
2006,Male,West Bank,2006,
2009,Male,West Bank,2009,
2011,Male,West Bank,2011,
2014,Male,West Bank,2014,
2018,Male,West Bank,2018,
2019,Male,West Bank,2019,
2000,Male,Gaza Strip,2000,
2004,Male,Gaza Strip,2004,
2006,Male,Gaza Strip,2006,
2009,Male,Gaza Strip,2009,
2011,Male,Gaza Strip,2011,
2014,Male,Gaza Strip,2014,
2018,Male,Gaza Strip,2018,
2019,Male,Gaza Strip,2019,
2000,Male,Palestine,2000,36.0
2004,Male,Palestine,2004,45.1
2006,Male,Palestine,2006,52.7
2009,Male,Palestine,2009,66.7
2011,Male,Palestine,2011,76.5
2014,Male,Palestine,2014,81.8
2018,Male,Palestine,2018,79.2
2019,Male,Palestine,2019,
2000,Female,West Bank,2000,
2004,Female,West Bank,2004,
2006,Female,West Bank,2006,
2009,Female,West Bank,2009,
2011,Female,West Bank,2011,
2014,Female,West Bank,2014,
2018,Female,West Bank,2018,
2019,Female,West Bank,2019,
2000,Female,Gaza Strip,2000,
2004,Female,Gaza Strip,2004,
2006,Female,Gaza Strip,2006,
2009,Female,Gaza Strip,2009,
2011,Female,Gaza Strip,2011,
2014,Female,Gaza Strip,2014,
2018,Female,Gaza Strip,2018,
2019,Female,Gaza Strip,2019,
2000,Female,Palestine,2000,5.2
2004,Female,Palestine,2004,14.6
2006,Female,Palestine,2006,22.4
2009,Female,Palestine,2009,41.6
2011,Female,Palestine,2011,53.6
2014,Female,Palestine,2014,65.3
2018,Female,Palestine,2018,
2019,Female,Palestine,2019,70.5
2000,Both sexes or no breakdown by sex,West Bank,2000,24.4
2004,Both sexes or no breakdown by sex,West Bank,2004,34.6
2006,Both sexes or no breakdown by sex,West Bank,2006,41.9
2009,Both sexes or no breakdown by sex,West Bank,2009,57.4
2011,Both sexes or no breakdown by sex,West Bank,2011,69.5
2014,Both sexes or no breakdown by sex,West Bank,2014,77.5
2018,Both sexes or no breakdown by sex,West Bank,2018,
2019,Both sexes or no breakdown by sex,West Bank,2019,81.6
2000,Both sexes or no breakdown by sex,Gaza Strip,2000,13.0
2004,Both sexes or no breakdown by sex,Gaza Strip,2004,21.7
2006,Both sexes or no breakdown by sex,Gaza Strip,2006,30.1
2009,Both sexes or no breakdown by sex,Gaza Strip,2009,48.9
2011,Both sexes or no breakdown by sex,Gaza Strip,2011,57.8
2014,Both sexes or no breakdown by sex,Gaza Strip,2014,67.2
2018,Both sexes or no breakdown by sex,Gaza Strip,2018,
2019,Both sexes or no breakdown by sex,Gaza Strip,2019,64.2
2000,Both sexes or no breakdown by sex,Palestine,2000,20.6
2004,Both sexes or no breakdown by sex,Palestine,2004,30.0
2006,Both sexes or no breakdown by sex,Palestine,2006,37.7
2009,Both sexes or no breakdown by sex,Palestine,2009,54.3
2011,Both sexes or no breakdown by sex,Palestine,2011,65.2
2014,Both sexes or no breakdown by sex,Palestine,2014,73.7
2018,Both sexes or no breakdown by sex,Palestine,2018,
2019,Both sexes or no breakdown by sex,Palestine,2019,74.9
