Year,SEX,AREA,TIME_DETAIL,Value
2000,Male,West Bank,2000,
2001,Male,West Bank,2001,
2002,Male,West Bank,2002,
2003,Male,West Bank,2003,
2004,Male,West Bank,2004,
2005,Male,West Bank,2005,
2006,Male,West Bank,2006,
2007,Male,West Bank,2007,
2008,Male,West Bank,2008,
2009,Male,West Bank,2009,
2010,Male,West Bank,2010,
2011,Male,West Bank,2011,
2012,Male,West Bank,2012,
2013,Male,West Bank,2013,
2014,Male,West Bank,2014,
2015,Male,West Bank,2015,
2016,Male,West Bank,2016,
2017,Male,West Bank,2017,
2000,Male,Gaza Strip,2000,
2001,Male,Gaza Strip,2001,
2002,Male,Gaza Strip,2002,
2003,Male,Gaza Strip,2003,
2004,Male,Gaza Strip,2004,
2005,Male,Gaza Strip,2005,
2006,Male,Gaza Strip,2006,
2007,Male,Gaza Strip,2007,
2008,Male,Gaza Strip,2008,
2009,Male,Gaza Strip,2009,
2010,Male,Gaza Strip,2010,
2011,Male,Gaza Strip,2011,
2012,Male,Gaza Strip,2012,
2013,Male,Gaza Strip,2013,
2014,Male,Gaza Strip,2014,
2015,Male,Gaza Strip,2015,
2016,Male,Gaza Strip,2016,
2017,Male,Gaza Strip,2017,
2000,Male,Palestine,2000,19.7
2001,Male,Palestine,2001,27.4
2002,Male,Palestine,2002,29.1
2003,Male,Palestine,2003,25.3
2004,Male,Palestine,2004,24.7
2005,Male,Palestine,2005,22.3
2006,Male,Palestine,2006,22.9
2007,Male,Palestine,2007,23.7
2008,Male,Palestine,2008,24.6
2009,Male,Palestine,2009,23.6
2010,Male,Palestine,2010,24.3
2011,Male,Palestine,2011,21.2
2012,Male,Palestine,2012,22.9
2013,Male,Palestine,2013,24.3
2014,Male,Palestine,2014,26.5
2015,Male,Palestine,2015,26.6
2016,Male,Palestine,2016,26.3
2017,Male,Palestine,2017,27.7
2000,Female,West Bank,2000,
2001,Female,West Bank,2001,
2002,Female,West Bank,2002,
2003,Female,West Bank,2003,
2004,Female,West Bank,2004,
2005,Female,West Bank,2005,
2006,Female,West Bank,2006,
2007,Female,West Bank,2007,
2008,Female,West Bank,2008,
2009,Female,West Bank,2009,
2010,Female,West Bank,2010,
2011,Female,West Bank,2011,
2012,Female,West Bank,2012,
2013,Female,West Bank,2013,
2014,Female,West Bank,2014,
2015,Female,West Bank,2015,
2016,Female,West Bank,2016,
2017,Female,West Bank,2017,
2000,Female,Gaza Strip,2000,
2001,Female,Gaza Strip,2001,
2002,Female,Gaza Strip,2002,
2003,Female,Gaza Strip,2003,
2004,Female,Gaza Strip,2004,
2005,Female,Gaza Strip,2005,
2006,Female,Gaza Strip,2006,
2007,Female,Gaza Strip,2007,
2008,Female,Gaza Strip,2008,
2009,Female,Gaza Strip,2009,
2010,Female,Gaza Strip,2010,
2011,Female,Gaza Strip,2011,
2012,Female,Gaza Strip,2012,
2013,Female,Gaza Strip,2013,
2014,Female,Gaza Strip,2014,
2015,Female,Gaza Strip,2015,
2016,Female,Gaza Strip,2016,
2017,Female,Gaza Strip,2017,
2000,Female,Palestine,2000,47.2
2001,Female,Palestine,2001,46.7
2002,Female,Palestine,2002,43.3
2003,Female,Palestine,2003,39.3
2004,Female,Palestine,2004,37.2
2005,Female,Palestine,2005,37.4
2006,Female,Palestine,2006,35.6
2007,Female,Palestine,2007,34.7
2008,Female,Palestine,2008,33.2
2009,Female,Palestine,2009,33.0
2010,Female,Palestine,2010,34.5
2011,Female,Palestine,2011,34.0
2012,Female,Palestine,2012,37.5
2013,Female,Palestine,2013,39.0
2014,Female,Palestine,2014,38.3
2015,Female,Palestine,2015,38.2
2016,Female,Palestine,2016,38.9
2017,Female,Palestine,2017,39.0
2000,Both sexes or no breakdown by sex,West Bank,2000,32.3
2001,Both sexes or no breakdown by sex,West Bank,2001,35.4
2002,Both sexes or no breakdown by sex,West Bank,2002,35.5
2003,Both sexes or no breakdown by sex,West Bank,2003,32.0
2004,Both sexes or no breakdown by sex,West Bank,2004,30.2
2005,Both sexes or no breakdown by sex,West Bank,2005,29.1
2006,Both sexes or no breakdown by sex,West Bank,2006,27.2
2007,Both sexes or no breakdown by sex,West Bank,2007,27.0
2008,Both sexes or no breakdown by sex,West Bank,2008,26.3
2009,Both sexes or no breakdown by sex,West Bank,2009,26.0
2010,Both sexes or no breakdown by sex,West Bank,2010,26.8
2011,Both sexes or no breakdown by sex,West Bank,2011,26.0
2012,Both sexes or no breakdown by sex,West Bank,2012,27.6
2013,Both sexes or no breakdown by sex,West Bank,2013,29.0
2014,Both sexes or no breakdown by sex,West Bank,2014,28.1
2015,Both sexes or no breakdown by sex,West Bank,2015,29.2
2016,Both sexes or no breakdown by sex,West Bank,2016,29.3
2017,Both sexes or no breakdown by sex,West Bank,2017,29.1
2000,Both sexes or no breakdown by sex,Gaza Strip,2000,34.8
2001,Both sexes or no breakdown by sex,Gaza Strip,2001,39.4
2002,Both sexes or no breakdown by sex,Gaza Strip,2002,37.2
2003,Both sexes or no breakdown by sex,Gaza Strip,2003,32.6
2004,Both sexes or no breakdown by sex,Gaza Strip,2004,31.9
2005,Both sexes or no breakdown by sex,Gaza Strip,2005,30.9
2006,Both sexes or no breakdown by sex,Gaza Strip,2006,32.3
2007,Both sexes or no breakdown by sex,Gaza Strip,2007,32.5
2008,Both sexes or no breakdown by sex,Gaza Strip,2008,32.7
2009,Both sexes or no breakdown by sex,Gaza Strip,2009,31.7
2010,Both sexes or no breakdown by sex,Gaza Strip,2010,33.2
2011,Both sexes or no breakdown by sex,Gaza Strip,2011,29.8
2012,Both sexes or no breakdown by sex,Gaza Strip,2012,33.7
2013,Both sexes or no breakdown by sex,Gaza Strip,2013,35.3
2014,Both sexes or no breakdown by sex,Gaza Strip,2014,38.5
2015,Both sexes or no breakdown by sex,Gaza Strip,2015,36.7
2016,Both sexes or no breakdown by sex,Gaza Strip,2016,37.2
2017,Both sexes or no breakdown by sex,Gaza Strip,2017,39.4
2000,Both sexes or no breakdown by sex,Palestine,2000,33.3
