Year,SEX,REF_AREA,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2015,M,West Bank,2015,SH_STA_TRAF,,
2016,M,West Bank,2016,SH_STA_TRAF,,
2017,M,West Bank,2017,SH_STA_TRAF,,
2018,M,West Bank,2018,SH_STA_TRAF,,
2019,M,West Bank,2019,SH_STA_TRAF,,
2015,M,Gaza Strip,2015,SH_STA_TRAF,,
2016,M,Gaza Strip,2016,SH_STA_TRAF,,2.9
2017,M,Gaza Strip,2017,SH_STA_TRAF,,2.9
2018,M,Gaza Strip,2018,SH_STA_TRAF,,2.9
2019,M,Gaza Strip,2019,SH_STA_TRAF,,
2015,M,PS,2015,SH_STA_TRAF,,
2016,M,PS,2016,SH_STA_TRAF,,
2017,M,PS,2017,SH_STA_TRAF,,
2018,M,PS,2018,SH_STA_TRAF,,
2019,M,PS,2019,SH_STA_TRAF,,
2015,F,West Bank,2015,SH_STA_TRAF,,
2016,F,West Bank,2016,SH_STA_TRAF,,
2017,F,West Bank,2017,SH_STA_TRAF,,
2018,F,West Bank,2018,SH_STA_TRAF,,
2019,F,West Bank,2019,SH_STA_TRAF,,
2015,F,Gaza Strip,2015,SH_STA_TRAF,,
2016,F,Gaza Strip,2016,SH_STA_TRAF,,4.2
2017,F,Gaza Strip,2017,SH_STA_TRAF,,4.2
2018,F,Gaza Strip,2018,SH_STA_TRAF,,4.2
2019,F,Gaza Strip,2019,SH_STA_TRAF,,
2015,F,PS,2015,SH_STA_TRAF,,
2016,F,PS,2016,SH_STA_TRAF,,
2017,F,PS,2017,SH_STA_TRAF,,
2018,F,PS,2018,SH_STA_TRAF,,
2019,F,PS,2019,SH_STA_TRAF,,
2015,_T,West Bank,2015,SH_STA_TRAF,,
2016,_T,West Bank,2016,SH_STA_TRAF,,5.7
2017,_T,West Bank,2017,SH_STA_TRAF,,4.5
2018,_T,West Bank,2018,SH_STA_TRAF,,4.3
2019,_T,West Bank,2019,SH_STA_TRAF,,4.4
2015,_T,Gaza Strip,2015,SH_STA_TRAF,,
2016,_T,Gaza Strip,2016,SH_STA_TRAF,,4.7
2017,_T,Gaza Strip,2017,SH_STA_TRAF,,4.2
2018,_T,Gaza Strip,2018,SH_STA_TRAF,,2.9
2019,_T,Gaza Strip,2019,SH_STA_TRAF,,3.3
2015,_T,PS,2015,SH_STA_TRAF,,3.8
2016,_T,PS,2016,SH_STA_TRAF,,5.3
2017,_T,PS,2017,SH_STA_TRAF,,4.4
2018,_T,PS,2018,SH_STA_TRAF,,3.7
2019,_T,PS,2019,SH_STA_TRAF,,3.9
