Year,REF_AREA,REPORTING_TYPE,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2015,West Bank,N,2015,SH_HIV_INCD,PER_1000_UNINFECTED_POP,0.04
2016,West Bank,N,2016,SH_HIV_INCD,PER_1000_UNINFECTED_POP,0.25
2017,West Bank,N,2017,SH_HIV_INCD,PER_1000_UNINFECTED_POP,0.08
2018,West Bank,N,2018,SH_HIV_INCD,PER_1000_UNINFECTED_POP,0.04
2019,West Bank,N,2019,SH_HIV_INCD,PER_1000_UNINFECTED_POP,0.22
2015,Gaza Strip,N,2015,SH_HIV_INCD,PER_1000_UNINFECTED_POP,0.0
2016,Gaza Strip,N,2016,SH_HIV_INCD,PER_1000_UNINFECTED_POP,0.0
2017,Gaza Strip,N,2017,SH_HIV_INCD,PER_1000_UNINFECTED_POP,0.0
2018,Gaza Strip,N,2018,SH_HIV_INCD,PER_1000_UNINFECTED_POP,0.05
2019,Gaza Strip,N,2019,SH_HIV_INCD,PER_1000_UNINFECTED_POP,0.1
2015,PS,N,2015,SH_HIV_INCD,PER_1000_UNINFECTED_POP,0.07
2016,PS,N,2016,SH_HIV_INCD,PER_1000_UNINFECTED_POP,0.15
2017,PS,N,2017,SH_HIV_INCD,PER_1000_UNINFECTED_POP,0.08
2018,PS,N,2018,SH_HIV_INCD,PER_1000_UNINFECTED_POP,0.04
2019,PS,N,2019,SH_HIV_INCD,PER_1000_UNINFECTED_POP,0.17
