Year,SEX,AREA,Value
2007,Female,West Bank,16.8
2014,Female,West Bank,
2017,Female,West Bank,8.5
2019,Female,West Bank,11.4
2007,Female,Gaza Strip,19.6
2014,Female,Gaza Strip,
2017,Female,Gaza Strip,13.8
2019,Female,Gaza Strip,16.5
2007,Female,Palestine,18.0
2014,Female,Palestine,
2017,Female,Palestine,10.8
2019,Female,Palestine,13.4
2007,Female,Jenin,16.4
2014,Female,Jenin,
2017,Female,Jenin,7.6
2019,Female,Jenin,
2007,Female,Tubas & Northern Valleys,12.9
2014,Female,Tubas & Northern Valleys,
2017,Female,Tubas & Northern Valleys,5.5
2019,Female,Tubas & Northern Valleys,
2007,Female,Tulkarm,12.7
2014,Female,Tulkarm,
2017,Female,Tulkarm,5.3
2019,Female,Tulkarm,
2007,Female,Nablus,16.7
2014,Female,Nablus,
2017,Female,Nablus,7.8
2019,Female,Nablus,
2007,Female,Qalqiliya,19.3
2014,Female,Qalqiliya,
2017,Female,Qalqiliya,7.7
2019,Female,Qalqiliya,
2007,Female,Salfit,16.8
2014,Female,Salfit,
2017,Female,Salfit,6.4
2019,Female,Salfit,
2007,Female,Ramallah & Al-Bireh,13.2
2014,Female,Ramallah & Al-Bireh,
2017,Female,Ramallah & Al-Bireh,5.5
2019,Female,Ramallah & Al-Bireh,
2007,Female,Jericho & AL Aghwar,15.2
2014,Female,Jericho & AL Aghwar,
2017,Female,Jericho & AL Aghwar,9.4
2019,Female,Jericho & AL Aghwar,
2007,Female,Jerusalem,17.8
2014,Female,Jerusalem,
2017,Female,Jerusalem,2.6
2019,Female,Jerusalem,
2007,Female,Bethlehem,17.6
2014,Female,Bethlehem,
2017,Female,Bethlehem,7.6
2019,Female,Bethlehem,
2007,Female,Hebron,19.4
2014,Female,Hebron,
2017,Female,Hebron,12.3
2019,Female,Hebron,
2007,Female,North Gaza,23.9
2014,Female,North Gaza,
2017,Female,North Gaza,16.9
2019,Female,North Gaza,
2007,Female,Gaza,23.8
2014,Female,Gaza,
2017,Female,Gaza,16.6
2019,Female,Gaza,
2007,Female,Dier Al-Balah,12.0
2014,Female,Dier Al-Balah,
2017,Female,Dier Al-Balah,6.6
2019,Female,Dier Al-Balah,
2007,Female,Khan Yunis,16.1
2014,Female,Khan Yunis,
2017,Female,Khan Yunis,12.4
2019,Female,Khan Yunis,
2007,Female,Rafah,15.7
2014,Female,Rafah,
2017,Female,Rafah,11.7
2019,Female,Rafah,
2007,Both sexes or no breakdown by sex,West Bank,
2014,Both sexes or no breakdown by sex,West Bank,19.2
2017,Both sexes or no breakdown by sex,West Bank,
2019,Both sexes or no breakdown by sex,West Bank,
2007,Both sexes or no breakdown by sex,Gaza Strip,
2014,Both sexes or no breakdown by sex,Gaza Strip,12.3
2017,Both sexes or no breakdown by sex,Gaza Strip,
2019,Both sexes or no breakdown by sex,Gaza Strip,
2007,Both sexes or no breakdown by sex,Palestine,
2014,Both sexes or no breakdown by sex,Palestine,15.3
2017,Both sexes or no breakdown by sex,Palestine,
2019,Both sexes or no breakdown by sex,Palestine,
2007,Both sexes or no breakdown by sex,Jenin,
2014,Both sexes or no breakdown by sex,Jenin,
2017,Both sexes or no breakdown by sex,Jenin,
2019,Both sexes or no breakdown by sex,Jenin,
2007,Both sexes or no breakdown by sex,Tubas & Northern Valleys,
2014,Both sexes or no breakdown by sex,Tubas & Northern Valleys,
2017,Both sexes or no breakdown by sex,Tubas & Northern Valleys,
2019,Both sexes or no breakdown by sex,Tubas & Northern Valleys,
2007,Both sexes or no breakdown by sex,Tulkarm,
2014,Both sexes or no breakdown by sex,Tulkarm,
2017,Both sexes or no breakdown by sex,Tulkarm,
