Year,SEX,AREA,TIME_DETAIL,Value
2000,Male,West Bank,2000,
2001,Male,West Bank,2001,
2002,Male,West Bank,2002,
2003,Male,West Bank,2003,
2004,Male,West Bank,2004,
2005,Male,West Bank,2005,
2006,Male,West Bank,2006,
2007,Male,West Bank,2007,
2008,Male,West Bank,2008,
2009,Male,West Bank,2009,
2010,Male,West Bank,2010,
2011,Male,West Bank,2011,
2012,Male,West Bank,2012,
2013,Male,West Bank,2013,
2014,Male,West Bank,2014,
2015,Male,West Bank,2015,
2016,Male,West Bank,2016,
2017,Male,West Bank,2017,
2000,Male,Gaza Strip,2000,
2001,Male,Gaza Strip,2001,
2002,Male,Gaza Strip,2002,
2003,Male,Gaza Strip,2003,
2004,Male,Gaza Strip,2004,
2005,Male,Gaza Strip,2005,
2006,Male,Gaza Strip,2006,
2007,Male,Gaza Strip,2007,
2008,Male,Gaza Strip,2008,
2009,Male,Gaza Strip,2009,
2010,Male,Gaza Strip,2010,
2011,Male,Gaza Strip,2011,
2012,Male,Gaza Strip,2012,
2013,Male,Gaza Strip,2013,
2014,Male,Gaza Strip,2014,
2015,Male,Gaza Strip,2015,
2016,Male,Gaza Strip,2016,
2017,Male,Gaza Strip,2017,
2000,Male,Palestine,2000,14.4
2001,Male,Palestine,2001,14.3
2002,Male,Palestine,2002,13.2
2003,Male,Palestine,2003,12.7
2004,Male,Palestine,2004,13.0
2005,Male,Palestine,2005,13.3
2006,Male,Palestine,2006,12.5
2007,Male,Palestine,2007,12.3
2008,Male,Palestine,2008,12.7
2009,Male,Palestine,2009,12.4
2010,Male,Palestine,2010,11.8
2011,Male,Palestine,2011,12.0
2012,Male,Palestine,2012,12.3
2013,Male,Palestine,2013,11.9
2014,Male,Palestine,2014,12.3
2015,Male,Palestine,2015,12.4
2016,Male,Palestine,2016,12.8
2017,Male,Palestine,2017,12.7
2000,Female,West Bank,2000,
2001,Female,West Bank,2001,
2002,Female,West Bank,2002,
2003,Female,West Bank,2003,
2004,Female,West Bank,2004,
2005,Female,West Bank,2005,
2006,Female,West Bank,2006,
2007,Female,West Bank,2007,
2008,Female,West Bank,2008,
2009,Female,West Bank,2009,
2010,Female,West Bank,2010,
2011,Female,West Bank,2011,
2012,Female,West Bank,2012,
2013,Female,West Bank,2013,
2014,Female,West Bank,2014,
2015,Female,West Bank,2015,
2016,Female,West Bank,2016,
2017,Female,West Bank,2017,
2000,Female,Gaza Strip,2000,
2001,Female,Gaza Strip,2001,
2002,Female,Gaza Strip,2002,
2003,Female,Gaza Strip,2003,
2004,Female,Gaza Strip,2004,
2005,Female,Gaza Strip,2005,
2006,Female,Gaza Strip,2006,
2007,Female,Gaza Strip,2007,
2008,Female,Gaza Strip,2008,
2009,Female,Gaza Strip,2009,
2010,Female,Gaza Strip,2010,
2011,Female,Gaza Strip,2011,
2012,Female,Gaza Strip,2012,
2013,Female,Gaza Strip,2013,
2014,Female,Gaza Strip,2014,
2015,Female,Gaza Strip,2015,
2016,Female,Gaza Strip,2016,
2017,Female,Gaza Strip,2017,
2000,Female,Palestine,2000,11.0
2001,Female,Palestine,2001,9.6
2002,Female,Palestine,2002,8.1
2003,Female,Palestine,2003,6.6
2004,Female,Palestine,2004,7.6
2005,Female,Palestine,2005,7.5
2006,Female,Palestine,2006,7.6
2007,Female,Palestine,2007,7.2
2008,Female,Palestine,2008,8.8
2009,Female,Palestine,2009,8.96
2010,Female,Palestine,2010,7.4
2011,Female,Palestine,2011,8.5
2012,Female,Palestine,2012,8.4
2013,Female,Palestine,2013,9.7
2014,Female,Palestine,2014,9.7
2015,Female,Palestine,2015,10.8
2016,Female,Palestine,2016,10.9
2017,Female,Palestine,2017,10.7
2000,Both sexes or no breakdown by sex,West Bank,2000,14.9
2001,Both sexes or no breakdown by sex,West Bank,2001,14.9
2002,Both sexes or no breakdown by sex,West Bank,2002,13.8
2003,Both sexes or no breakdown by sex,West Bank,2003,13.0
2004,Both sexes or no breakdown by sex,West Bank,2004,13.3
2005,Both sexes or no breakdown by sex,West Bank,2005,14.2
2006,Both sexes or no breakdown by sex,West Bank,2006,13.7
2007,Both sexes or no breakdown by sex,West Bank,2007,13.5
2008,Both sexes or no breakdown by sex,West Bank,2008,14.8
2009,Both sexes or no breakdown by sex,West Bank,2009,14.1
2010,Both sexes or no breakdown by sex,West Bank,2010,13.3
2011,Both sexes or no breakdown by sex,West Bank,2011,13.9
2012,Both sexes or no breakdown by sex,West Bank,2012,14.4
2013,Both sexes or no breakdown by sex,West Bank,2013,14.4
2014,Both sexes or no breakdown by sex,West Bank,2014,14.5
2015,Both sexes or no breakdown by sex,West Bank,2015,14.9
2016,Both sexes or no breakdown by sex,West Bank,2016,15.3
2017,Both sexes or no breakdown by sex,West Bank,2017,15.0
2000,Both sexes or no breakdown by sex,Gaza Strip,2000,11.4
2001,Both sexes or no breakdown by sex,Gaza Strip,2001,9.6
2002,Both sexes or no breakdown by sex,Gaza Strip,2002,8.8
2003,Both sexes or no breakdown by sex,Gaza Strip,2003,8.6
2004,Both sexes or no breakdown by sex,Gaza Strip,2004,8.8
2005,Both sexes or no breakdown by sex,Gaza Strip,2005,7.9
2006,Both sexes or no breakdown by sex,Gaza Strip,2006,5.9
2007,Both sexes or no breakdown by sex,Gaza Strip,2007,5.8
2008,Both sexes or no breakdown by sex,Gaza Strip,2008,4.3
2009,Both sexes or no breakdown by sex,Gaza Strip,2009,5.3
2010,Both sexes or no breakdown by sex,Gaza Strip,2010,4.8
2011,Both sexes or no breakdown by sex,Gaza Strip,2011,5.5
2012,Both sexes or no breakdown by sex,Gaza Strip,2012,5.3
2013,Both sexes or no breakdown by sex,Gaza Strip,2013,5.3
2014,Both sexes or no breakdown by sex,Gaza Strip,2014,4.9
2015,Both sexes or no breakdown by sex,Gaza Strip,2015,5.8
2016,Both sexes or no breakdown by sex,Gaza Strip,2016,6.3
2017,Both sexes or no breakdown by sex,Gaza Strip,2017,6.0
2000,Both sexes or no breakdown by sex,Palestine,2000,13.9
