Year,SEX,REF_AREA,TIME_DETAIL,UNIT_MEASURE,SERIES,Value
2000,M,PS,2000,NUMBER,AG_PRD_ORTIND,
2001,M,PS,2001,NUMBER,AG_PRD_ORTIND,
2002,M,PS,2002,NUMBER,AG_PRD_ORTIND,
2003,M,PS,2003,NUMBER,AG_PRD_ORTIND,
2004,M,PS,2004,NUMBER,AG_PRD_ORTIND,
2005,M,PS,2005,NUMBER,AG_PRD_ORTIND,
2006,M,PS,2006,NUMBER,AG_PRD_ORTIND,11.4
2007,M,PS,2007,NUMBER,AG_PRD_ORTIND,11.4
2008,M,PS,2008,NUMBER,AG_PRD_ORTIND,11.4
2009,M,PS,2009,NUMBER,AG_PRD_ORTIND,11.4
2010,M,PS,2010,NUMBER,AG_PRD_ORTIND,11.4
2011,M,PS,2011,NUMBER,AG_PRD_ORTIND,11.4
2012,M,PS,2012,NUMBER,AG_PRD_ORTIND,11.4
2013,M,PS,2013,NUMBER,AG_PRD_ORTIND,11.4
2014,M,PS,2014,NUMBER,AG_PRD_ORTIND,11.4
2015,M,PS,2015,NUMBER,AG_PRD_ORTIND,11.4
2016,M,PS,2016,NUMBER,AG_PRD_ORTIND,11.4
2017,M,PS,2017,NUMBER,AG_PRD_ORTIND,11.4
2018,M,PS,2018,NUMBER,AG_PRD_ORTIND,11.4
2019,M,PS,2019,NUMBER,AG_PRD_ORTIND,11.4
2020,M,PS,2020,NUMBER,AG_PRD_ORTIND,10.0
2000,M,Jenin,2000,NUMBER,AG_PRD_ORTIND,
2001,M,Jenin,2001,NUMBER,AG_PRD_ORTIND,
2002,M,Jenin,2002,NUMBER,AG_PRD_ORTIND,
2003,M,Jenin,2003,NUMBER,AG_PRD_ORTIND,
2004,M,Jenin,2004,NUMBER,AG_PRD_ORTIND,
2005,M,Jenin,2005,NUMBER,AG_PRD_ORTIND,
2006,M,Jenin,2006,NUMBER,AG_PRD_ORTIND,
2007,M,Jenin,2007,NUMBER,AG_PRD_ORTIND,
