Year,AREA,TIME_DETAIL,Value
2001,West Bank,2001,-5.64
2002,West Bank,2002,-12.18
2003,West Bank,2003,-5.11
2004,West Bank,2004,16.99
2005,West Bank,2005,0.76
2006,West Bank,2006,-1.31
2007,West Bank,2007,7.0
2008,West Bank,2008,17.27
2009,West Bank,2009,-0.01
2010,West Bank,2010,-0.63
2011,West Bank,2011,0.65
2012,West Bank,2012,2.81
2013,West Bank,2013,3.44
2014,West Bank,2014,-3.31
2015,West Bank,2015,2.9
2016,West Bank,2016,9.76
2017,West Bank,2017,3.15
2018,West Bank,2018,-16.6
2001,Gaza Strip,2001,14.73
2002,Gaza Strip,2002,-8.45
2003,Gaza Strip,2003,-4.96
2004,Gaza Strip,2004,35.33
2005,Gaza Strip,2005,-5.48
2006,Gaza Strip,2006,-16.27
2007,Gaza Strip,2007,-25.19
2008,Gaza Strip,2008,2.44
2009,Gaza Strip,2009,0.89
2010,Gaza Strip,2010,6.76
2011,Gaza Strip,2011,-12.44
2012,Gaza Strip,2012,3.12
2013,Gaza Strip,2013,4.0
2014,Gaza Strip,2014,-7.02
2015,Gaza Strip,2015,-8.24
2016,Gaza Strip,2016,5.0
2017,Gaza Strip,2017,-5.31
2018,Gaza Strip,2018,5.77
2001,Palestine,2001,0.29
2002,Palestine,2002,-10.98
2003,Palestine,2003,-4.94
2004,Palestine,2004,8.19
2005,Palestine,2005,-17.14
2006,Palestine,2006,4.01
2007,Palestine,2007,-3.9
2008,Palestine,2008,14.08
2009,Palestine,2009,0.44
2010,Palestine,2010,1.19
2011,Palestine,2011,-3.79
2012,Palestine,2012,2.63
2013,Palestine,2013,3.2
2014,Palestine,2014,-2.62
2015,Palestine,2015,-0.55
2016,Palestine,2016,8.07
2017,Palestine,2017,1.88
2018,Palestine,2018,-9.62
