Year,indicador-disponível,objectivo,meta,indicador,sériedescrição,província,sexo,idade,área-de-residência,nível-de-educação,ocupação,deficiência,composição-composta,quintil,unit,scale,Value
2015,G,17,17.1,17.1.1,GR_G14_GDP,508,_T,_T,_T,_T,_T,_T,_T,_T,Percent,1,26.454
2016,G,17,17.1,17.1.1,GR_G14_GDP,508,_T,_T,_T,_T,_T,_T,_T,_T,Percent,1,24.026
2015,G,17,17.1,17.1.1,GR_G14_GDP,508,_T,_T,_T,_T,_T,_T,RC,_T,Percent,1,25.9287045176092
2016,G,17,17.1,17.1.1,GR_G14_GDP,508,_T,_T,_T,_T,_T,_T,RC,_T,Percent,1,23.1354748096742
2015,G,17,17.1,17.1.1,GR_G14_GDP,508,_T,_T,_T,_T,_T,_T,RF,_T,Percent,1,22.0021076067294
2016,G,17,17.1,17.1.1,GR_G14_GDP,508,_T,_T,_T,_T,_T,_T,RF,_T,Percent,1,20.0944410508798
2015,G,17,17.1,17.1.1,GR_G14_GDP,508,_T,_T,_T,_T,_T,_T,RNF,_T,Percent,1,1.04718527594036
2016,G,17,17.1,17.1.1,GR_G14_GDP,508,_T,_T,_T,_T,_T,_T,RNF,_T,Percent,1,0.371075415002329
2015,G,17,17.1,17.1.1,GR_G14_GDP,508,_T,_T,_T,_T,_T,_T,RCO,_T,Percent,1,1.89341822587707
2016,G,17,17.1,17.1.1,GR_G14_GDP,508,_T,_T,_T,_T,_T,_T,RCO,_T,Percent,1,1.70416112290395
2015,G,17,17.1,17.1.1,GR_G14_GDP,508,_T,_T,_T,_T,_T,_T,RP,_T,Percent,1,0.98599340906237
2016,G,17,17.1,17.1.1,GR_G14_GDP,508,_T,_T,_T,_T,_T,_T,RP,_T,Percent,1,0.965797220888172
2015,G,17,17.1,17.1.1,GR_G14_GDP,508,_T,_T,_T,_T,_T,_T,RCA,_T,Percent,1,0.525476247849121
2016,G,17,17.1,17.1.1,GR_G14_GDP,508,_T,_T,_T,_T,_T,_T,RCA,_T,Percent,1,0.891233914624361
