Year,seriesdescription,geoarea,sex,age,urbanization,education-level,wealth-quintile,unit,scale,Value
2005,SH_STA_STUNT,ET,_T,_T,_T,AGGA_01_02,_T,Percent,1,53.4
2011,SH_STA_STUNT,ET,_T,_T,_T,AGGA_01_02,_T,Percent,1,46.8
2000,SH_STA_STUNT,ET,_T,_T,_T,AGG_1_2,_T,Percent,1,54.4
2005,SH_STA_STUNT,ET,_T,_T,_T,AGG_1_2,_T,Percent,1,45.2
2011,SH_STA_STUNT,ET,_T,_T,_T,AGG_1_2,_T,Percent,1,41.7
2000,SH_STA_STUNT,ET,_T,_T,_T,AGG_2_3,_T,Percent,1,36.9
2005,SH_STA_STUNT,ET,_T,_T,_T,AGG_2_3,_T,Percent,1,30.6
2011,SH_STA_STUNT,ET,_T,_T,_T,AGG_2_3,_T,Percent,1,20.2
2000,SH_STA_STUNT,ET,_T,_T,_T,AGG_5T8,_T,Percent,1,20.6
2005,SH_STA_STUNT,ET,_T,_T,_T,AGG_5T8,_T,Percent,1,20.4
2011,SH_STA_STUNT,ET,_T,_T,_T,AGG_5T8,_T,Percent,1,19.5
2000,SH_STA_STUNT,ET,_T,Y0T4,_T,_T,_T,Percent,1,57.7
2005,SH_STA_STUNT,ET,_T,Y0T4,_T,_T,_T,Percent,1,50.8
2011,SH_STA_STUNT,ET,_T,Y0T4,_T,_T,_T,Percent,1,44.4
2000,SH_STA_STUNT,ET,_T,Y0T4,_T,_T,Q1,Percent,1,60.6
2005,SH_STA_STUNT,ET,_T,Y0T4,_T,_T,Q1,Percent,1,52.3
2011,SH_STA_STUNT,ET,_T,Y0T4,_T,_T,Q1,Percent,1,49.2
2000,SH_STA_STUNT,ET,_T,Y0T4,_T,_T,Q2,Percent,1,59.9
2005,SH_STA_STUNT,ET,_T,Y0T4,_T,_T,Q2,Percent,1,55.3
2011,SH_STA_STUNT,ET,_T,Y0T4,_T,_T,Q2,Percent,1,47.7
2000,SH_STA_STUNT,ET,_T,Y0T4,_T,_T,Q3,Percent,1,60.4
2005,SH_STA_STUNT,ET,_T,Y0T4,_T,_T,Q3,Percent,1,52.3
2011,SH_STA_STUNT,ET,_T,Y0T4,_T,_T,Q3,Percent,1,45.6
2000,SH_STA_STUNT,ET,_T,Y0T4,_T,_T,Q4,Percent,1,56.7
2005,SH_STA_STUNT,ET,_T,Y0T4,_T,_T,Q4,Percent,1,51.4
2011,SH_STA_STUNT,ET,_T,Y0T4,_T,_T,Q4,Percent,1,45.0
2000,SH_STA_STUNT,ET,_T,Y0T4,_T,_T,Q5,Percent,1,48.5
2005,SH_STA_STUNT,ET,_T,Y0T4,_T,_T,Q5,Percent,1,39.6
2011,SH_STA_STUNT,ET,_T,Y0T4,_T,_T,Q5,Percent,1,29.7
2000,SH_STA_STUNT,ET,_T,Y0T4,U,_T,_T,Percent,1,47.6
2005,SH_STA_STUNT,ET,_T,Y0T4,U,_T,_T,Percent,1,33.0
2011,SH_STA_STUNT,ET,_T,Y0T4,U,_T,_T,Percent,1,31.5
2000,SH_STA_STUNT,ET,_T,Y0T4,R,_T,_T,Percent,1,58.9
2005,SH_STA_STUNT,ET,_T,Y0T4,R,_T,_T,Percent,1,52.4
2011,SH_STA_STUNT,ET,_T,Y0T4,R,_T,_T,Percent,1,46.2
2000,SH_STA_STUNT,ET,F,Y0T4,_T,_T,_T,Percent,1,56.2
2005,SH_STA_STUNT,ET,F,Y0T4,_T,_T,_T,Percent,1,49.4
2011,SH_STA_STUNT,ET,F,Y0T4,_T,_T,_T,Percent,1,42.5
2000,SH_STA_STUNT,ET,M,Y0T4,_T,_T,_T,Percent,1,59.2
2005,SH_STA_STUNT,ET,M,Y0T4,_T,_T,_T,Percent,1,52.3
2011,SH_STA_STUNT,ET,M,Y0T4,_T,_T,_T,Percent,1,46.2
2000,SH_STA_STUNT,ET01,_T,Y0T4,_T,_T,_T,Percent,1,61.2
2005,SH_STA_STUNT,ET01,_T,Y0T4,_T,_T,_T,Percent,1,46.1
2011,SH_STA_STUNT,ET01,_T,Y0T4,_T,_T,_T,Percent,1,51.4
2000,SH_STA_STUNT,ET02,_T,Y0T4,_T,_T,_T,Percent,1,53.1
2005,SH_STA_STUNT,ET02,_T,Y0T4,_T,_T,_T,Percent,1,42.2
2011,SH_STA_STUNT,ET02,_T,Y0T4,_T,_T,_T,Percent,1,50.2
2000,SH_STA_STUNT,ET03,_T,Y0T4,_T,_T,_T,Percent,1,63.0
2005,SH_STA_STUNT,ET03,_T,Y0T4,_T,_T,_T,Percent,1,64.0
2011,SH_STA_STUNT,ET03,_T,Y0T4,_T,_T,_T,Percent,1,52.0
2000,SH_STA_STUNT,ET04,_T,Y0T4,_T,_T,_T,Percent,1,53.9
2005,SH_STA_STUNT,ET04,_T,Y0T4,_T,_T,_T,Percent,1,43.9
2011,SH_STA_STUNT,ET04,_T,Y0T4,_T,_T,_T,Percent,1,41.4
2000,SH_STA_STUNT,ET05,_T,Y0T4,_T,_T,_T,Percent,1,51.8
2005,SH_STA_STUNT,ET05,_T,Y0T4,_T,_T,_T,Percent,1,49.4
2011,SH_STA_STUNT,ET05,_T,Y0T4,_T,_T,_T,Percent,1,33.0
2000,SH_STA_STUNT,ET06,_T,Y0T4,_T,_T,_T,Percent,1,49.7
2005,SH_STA_STUNT,ET06,_T,Y0T4,_T,_T,_T,Percent,1,43.8
2011,SH_STA_STUNT,ET06,_T,Y0T4,_T,_T,_T,Percent,1,48.6
2000,SH_STA_STUNT,ET07,_T,Y0T4,_T,_T,_T,Percent,1,60.8
2005,SH_STA_STUNT,ET07,_T,Y0T4,_T,_T,_T,Percent,1,55.1
2011,SH_STA_STUNT,ET07,_T,Y0T4,_T,_T,_T,Percent,1,44.1
2000,SH_STA_STUNT,ET12,_T,Y0T4,_T,_T,_T,Percent,1,41.7
2005,SH_STA_STUNT,ET12,_T,Y0T4,_T,_T,_T,Percent,1,38.2
2011,SH_STA_STUNT,ET12,_T,Y0T4,_T,_T,_T,Percent,1,27.3
2000,SH_STA_STUNT,ET13,_T,Y0T4,_T,_T,_T,Percent,1,42.1
2005,SH_STA_STUNT,ET13,_T,Y0T4,_T,_T,_T,Percent,1,43.8
2011,SH_STA_STUNT,ET13,_T,Y0T4,_T,_T,_T,Percent,1,29.8
2000,SH_STA_STUNT,ET14,_T,Y0T4,_T,_T,_T,Percent,1,32.9
2005,SH_STA_STUNT,ET14,_T,Y0T4,_T,_T,_T,Percent,1,24.3
2011,SH_STA_STUNT,ET14,_T,Y0T4,_T,_T,_T,Percent,1,22.0
2000,SH_STA_STUNT,ET15,_T,Y0T4,_T,_T,_T,Percent,1,34.3
2005,SH_STA_STUNT,ET15,_T,Y0T4,_T,_T,_T,Percent,1,34.6
2011,SH_STA_STUNT,ET15,_T,Y0T4,_T,_T,_T,Percent,1,36.3
