Year,seriesdescription,area,sex,age,urbanisation,education-level,unit,scale,Value
2010,D202,BI,_T,_T,_T,_T,,1,2.6
2011,D202,BI,_T,_T,_T,_T,,1,2.5
2012,D202,BI,_T,_T,_T,_T,,1,3.4
2013,D202,BI,_T,_T,_T,_T,,1,3.5
2014,D202,BI,_T,_T,_T,_T,,1,4.2
2015,D202,BI,_T,_T,_T,_T,,1,3.9
2016,D202,BI,_T,_T,_T,_T,,1,4.5
2010,D203,BI,_T,_T,_T,_T,,1,12.4
2011,D203,BI,_T,_T,_T,_T,,1,13.4
2012,D203,BI,_T,_T,_T,_T,,1,8.4
2013,D203,BI,_T,_T,_T,_T,,1,11.1
2014,D203,BI,_T,_T,_T,_T,,1,5.9
2015,D203,BI,_T,_T,_T,_T,,1,7.3
2016,D203,BI,_T,_T,_T,_T,,1,13.6
