Year,indicador-disponível,objectivo,meta,indicador,sériedescrição,província,sexo,idade,área-de-residência,nível-de-educação,ocupação,deficiência,composição-composta,quintil,unit,scale,Value
2015,N,4,4.1,4.1.MZ_2,D17,508,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,Percent,1,54.9
2016,N,4,4.1,4.1.MZ_2,D17,508,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,Percent,1,56.2
2017,N,4,4.1,4.1.MZ_2,D17,508,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,Percent,1,52.6
2018,N,4,4.1,4.1.MZ_2,D17,508,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,Percent,1,57.8
2015,N,4,4.1,4.1.MZ_2,D17,508,_T,_T,_T,AGG_2,_T,_T,_T,_T,Percent,1,31.8
2016,N,4,4.1,4.1.MZ_2,D17,508,_T,_T,_T,AGG_2,_T,_T,_T,_T,Percent,1,31.5
2017,N,4,4.1,4.1.MZ_2,D17,508,_T,_T,_T,AGG_2,_T,_T,_T,_T,Percent,1,31.5
2018,N,4,4.1,4.1.MZ_2,D17,508,_T,_T,_T,AGG_2,_T,_T,_T,_T,Percent,1,29.9
2015,N,4,4.1,4.1.MZ_2,D17,MZ-A,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,Percent,1,42.2
2016,N,4,4.1,4.1.MZ_2,D17,MZ-A,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,Percent,1,43.9
2017,N,4,4.1,4.1.MZ_2,D17,MZ-A,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,Percent,1,41.8
2018,N,4,4.1,4.1.MZ_2,D17,MZ-A,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,Percent,1,44.7
2015,N,4,4.1,4.1.MZ_2,D17,MZ-A,_T,_T,_T,AGG_2,_T,_T,_T,_T,Percent,1,24.7
2016,N,4,4.1,4.1.MZ_2,D17,MZ-A,_T,_T,_T,AGG_2,_T,_T,_T,_T,Percent,1,23.0
2017,N,4,4.1,4.1.MZ_2,D17,MZ-A,_T,_T,_T,AGG_2,_T,_T,_T,_T,Percent,1,24.1
2018,N,4,4.1,4.1.MZ_2,D17,MZ-A,_T,_T,_T,AGG_2,_T,_T,_T,_T,Percent,1,24.5
2015,N,4,4.1,4.1.MZ_2,D17,MZ-P,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,Percent,1,43.2
2016,N,4,4.1,4.1.MZ_2,D17,MZ-P,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,Percent,1,43.5
2017,N,4,4.1,4.1.MZ_2,D17,MZ-P,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,Percent,1,39.1
2018,N,4,4.1,4.1.MZ_2,D17,MZ-P,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,Percent,1,47.0
2015,N,4,4.1,4.1.MZ_2,D17,MZ-P,_T,_T,_T,AGG_2,_T,_T,_T,_T,Percent,1,20.6
2016,N,4,4.1,4.1.MZ_2,D17,MZ-P,_T,_T,_T,AGG_2,_T,_T,_T,_T,Percent,1,22.2
2017,N,4,4.1,4.1.MZ_2,D17,MZ-P,_T,_T,_T,AGG_2,_T,_T,_T,_T,Percent,1,19.7
2018,N,4,4.1,4.1.MZ_2,D17,MZ-P,_T,_T,_T,AGG_2,_T,_T,_T,_T,Percent,1,18.7
2015,N,4,4.1,4.1.MZ_2,D17,MZ-N,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,Percent,1,43.1
2016,N,4,4.1,4.1.MZ_2,D17,MZ-N,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,Percent,1,41.8
2017,N,4,4.1,4.1.MZ_2,D17,MZ-N,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,Percent,1,39.5
2018,N,4,4.1,4.1.MZ_2,D17,MZ-N,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,Percent,1,43.5
2015,N,4,4.1,4.1.MZ_2,D17,MZ-N,_T,_T,_T,AGG_2,_T,_T,_T,_T,Percent,1,22.5
2016,N,4,4.1,4.1.MZ_2,D17,MZ-N,_T,_T,_T,AGG_2,_T,_T,_T,_T,Percent,1,20.9
2017,N,4,4.1,4.1.MZ_2,D17,MZ-N,_T,_T,_T,AGG_2,_T,_T,_T,_T,Percent,1,21.7
2018,N,4,4.1,4.1.MZ_2,D17,MZ-N,_T,_T,_T,AGG_2,_T,_T,_T,_T,Percent,1,21.0
2015,N,4,4.1,4.1.MZ_2,D17,MZ-Q,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,Percent,1,43.7
2016,N,4,4.1,4.1.MZ_2,D17,MZ-Q,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,Percent,1,44.8
2017,N,4,4.1,4.1.MZ_2,D17,MZ-Q,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,Percent,1,43.1
2018,N,4,4.1,4.1.MZ_2,D17,MZ-Q,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,Percent,1,47.1
2015,N,4,4.1,4.1.MZ_2,D17,MZ-Q,_T,_T,_T,AGG_2,_T,_T,_T,_T,Percent,1,20.5
2016,N,4,4.1,4.1.MZ_2,D17,MZ-Q,_T,_T,_T,AGG_2,_T,_T,_T,_T,Percent,1,19.3
2017,N,4,4.1,4.1.MZ_2,D17,MZ-Q,_T,_T,_T,AGG_2,_T,_T,_T,_T,Percent,1,22.2
2018,N,4,4.1,4.1.MZ_2,D17,MZ-Q,_T,_T,_T,AGG_2,_T,_T,_T,_T,Percent,1,19.6
2015,N,4,4.1,4.1.MZ_2,D17,MZ-T,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,Percent,1,41.9
2016,N,4,4.1,4.1.MZ_2,D17,MZ-T,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,Percent,1,43.3
2017,N,4,4.1,4.1.MZ_2,D17,MZ-T,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,Percent,1,41.6
2018,N,4,4.1,4.1.MZ_2,D17,MZ-T,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,Percent,1,45.5
2015,N,4,4.1,4.1.MZ_2,D17,MZ-T,_T,_T,_T,AGG_2,_T,_T,_T,_T,Percent,1,20.0
2016,N,4,4.1,4.1.MZ_2,D17,MZ-T,_T,_T,_T,AGG_2,_T,_T,_T,_T,Percent,1,21.5
2017,N,4,4.1,4.1.MZ_2,D17,MZ-T,_T,_T,_T,AGG_2,_T,_T,_T,_T,Percent,1,21.8
2018,N,4,4.1,4.1.MZ_2,D17,MZ-T,_T,_T,_T,AGG_2,_T,_T,_T,_T,Percent,1,21.8
2015,N,4,4.1,4.1.MZ_2,D17,MZ-B,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,Percent,1,60.9
2016,N,4,4.1,4.1.MZ_2,D17,MZ-B,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,Percent,1,64.9
2017,N,4,4.1,4.1.MZ_2,D17,MZ-B,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,Percent,1,57.4
2018,N,4,4.1,4.1.MZ_2,D17,MZ-B,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,Percent,1,66.7
2015,N,4,4.1,4.1.MZ_2,D17,MZ-B,_T,_T,_T,AGG_2,_T,_T,_T,_T,Percent,1,30.9
2016,N,4,4.1,4.1.MZ_2,D17,MZ-B,_T,_T,_T,AGG_2,_T,_T,_T,_T,Percent,1,29.1
2017,N,4,4.1,4.1.MZ_2,D17,MZ-B,_T,_T,_T,AGG_2,_T,_T,_T,_T,Percent,1,28.7
2018,N,4,4.1,4.1.MZ_2,D17,MZ-B,_T,_T,_T,AGG_2,_T,_T,_T,_T,Percent,1,28.7
2015,N,4,4.1,4.1.MZ_2,D17,MZ-S,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,Percent,1,64.4
2016,N,4,4.1,4.1.MZ_2,D17,MZ-S,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,Percent,1,65.4
2017,N,4,4.1,4.1.MZ_2,D17,MZ-S,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,Percent,1,67.0
2018,N,4,4.1,4.1.MZ_2,D17,MZ-S,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,Percent,1,72.9
2015,N,4,4.1,4.1.MZ_2,D17,MZ-S,_T,_T,_T,AGG_2,_T,_T,_T,_T,Percent,1,40.9
2016,N,4,4.1,4.1.MZ_2,D17,MZ-S,_T,_T,_T,AGG_2,_T,_T,_T,_T,Percent,1,41.0
2017,N,4,4.1,4.1.MZ_2,D17,MZ-S,_T,_T,_T,AGG_2,_T,_T,_T,_T,Percent,1,38.8
2018,N,4,4.1,4.1.MZ_2,D17,MZ-S,_T,_T,_T,AGG_2,_T,_T,_T,_T,Percent,1,37.2
2015,N,4,4.1,4.1.MZ_2,D17,MZ-I,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,Percent,1,78.1
2016,N,4,4.1,4.1.MZ_2,D17,MZ-I,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,Percent,1,78.6
2017,N,4,4.1,4.1.MZ_2,D17,MZ-I,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,Percent,1,72.2
2018,N,4,4.1,4.1.MZ_2,D17,MZ-I,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,Percent,1,74.5
2015,N,4,4.1,4.1.MZ_2,D17,MZ-I,_T,_T,_T,AGG_2,_T,_T,_T,_T,Percent,1,40.8
2016,N,4,4.1,4.1.MZ_2,D17,MZ-I,_T,_T,_T,AGG_2,_T,_T,_T,_T,Percent,1,39.2
2017,N,4,4.1,4.1.MZ_2,D17,MZ-I,_T,_T,_T,AGG_2,_T,_T,_T,_T,Percent,1,37.4
2018,N,4,4.1,4.1.MZ_2,D17,MZ-I,_T,_T,_T,AGG_2,_T,_T,_T,_T,Percent,1,36.9
2015,N,4,4.1,4.1.MZ_2,D17,MZ-G,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,Percent,1,64.6
2016,N,4,4.1,4.1.MZ_2,D17,MZ-G,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,Percent,1,68.7
2017,N,4,4.1,4.1.MZ_2,D17,MZ-G,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,Percent,1,66.2
2018,N,4,4.1,4.1.MZ_2,D17,MZ-G,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,Percent,1,71.6
2015,N,4,4.1,4.1.MZ_2,D17,MZ-G,_T,_T,_T,AGG_2,_T,_T,_T,_T,Percent,1,37.5
2016,N,4,4.1,4.1.MZ_2,D17,MZ-G,_T,_T,_T,AGG_2,_T,_T,_T,_T,Percent,1,39.3
2017,N,4,4.1,4.1.MZ_2,D17,MZ-G,_T,_T,_T,AGG_2,_T,_T,_T,_T,Percent,1,37.5
2018,N,4,4.1,4.1.MZ_2,D17,MZ-G,_T,_T,_T,AGG_2,_T,_T,_T,_T,Percent,1,36.6
2015,N,4,4.1,4.1.MZ_2,D17,MZ-L,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,Percent,1,92.0
2016,N,4,4.1,4.1.MZ_2,D17,MZ-L,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,Percent,1,96.7
2017,N,4,4.1,4.1.MZ_2,D17,MZ-L,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,Percent,1,88.8
2018,N,4,4.1,4.1.MZ_2,D17,MZ-L,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,Percent,1,98.9
2015,N,4,4.1,4.1.MZ_2,D17,MZ-L,_T,_T,_T,AGG_2,_T,_T,_T,_T,Percent,1,53.6
2016,N,4,4.1,4.1.MZ_2,D17,MZ-L,_T,_T,_T,AGG_2,_T,_T,_T,_T,Percent,1,57.8
2017,N,4,4.1,4.1.MZ_2,D17,MZ-L,_T,_T,_T,AGG_2,_T,_T,_T,_T,Percent,1,57.1
2018,N,4,4.1,4.1.MZ_2,D17,MZ-L,_T,_T,_T,AGG_2,_T,_T,_T,_T,Percent,1,55.5
2015,N,4,4.1,4.1.MZ_2,D17,MZ6,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,Percent,1,92.9
2016,N,4,4.1,4.1.MZ_2,D17,MZ6,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,Percent,1,96.3
2017,N,4,4.1,4.1.MZ_2,D17,MZ6,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,Percent,1,81.2
2018,N,4,4.1,4.1.MZ_2,D17,MZ6,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,Percent,1,86.1
2015,N,4,4.1,4.1.MZ_2,D17,MZ6,_T,_T,_T,AGG_2,_T,_T,_T,_T,Percent,1,96.7
2016,N,4,4.1,4.1.MZ_2,D17,MZ6,_T,_T,_T,AGG_2,_T,_T,_T,_T,Percent,1,96.9
2017,N,4,4.1,4.1.MZ_2,D17,MZ6,_T,_T,_T,AGG_2,_T,_T,_T,_T,Percent,1,95.4
2018,N,4,4.1,4.1.MZ_2,D17,MZ6,_T,_T,_T,AGG_2,_T,_T,_T,_T,Percent,1,82.4
