Year,SEX,REF_AREA,TIME_DETAIL,UNIT_MEASURE,SERIES,Value
2000,M,West Bank,2000,NUMBER,IC_GEN_MGTL,
2001,M,West Bank,2001,NUMBER,IC_GEN_MGTL,
2002,M,West Bank,2002,NUMBER,IC_GEN_MGTL,
2003,M,West Bank,2003,NUMBER,IC_GEN_MGTL,
2004,M,West Bank,2004,NUMBER,IC_GEN_MGTL,
2005,M,West Bank,2005,NUMBER,IC_GEN_MGTL,
2006,M,West Bank,2006,NUMBER,IC_GEN_MGTL,
2007,M,West Bank,2007,NUMBER,IC_GEN_MGTL,
2008,M,West Bank,2008,NUMBER,IC_GEN_MGTL,
2009,M,West Bank,2009,NUMBER,IC_GEN_MGTL,
2010,M,West Bank,2010,NUMBER,IC_GEN_MGTL,
2011,M,West Bank,2011,NUMBER,IC_GEN_MGTL,
2012,M,West Bank,2012,NUMBER,IC_GEN_MGTL,
2013,M,West Bank,2013,NUMBER,IC_GEN_MGTL,
2014,M,West Bank,2014,NUMBER,IC_GEN_MGTL,
2015,M,West Bank,2015,NUMBER,IC_GEN_MGTL,
2016,M,West Bank,2016,NUMBER,IC_GEN_MGTL,
2017,M,West Bank,2017,NUMBER,IC_GEN_MGTL,
2018,M,West Bank,2018,NUMBER,IC_GEN_MGTL,
2019,M,West Bank,2019,NUMBER,IC_GEN_MGTL,
2000,M,Gaza Strip,2000,NUMBER,IC_GEN_MGTL,
2001,M,Gaza Strip,2001,NUMBER,IC_GEN_MGTL,
2002,M,Gaza Strip,2002,NUMBER,IC_GEN_MGTL,
2003,M,Gaza Strip,2003,NUMBER,IC_GEN_MGTL,
2004,M,Gaza Strip,2004,NUMBER,IC_GEN_MGTL,
2005,M,Gaza Strip,2005,NUMBER,IC_GEN_MGTL,
2006,M,Gaza Strip,2006,NUMBER,IC_GEN_MGTL,
2007,M,Gaza Strip,2007,NUMBER,IC_GEN_MGTL,
2008,M,Gaza Strip,2008,NUMBER,IC_GEN_MGTL,
2009,M,Gaza Strip,2009,NUMBER,IC_GEN_MGTL,
2010,M,Gaza Strip,2010,NUMBER,IC_GEN_MGTL,
2011,M,Gaza Strip,2011,NUMBER,IC_GEN_MGTL,
2012,M,Gaza Strip,2012,NUMBER,IC_GEN_MGTL,
2013,M,Gaza Strip,2013,NUMBER,IC_GEN_MGTL,
2014,M,Gaza Strip,2014,NUMBER,IC_GEN_MGTL,
2015,M,Gaza Strip,2015,NUMBER,IC_GEN_MGTL,
2016,M,Gaza Strip,2016,NUMBER,IC_GEN_MGTL,
2017,M,Gaza Strip,2017,NUMBER,IC_GEN_MGTL,
