Year,SEX,REF_AREA,TIME_DETAIL,SERIES,Value
2000,M,Jenin,2000,SL_TLF_UEM,18.4
2001,M,Jenin,2001,SL_TLF_UEM,40.9
2002,M,Jenin,2002,SL_TLF_UEM,48.2
2003,M,Jenin,2003,SL_TLF_UEM,39.0
2004,M,Jenin,2004,SL_TLF_UEM,30.7
2005,M,Jenin,2005,SL_TLF_UEM,25.7
2006,M,Jenin,2006,SL_TLF_UEM,23.5
2007,M,Jenin,2007,SL_TLF_UEM,20.3
2008,M,Jenin,2008,SL_TLF_UEM,24.6
2009,M,Jenin,2009,SL_TLF_UEM,18.6
2010,M,Jenin,2010,SL_TLF_UEM,15.4
2011,M,Jenin,2011,SL_TLF_UEM,12.3
2012,M,Jenin,2012,SL_TLF_UEM,12.9
2013,M,Jenin,2013,SL_TLF_UEM,15.1
2014,M,Jenin,2014,SL_TLF_UEM,12.1
2015,M,Jenin,2015,SL_TLF_UEM,13.7
2016,M,Jenin,2016,SL_TLF_UEM,15.5
2017,M,Jenin,2017,SL_TLF_UEM,13.7
2018,M,Jenin,2018,SL_TLF_UEM,16.8
2000,M,Tubas & Northern Valleys,2000,SL_TLF_UEM,16.3
2001,M,Tubas & Northern Valleys,2001,SL_TLF_UEM,33.6
2002,M,Tubas & Northern Valleys,2002,SL_TLF_UEM,41.8
2003,M,Tubas & Northern Valleys,2003,SL_TLF_UEM,27.0
2004,M,Tubas & Northern Valleys,2004,SL_TLF_UEM,22.9
2005,M,Tubas & Northern Valleys,2005,SL_TLF_UEM,18.3
2006,M,Tubas & Northern Valleys,2006,SL_TLF_UEM,17.5
2007,M,Tubas & Northern Valleys,2007,SL_TLF_UEM,20.3
2008,M,Tubas & Northern Valleys,2008,SL_TLF_UEM,16.7
2009,M,Tubas & Northern Valleys,2009,SL_TLF_UEM,11.3
2010,M,Tubas & Northern Valleys,2010,SL_TLF_UEM,11.4
2011,M,Tubas & Northern Valleys,2011,SL_TLF_UEM,14.0
2012,M,Tubas & Northern Valleys,2012,SL_TLF_UEM,13.7
2013,M,Tubas & Northern Valleys,2013,SL_TLF_UEM,14.2
2014,M,Tubas & Northern Valleys,2014,SL_TLF_UEM,11.4
2015,M,Tubas & Northern Valleys,2015,SL_TLF_UEM,15.5
2016,M,Tubas & Northern Valleys,2016,SL_TLF_UEM,15.4
2017,M,Tubas & Northern Valleys,2017,SL_TLF_UEM,17.6
2018,M,Tubas & Northern Valleys,2018,SL_TLF_UEM,13.9
2000,M,Tulkarm,2000,SL_TLF_UEM,17.3
2001,M,Tulkarm,2001,SL_TLF_UEM,22.3
2002,M,Tulkarm,2002,SL_TLF_UEM,25.9
2003,M,Tulkarm,2003,SL_TLF_UEM,26.9
2004,M,Tulkarm,2004,SL_TLF_UEM,22.8
2005,M,Tulkarm,2005,SL_TLF_UEM,21.4
2006,M,Tulkarm,2006,SL_TLF_UEM,21.6
2007,M,Tulkarm,2007,SL_TLF_UEM,19.4
2008,M,Tulkarm,2008,SL_TLF_UEM,19.6
2009,M,Tulkarm,2009,SL_TLF_UEM,18.4
2010,M,Tulkarm,2010,SL_TLF_UEM,19.9
2011,M,Tulkarm,2011,SL_TLF_UEM,20.5
2012,M,Tulkarm,2012,SL_TLF_UEM,25.9
2013,M,Tulkarm,2013,SL_TLF_UEM,17.8
2014,M,Tulkarm,2014,SL_TLF_UEM,10.8
2015,M,Tulkarm,2015,SL_TLF_UEM,13.3
2016,M,Tulkarm,2016,SL_TLF_UEM,12.7
2017,M,Tulkarm,2017,SL_TLF_UEM,13.2
2018,M,Tulkarm,2018,SL_TLF_UEM,14.7
2000,M,Nablus,2000,SL_TLF_UEM,10.2
2001,M,Nablus,2001,SL_TLF_UEM,23.0
2002,M,Nablus,2002,SL_TLF_UEM,30.7
2003,M,Nablus,2003,SL_TLF_UEM,25.9
2004,M,Nablus,2004,SL_TLF_UEM,20.0
2005,M,Nablus,2005,SL_TLF_UEM,16.8
2006,M,Nablus,2006,SL_TLF_UEM,16.9
2007,M,Nablus,2007,SL_TLF_UEM,15.4
2008,M,Nablus,2008,SL_TLF_UEM,15.0
2009,M,Nablus,2009,SL_TLF_UEM,12.9
2010,M,Nablus,2010,SL_TLF_UEM,13.8
2011,M,Nablus,2011,SL_TLF_UEM,11.8
2012,M,Nablus,2012,SL_TLF_UEM,10.6
2013,M,Nablus,2013,SL_TLF_UEM,12.1
2014,M,Nablus,2014,SL_TLF_UEM,14.0
2015,M,Nablus,2015,SL_TLF_UEM,12.8
2016,M,Nablus,2016,SL_TLF_UEM,11.9
2017,M,Nablus,2017,SL_TLF_UEM,16.1
2018,M,Nablus,2018,SL_TLF_UEM,13.4
2000,M,Qalqiliya,2000,SL_TLF_UEM,18.2
2001,M,Qalqiliya,2001,SL_TLF_UEM,36.7
2002,M,Qalqiliya,2002,SL_TLF_UEM,30.8
2003,M,Qalqiliya,2003,SL_TLF_UEM,27.1
2004,M,Qalqiliya,2004,SL_TLF_UEM,24.2
2005,M,Qalqiliya,2005,SL_TLF_UEM,21.2
2006,M,Qalqiliya,2006,SL_TLF_UEM,16.1
2007,M,Qalqiliya,2007,SL_TLF_UEM,16.9
2008,M,Qalqiliya,2008,SL_TLF_UEM,22.6
2009,M,Qalqiliya,2009,SL_TLF_UEM,20.2
2010,M,Qalqiliya,2010,SL_TLF_UEM,18.5
2011,M,Qalqiliya,2011,SL_TLF_UEM,20.0
2012,M,Qalqiliya,2012,SL_TLF_UEM,20.1
2013,M,Qalqiliya,2013,SL_TLF_UEM,14.6
