Year,SEX,AREA,TIME_DETAIL,Value
2015,Female,West Bank,2015,14.8
2016,Female,West Bank,2016,14.8
2017,Female,West Bank,2017,14.8
2018,Female,West Bank,2018,14.8
2019,Female,West Bank,2019,11.5
2015,Female,Gaza Strip,2015,25.9
2016,Female,Gaza Strip,2016,15.5
2017,Female,Gaza Strip,2017,8.6
2018,Female,Gaza Strip,2018,19.1
2019,Female,Gaza Strip,2019,30.8
2015,Female,Palestine,2015,15.7
2016,Female,Palestine,2016,13.8
2017,Female,Palestine,2017,5.9
2018,Female,Palestine,2018,16.7
2019,Female,Palestine,2019,19.5
2015,Both sexes or no breakdown by sex,West Bank,2015,7.2
2016,Both sexes or no breakdown by sex,West Bank,2016,12.4
2017,Both sexes or no breakdown by sex,West Bank,2017,3.8
2018,Both sexes or no breakdown by sex,West Bank,2018,14.8
2019,Both sexes or no breakdown by sex,West Bank,2019,11.5
2015,Both sexes or no breakdown by sex,Gaza Strip,2015,25.9
2016,Both sexes or no breakdown by sex,Gaza Strip,2016,15.5
2017,Both sexes or no breakdown by sex,Gaza Strip,2017,8.6
2018,Both sexes or no breakdown by sex,Gaza Strip,2018,19.1
2019,Both sexes or no breakdown by sex,Gaza Strip,2019,30.8
2015,Both sexes or no breakdown by sex,Palestine,2015,15.7
2016,Both sexes or no breakdown by sex,Palestine,2016,13.8
2017,Both sexes or no breakdown by sex,Palestine,2017,5.9
2018,Both sexes or no breakdown by sex,Palestine,2018,16.7
2019,Both sexes or no breakdown by sex,Palestine,2019,19.5
