Year,SEX,REF_AREA,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2000,M,West Bank,2000,SH_DYN_NMRT,NUMBER,
2001,M,West Bank,2001,SH_DYN_NMRT,NUMBER,
2004,M,West Bank,2004,SH_DYN_NMRT,NUMBER,
2005,M,West Bank,2005,SH_DYN_NMRT,NUMBER,
2010,M,West Bank,2010,SH_DYN_NMRT,NUMBER,
2014,M,West Bank,2014,SH_DYN_NMRT,NUMBER,
2019,M,West Bank,2019,SH_DYN_NMRT,NUMBER,
2000,M,Gaza Strip,2000,SH_DYN_NMRT,NUMBER,
2001,M,Gaza Strip,2001,SH_DYN_NMRT,NUMBER,
2004,M,Gaza Strip,2004,SH_DYN_NMRT,NUMBER,
2005,M,Gaza Strip,2005,SH_DYN_NMRT,NUMBER,
2010,M,Gaza Strip,2010,SH_DYN_NMRT,NUMBER,
2014,M,Gaza Strip,2014,SH_DYN_NMRT,NUMBER,
2019,M,Gaza Strip,2019,SH_DYN_NMRT,NUMBER,
2000,M,PS,2000,SH_DYN_NMRT,NUMBER,16.0
2001,M,PS,2001,SH_DYN_NMRT,NUMBER,18.9
2004,M,PS,2004,SH_DYN_NMRT,NUMBER,18.9
2005,M,PS,2005,SH_DYN_NMRT,NUMBER,18.9
2010,M,PS,2010,SH_DYN_NMRT,NUMBER,13.0
2014,M,PS,2014,SH_DYN_NMRT,NUMBER,12.0
2019,M,PS,2019,SH_DYN_NMRT,NUMBER,11.5
2000,F,West Bank,2000,SH_DYN_NMRT,NUMBER,
2001,F,West Bank,2001,SH_DYN_NMRT,NUMBER,
2004,F,West Bank,2004,SH_DYN_NMRT,NUMBER,
2005,F,West Bank,2005,SH_DYN_NMRT,NUMBER,
2010,F,West Bank,2010,SH_DYN_NMRT,NUMBER,
2014,F,West Bank,2014,SH_DYN_NMRT,NUMBER,
2019,F,West Bank,2019,SH_DYN_NMRT,NUMBER,
2000,F,Gaza Strip,2000,SH_DYN_NMRT,NUMBER,
2001,F,Gaza Strip,2001,SH_DYN_NMRT,NUMBER,
2004,F,Gaza Strip,2004,SH_DYN_NMRT,NUMBER,
2005,F,Gaza Strip,2005,SH_DYN_NMRT,NUMBER,
2010,F,Gaza Strip,2010,SH_DYN_NMRT,NUMBER,
2014,F,Gaza Strip,2014,SH_DYN_NMRT,NUMBER,
2019,F,Gaza Strip,2019,SH_DYN_NMRT,NUMBER,
2000,F,PS,2000,SH_DYN_NMRT,NUMBER,14.0
2001,F,PS,2001,SH_DYN_NMRT,NUMBER,13.8
2004,F,PS,2004,SH_DYN_NMRT,NUMBER,13.8
2005,F,PS,2005,SH_DYN_NMRT,NUMBER,13.8
2010,F,PS,2010,SH_DYN_NMRT,NUMBER,10.0
2014,F,PS,2014,SH_DYN_NMRT,NUMBER,11.0
2019,F,PS,2019,SH_DYN_NMRT,NUMBER,7.1
2000,_T,West Bank,2000,SH_DYN_NMRT,NUMBER,15.0
2001,_T,West Bank,2001,SH_DYN_NMRT,NUMBER,13.5
2004,_T,West Bank,2004,SH_DYN_NMRT,NUMBER,13.5
2005,_T,West Bank,2005,SH_DYN_NMRT,NUMBER,13.5
2010,_T,West Bank,2010,SH_DYN_NMRT,NUMBER,12.0
2014,_T,West Bank,2014,SH_DYN_NMRT,NUMBER,11.0
2019,_T,West Bank,2019,SH_DYN_NMRT,NUMBER,9.8
2000,_T,Gaza Strip,2000,SH_DYN_NMRT,NUMBER,16.0
2001,_T,Gaza Strip,2001,SH_DYN_NMRT,NUMBER,20.6
2004,_T,Gaza Strip,2004,SH_DYN_NMRT,NUMBER,20.6
2005,_T,Gaza Strip,2005,SH_DYN_NMRT,NUMBER,20.6
2010,_T,Gaza Strip,2010,SH_DYN_NMRT,NUMBER,11.0
2014,_T,Gaza Strip,2014,SH_DYN_NMRT,NUMBER,12.0
2019,_T,Gaza Strip,2019,SH_DYN_NMRT,NUMBER,8.8
2000,_T,PS,2000,SH_DYN_NMRT,NUMBER,15.0
2001,_T,PS,2001,SH_DYN_NMRT,NUMBER,16.4
2004,_T,PS,2004,SH_DYN_NMRT,NUMBER,16.4
2005,_T,PS,2005,SH_DYN_NMRT,NUMBER,16.4
2010,_T,PS,2010,SH_DYN_NMRT,NUMBER,12.0
2014,_T,PS,2014,SH_DYN_NMRT,NUMBER,11.0
2019,_T,PS,2019,SH_DYN_NMRT,NUMBER,9.4
