Year,URBANISATION,SEX,AREA,TIME_DETAIL,Value
2018,Total,Male,West Bank,2018,
2018,Total,Male,Gaza Strip,2018,
2018,Total,Male,Palestine,2018,47.1
2018,Total,Female,West Bank,2018,
2018,Total,Female,Gaza Strip,2018,
2018,Total,Female,Palestine,2018,35.9
2018,Total,Both sexes or no breakdown by sex,West Bank,2018,40.9
2018,Total,Both sexes or no breakdown by sex,Gaza Strip,2018,42.6
2018,Total,Both sexes or no breakdown by sex,Palestine,2018,41.6
2018,Urban,Male,West Bank,2018,
2018,Urban,Male,Gaza Strip,2018,
2018,Urban,Male,Palestine,2018,
2018,Urban,Female,West Bank,2018,
2018,Urban,Female,Gaza Strip,2018,
2018,Urban,Female,Palestine,2018,
2018,Urban,Both sexes or no breakdown by sex,West Bank,2018,
2018,Urban,Both sexes or no breakdown by sex,Gaza Strip,2018,
2018,Urban,Both sexes or no breakdown by sex,Palestine,2018,40.1
2018,Rural,Male,West Bank,2018,
2018,Rural,Male,Gaza Strip,2018,
2018,Rural,Male,Palestine,2018,
2018,Rural,Female,West Bank,2018,
2018,Rural,Female,Gaza Strip,2018,
2018,Rural,Female,Palestine,2018,
2018,Rural,Both sexes or no breakdown by sex,West Bank,2018,
2018,Rural,Both sexes or no breakdown by sex,Gaza Strip,2018,
2018,Rural,Both sexes or no breakdown by sex,Palestine,2018,45.0
2018,Camp,Male,West Bank,2018,
2018,Camp,Male,Gaza Strip,2018,
2018,Camp,Male,Palestine,2018,
2018,Camp,Female,West Bank,2018,
2018,Camp,Female,Gaza Strip,2018,
2018,Camp,Female,Palestine,2018,
2018,Camp,Both sexes or no breakdown by sex,West Bank,2018,
2018,Camp,Both sexes or no breakdown by sex,Gaza Strip,2018,
2018,Camp,Both sexes or no breakdown by sex,Palestine,2018,48.4
