Year,SEX,REF_AREA,REPORTING_TYPE,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2000,M,West Bank,N,2000,SG_GEN_LOCGELS,PT,
2004,M,West Bank,N,2004,SG_GEN_LOCGELS,PT,
2005,M,West Bank,N,2005,SG_GEN_LOCGELS,PT,
2012,M,West Bank,N,2012,SG_GEN_LOCGELS,PT,
2013,M,West Bank,N,2013,SG_GEN_LOCGELS,PT,
2017,M,West Bank,N,2017,SG_GEN_LOCGELS,PT,
2018,M,West Bank,N,2018,SG_GEN_LOCGELS,PT,
2019,M,West Bank,N,2019,SG_GEN_LOCGELS,PT,
2000,M,Gaza Strip,N,2000,SG_GEN_LOCGELS,PT,
2004,M,Gaza Strip,N,2004,SG_GEN_LOCGELS,PT,
2005,M,Gaza Strip,N,2005,SG_GEN_LOCGELS,PT,
2012,M,Gaza Strip,N,2012,SG_GEN_LOCGELS,PT,
2013,M,Gaza Strip,N,2013,SG_GEN_LOCGELS,PT,
2017,M,Gaza Strip,N,2017,SG_GEN_LOCGELS,PT,
2018,M,Gaza Strip,N,2018,SG_GEN_LOCGELS,PT,
2019,M,Gaza Strip,N,2019,SG_GEN_LOCGELS,PT,
2000,M,PS,N,2000,SG_GEN_LOCGELS,PT,98.6
2004,M,PS,N,2004,SG_GEN_LOCGELS,PT,86.3
2005,M,PS,N,2005,SG_GEN_LOCGELS,PT,86.3
2012,M,PS,N,2012,SG_GEN_LOCGELS,PT,79.0
2013,M,PS,N,2013,SG_GEN_LOCGELS,PT,79.0
2017,M,PS,N,2017,SG_GEN_LOCGELS,PT,79.0
2018,M,PS,N,2018,SG_GEN_LOCGELS,PT,79.0
2019,M,PS,N,2019,SG_GEN_LOCGELS,PT,79.9
2000,F,West Bank,N,2000,SG_GEN_LOCGELS,PT,
2004,F,West Bank,N,2004,SG_GEN_LOCGELS,PT,
2005,F,West Bank,N,2005,SG_GEN_LOCGELS,PT,
2012,F,West Bank,N,2012,SG_GEN_LOCGELS,PT,
2013,F,West Bank,N,2013,SG_GEN_LOCGELS,PT,
2017,F,West Bank,N,2017,SG_GEN_LOCGELS,PT,
2018,F,West Bank,N,2018,SG_GEN_LOCGELS,PT,
2019,F,West Bank,N,2019,SG_GEN_LOCGELS,PT,
2000,F,Gaza Strip,N,2000,SG_GEN_LOCGELS,PT,
2004,F,Gaza Strip,N,2004,SG_GEN_LOCGELS,PT,
2005,F,Gaza Strip,N,2005,SG_GEN_LOCGELS,PT,
2012,F,Gaza Strip,N,2012,SG_GEN_LOCGELS,PT,
2013,F,Gaza Strip,N,2013,SG_GEN_LOCGELS,PT,
2017,F,Gaza Strip,N,2017,SG_GEN_LOCGELS,PT,
2018,F,Gaza Strip,N,2018,SG_GEN_LOCGELS,PT,
2019,F,Gaza Strip,N,2019,SG_GEN_LOCGELS,PT,
2000,F,PS,N,2000,SG_GEN_LOCGELS,PT,13.7
2004,F,PS,N,2004,SG_GEN_LOCGELS,PT,13.7
2005,F,PS,N,2005,SG_GEN_LOCGELS,PT,13.7
2012,F,PS,N,2012,SG_GEN_LOCGELS,PT,21.0
2013,F,PS,N,2013,SG_GEN_LOCGELS,PT,21.0
2017,F,PS,N,2017,SG_GEN_LOCGELS,PT,21.0
2018,F,PS,N,2018,SG_GEN_LOCGELS,PT,21.0
2019,F,PS,N,2019,SG_GEN_LOCGELS,PT,20.1
2000,_T,West Bank,N,2000,SG_GEN_LOCGELS,PT,
2004,_T,West Bank,N,2004,SG_GEN_LOCGELS,PT,
2005,_T,West Bank,N,2005,SG_GEN_LOCGELS,PT,
2012,_T,West Bank,N,2012,SG_GEN_LOCGELS,PT,21.0
2013,_T,West Bank,N,2013,SG_GEN_LOCGELS,PT,21.0
2017,_T,West Bank,N,2017,SG_GEN_LOCGELS,PT,
2018,_T,West Bank,N,2018,SG_GEN_LOCGELS,PT,21.1
2019,_T,West Bank,N,2019,SG_GEN_LOCGELS,PT,21.1
2000,_T,Gaza Strip,N,2000,SG_GEN_LOCGELS,PT,
2004,_T,Gaza Strip,N,2004,SG_GEN_LOCGELS,PT,
2005,_T,Gaza Strip,N,2005,SG_GEN_LOCGELS,PT,
2012,_T,Gaza Strip,N,2012,SG_GEN_LOCGELS,PT,
2013,_T,Gaza Strip,N,2013,SG_GEN_LOCGELS,PT,
2017,_T,Gaza Strip,N,2017,SG_GEN_LOCGELS,PT,21.0
2018,_T,Gaza Strip,N,2018,SG_GEN_LOCGELS,PT,0.0
2019,_T,Gaza Strip,N,2019,SG_GEN_LOCGELS,PT,0.0
2000,_T,PS,N,2000,SG_GEN_LOCGELS,PT,1.4
2004,_T,PS,N,2004,SG_GEN_LOCGELS,PT,13.7
2005,_T,PS,N,2005,SG_GEN_LOCGELS,PT,13.7
2012,_T,PS,N,2012,SG_GEN_LOCGELS,PT,21.0
2013,_T,PS,N,2013,SG_GEN_LOCGELS,PT,21.0
2017,_T,PS,N,2017,SG_GEN_LOCGELS,PT,21.0
2018,_T,PS,N,2018,SG_GEN_LOCGELS,PT,21.0
2019,_T,PS,N,2019,SG_GEN_LOCGELS,PT,20.1
