Year,SEX,REF_AREA,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2000,M,West Bank,2000,VC_PRS_UNSNT,PT,
2001,M,West Bank,2001,VC_PRS_UNSNT,PT,
2002,M,West Bank,2002,VC_PRS_UNSNT,PT,
2003,M,West Bank,2003,VC_PRS_UNSNT,PT,
2004,M,West Bank,2004,VC_PRS_UNSNT,PT,
2005,M,West Bank,2005,VC_PRS_UNSNT,PT,
2006,M,West Bank,2006,VC_PRS_UNSNT,PT,
2007,M,West Bank,2007,VC_PRS_UNSNT,PT,74.3
2008,M,West Bank,2008,VC_PRS_UNSNT,PT,76.4
2009,M,West Bank,2009,VC_PRS_UNSNT,PT,68.3
2010,M,West Bank,2010,VC_PRS_UNSNT,PT,61.9
2011,M,West Bank,2011,VC_PRS_UNSNT,PT,56.6
2012,M,West Bank,2012,VC_PRS_UNSNT,PT,54.0
2013,M,West Bank,2013,VC_PRS_UNSNT,PT,53.0
2014,M,West Bank,2014,VC_PRS_UNSNT,PT,54.6
2015,M,West Bank,2015,VC_PRS_UNSNT,PT,54.9
2016,M,West Bank,2016,VC_PRS_UNSNT,PT,53.9
2017,M,West Bank,2017,VC_PRS_UNSNT,PT,51.7
2018,M,West Bank,2018,VC_PRS_UNSNT,PT,55.9
2019,M,West Bank,2019,VC_PRS_UNSNT,PT,55.0
2000,M,Gaza Strip,2000,VC_PRS_UNSNT,PT,
2001,M,Gaza Strip,2001,VC_PRS_UNSNT,PT,
2002,M,Gaza Strip,2002,VC_PRS_UNSNT,PT,
2003,M,Gaza Strip,2003,VC_PRS_UNSNT,PT,
2004,M,Gaza Strip,2004,VC_PRS_UNSNT,PT,
2005,M,Gaza Strip,2005,VC_PRS_UNSNT,PT,
2006,M,Gaza Strip,2006,VC_PRS_UNSNT,PT,
2007,M,Gaza Strip,2007,VC_PRS_UNSNT,PT,
2008,M,Gaza Strip,2008,VC_PRS_UNSNT,PT,
2009,M,Gaza Strip,2009,VC_PRS_UNSNT,PT,
2010,M,Gaza Strip,2010,VC_PRS_UNSNT,PT,
2011,M,Gaza Strip,2011,VC_PRS_UNSNT,PT,
2012,M,Gaza Strip,2012,VC_PRS_UNSNT,PT,
2013,M,Gaza Strip,2013,VC_PRS_UNSNT,PT,
2014,M,Gaza Strip,2014,VC_PRS_UNSNT,PT,
2015,M,Gaza Strip,2015,VC_PRS_UNSNT,PT,
2016,M,Gaza Strip,2016,VC_PRS_UNSNT,PT,
2017,M,Gaza Strip,2017,VC_PRS_UNSNT,PT,
2018,M,Gaza Strip,2018,VC_PRS_UNSNT,PT,
2019,M,Gaza Strip,2019,VC_PRS_UNSNT,PT,
2000,M,PS,2000,VC_PRS_UNSNT,PT,
2001,M,PS,2001,VC_PRS_UNSNT,PT,
2002,M,PS,2002,VC_PRS_UNSNT,PT,
2003,M,PS,2003,VC_PRS_UNSNT,PT,
2004,M,PS,2004,VC_PRS_UNSNT,PT,
2005,M,PS,2005,VC_PRS_UNSNT,PT,80.4
2006,M,PS,2006,VC_PRS_UNSNT,PT,78.9
2007,M,PS,2007,VC_PRS_UNSNT,PT,74.3
2008,M,PS,2008,VC_PRS_UNSNT,PT,76.4
2009,M,PS,2009,VC_PRS_UNSNT,PT,68.3
2010,M,PS,2010,VC_PRS_UNSNT,PT,61.9
2011,M,PS,2011,VC_PRS_UNSNT,PT,56.6
2012,M,PS,2012,VC_PRS_UNSNT,PT,54.0
2013,M,PS,2013,VC_PRS_UNSNT,PT,53.0
2014,M,PS,2014,VC_PRS_UNSNT,PT,54.6
2015,M,PS,2015,VC_PRS_UNSNT,PT,54.9
2016,M,PS,2016,VC_PRS_UNSNT,PT,53.9
2017,M,PS,2017,VC_PRS_UNSNT,PT,51.7
2018,M,PS,2018,VC_PRS_UNSNT,PT,
2019,M,PS,2019,VC_PRS_UNSNT,PT,
2000,F,West Bank,2000,VC_PRS_UNSNT,PT,
2001,F,West Bank,2001,VC_PRS_UNSNT,PT,
2002,F,West Bank,2002,VC_PRS_UNSNT,PT,
2003,F,West Bank,2003,VC_PRS_UNSNT,PT,
2004,F,West Bank,2004,VC_PRS_UNSNT,PT,
2005,F,West Bank,2005,VC_PRS_UNSNT,PT,
2006,F,West Bank,2006,VC_PRS_UNSNT,PT,
2007,F,West Bank,2007,VC_PRS_UNSNT,PT,54.5
2008,F,West Bank,2008,VC_PRS_UNSNT,PT,96.4
2009,F,West Bank,2009,VC_PRS_UNSNT,PT,89.4
2010,F,West Bank,2010,VC_PRS_UNSNT,PT,86.3
2011,F,West Bank,2011,VC_PRS_UNSNT,PT,80.3
2012,F,West Bank,2012,VC_PRS_UNSNT,PT,65.8
2013,F,West Bank,2013,VC_PRS_UNSNT,PT,62.9
2014,F,West Bank,2014,VC_PRS_UNSNT,PT,67.8
2015,F,West Bank,2015,VC_PRS_UNSNT,PT,65.9
2016,F,West Bank,2016,VC_PRS_UNSNT,PT,59.7
2017,F,West Bank,2017,VC_PRS_UNSNT,PT,64.4
2018,F,West Bank,2018,VC_PRS_UNSNT,PT,63.2
2019,F,West Bank,2019,VC_PRS_UNSNT,PT,49.7
2000,F,Gaza Strip,2000,VC_PRS_UNSNT,PT,
2001,F,Gaza Strip,2001,VC_PRS_UNSNT,PT,
2002,F,Gaza Strip,2002,VC_PRS_UNSNT,PT,
2003,F,Gaza Strip,2003,VC_PRS_UNSNT,PT,
