Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,TIME_DETAIL,Value
2000,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MoH_Health Management Information System,ប្រចាំឆ្នាំ,ជាតិ,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,ប្រទេសកម្ពុជា,,ភាគរយ,2018,31.8
2005,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MoH_Health Management Information System,ប្រចាំឆ្នាំ,ជាតិ,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,ប្រទេសកម្ពុជា,,ភាគរយ,2018,43.8
2010,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MoH_Health Management Information System,ប្រចាំឆ្នាំ,ជាតិ,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,ប្រទេសកម្ពុជា,,ភាគរយ,2018,71.0
2014,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MoH_Health Management Information System,ប្រចាំឆ្នាំ,ជាតិ,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,ប្រទេសកម្ពុជា,,ភាគរយ,2018,89.0
2015,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MoH_Health Management Information System,ប្រចាំឆ្នាំ,ជាតិ,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,ប្រទេសកម្ពុជា,,ភាគរយ,2018,89.0
2016,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MoH_Health Management Information System,ប្រចាំឆ្នាំ,ជាតិ,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,ប្រទេសកម្ពុជា,,ភាគរយ,2018,85.0
2017,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MoH_Health Management Information System,ប្រចាំឆ្នាំ,ជាតិ,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,ប្រទេសកម្ពុជា,,ភាគរយ,2018,89.0
2018,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MoH_Health Management Information System,ប្រចាំឆ្នាំ,ជាតិ,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,ប្រទេសកម្ពុជា,,ភាគរយ,2018,87.3
2000,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",ប្រចាំឆ្នាំ,ជាតិ,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,ប្រទេសកម្ពុជា,ទីប្រជុំជន,ភាគរយ,2014,57.2
2005,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",ប្រចាំឆ្នាំ,ជាតិ,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,ប្រទេសកម្ពុជា,ទីប្រជុំជន,ភាគរយ,2014,70.1
2010,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",ប្រចាំឆ្នាំ,ជាតិ,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,ប្រទេសកម្ពុជា,ទីប្រជុំជន,ភាគរយ,2014,94.7
2014,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",ប្រចាំឆ្នាំ,ជាតិ,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,ប្រទេសកម្ពុជា,ទីប្រជុំជន,ភាគរយ,2014,97.8
2000,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",ប្រចាំឆ្នាំ,ជាតិ,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,ប្រទេសកម្ពុជា,ជនបទ,ភាគរយ,2014,28.0
2005,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",ប្រចាំឆ្នាំ,ជាតិ,៣.២.២ ភាគរយនៃការសម្រាលដោយបុគ្គលិកសុខាភិបាលមានជំនាញ,ប្រទេសកម្ពុជា,ជនបទ,ភាគរយ,2014,39.4
