Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,URBANISATION,COMPOSITE_BREAKDOWN,UNIT_MEASURE,TIME_DETAIL,Value
1993,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,ប្រទេសកម្ពុជា,,,ភាគរយ,2019-2020,5.8
1996,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,ប្រទេសកម្ពុជា,,,ភាគរយ,2019-2020,26.4
1997,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,ប្រទេសកម្ពុជា,,,ភាគរយ,2019-2020,29.9
1999,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,ប្រទេសកម្ពុជា,,,ភាគរយ,2019-2020,47.5
2004,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,ប្រទេសកម្ពុជា,,,ភាគរយ,2019-2020,51.2
2007,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,ប្រទេសកម្ពុជា,,,ភាគរយ,2019-2020,54.5
2008,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,ប្រទេសកម្ពុជា,,,ភាគរយ,2019-2020,55.0
2009,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,ប្រទេសកម្ពុជា,,,ភាគរយ,2019-2020,48.7
2010,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,ប្រទេសកម្ពុជា,,,ភាគរយ,2019-2020,48.2
2011,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,ប្រទេសកម្ពុជា,,,ភាគរយ,2019-2020,50.5
2012,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,ប្រទេសកម្ពុជា,,,ភាគរយ,2019-2020,50.7
2013,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,ប្រទេសកម្ពុជា,,,ភាគរយ,2019-2020,54.2
2014,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",ប្រចាំឆ្នាំ,ជាតិ,៦.១.១ សមាមាត្រប្រជារាស្រ្តប្រើប្រភពទឹកស្អាតសម្រាប់ទទួលទាន,ប្រទេសកម្ពុជា,,,ភាគរយ,2019-2020,54.5
