Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,URBANISATION,UNIT_MEASURE,TIME_DETAIL,Value
1998,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,ប្រទេសកម្ពុជា,ស្រី,,ឆ្នាំ,2019,58.3
2000,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,ប្រទេសកម្ពុជា,ស្រី,,ឆ្នាំ,2019,54.4
2001,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,ប្រទេសកម្ពុជា,ស្រី,,ឆ្នាំ,2019,55.1
2002,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,ប្រទេសកម្ពុជា,ស្រី,,ឆ្នាំ,2019,55.8
2003,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,ប្រទេសកម្ពុជា,ស្រី,,ឆ្នាំ,2019,56.5
2004,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,ប្រទេសកម្ពុជា,ស្រី,,ឆ្នាំ,2019,57.2
2005,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,ប្រទេសកម្ពុជា,ស្រី,,ឆ្នាំ,2019,57.9
2006,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,ប្រទេសកម្ពុជា,ស្រី,,ឆ្នាំ,2019,58.6
2007,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,ប្រទេសកម្ពុជា,ស្រី,,ឆ្នាំ,2019,59.3
2008,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,ប្រទេសកម្ពុជា,ស្រី,,ឆ្នាំ,2019,64.3
2009,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,ប្រទេសកម្ពុជា,ស្រី,,ឆ្នាំ,2019,65.2
2010,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,ប្រទេសកម្ពុជា,ស្រី,,ឆ្នាំ,2019,66.1
2011,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,ប្រទេសកម្ពុជា,ស្រី,,ឆ្នាំ,2019,67.0
2012,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,ប្រទេសកម្ពុជា,ស្រី,,ឆ្នាំ,2019,67.9
2013,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,ប្រទេសកម្ពុជា,ស្រី,,ឆ្នាំ,2019,68.8
2014,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,ប្រទេសកម្ពុជា,ស្រី,,ឆ្នាំ,2019,69.6
2015,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,ប្រទេសកម្ពុជា,ស្រី,,ឆ្នាំ,2019,70.4
2016,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,ប្រទេសកម្ពុជា,ស្រី,,ឆ្នាំ,2019,71.2
2017,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,ប្រទេសកម្ពុជា,ស្រី,,ឆ្នាំ,2019,72.0
2018,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,ប្រទេសកម្ពុជា,ស្រី,,ឆ្នាំ,2019,72.7
2019,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,ប្រទេសកម្ពុជា,ស្រី,,ឆ្នាំ,2019,76.8
1998,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,ប្រទេសកម្ពុជា,ប្រុស,,ឆ្នាំ,2019,54.4
2000,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,ប្រទេសកម្ពុជា,ប្រុស,,ឆ្នាំ,2019,60.6
2001,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,ប្រទេសកម្ពុជា,ប្រុស,,ឆ្នាំ,2019,61.3
2002,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,ប្រទេសកម្ពុជា,ប្រុស,,ឆ្នាំ,2019,62.0
2003,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,ប្រទេសកម្ពុជា,ប្រុស,,ឆ្នាំ,2019,62.7
2004,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,ប្រទេសកម្ពុជា,ប្រុស,,ឆ្នាំ,2019,63.4
2005,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,ប្រទេសកម្ពុជា,ប្រុស,,ឆ្នាំ,2019,64.1
2006,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,ប្រទេសកម្ពុជា,ប្រុស,,ឆ្នាំ,2019,64.9
2007,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,ប្រទេសកម្ពុជា,ប្រុស,,ឆ្នាំ,2019,65.6
2008,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,ប្រទេសកម្ពុជា,ប្រុស,,ឆ្នាំ,2019,60.5
2009,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,ប្រទេសកម្ពុជា,ប្រុស,,ឆ្នាំ,2019,61.4
2010,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,ប្រទេសកម្ពុជា,ប្រុស,,ឆ្នាំ,2019,62.3
2011,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,ប្រទេសកម្ពុជា,ប្រុស,,ឆ្នាំ,2019,63.1
2012,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,ប្រទេសកម្ពុជា,ប្រុស,,ឆ្នាំ,2019,64.0
2013,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,ប្រទេសកម្ពុជា,ប្រុស,,ឆ្នាំ,2019,64.8
2014,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,ប្រទេសកម្ពុជា,ប្រុស,,ឆ្នាំ,2019,65.6
2015,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,ប្រទេសកម្ពុជា,ប្រុស,,ឆ្នាំ,2019,66.4
2016,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,ប្រទេសកម្ពុជា,ប្រុស,,ឆ្នាំ,2019,67.1
2017,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,ប្រទេសកម្ពុជា,ប្រុស,,ឆ្នាំ,2019,67.9
2018,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,ប្រទេសកម្ពុជា,ប្រុស,,ឆ្នាំ,2019,68.6
2019,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,ប្រទេសកម្ពុជា,ប្រុស,,ឆ្នាំ,2019,74.3
1998,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,ប្រទេសកម្ពុជា,,,ឆ្នាំ,2019,56.3
2000,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,ប្រទេសកម្ពុជា,,,ឆ្នាំ,2019,57.5
2001,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,ប្រទេសកម្ពុជា,,,ឆ្នាំ,2019,58.2
2002,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,ប្រទេសកម្ពុជា,,,ឆ្នាំ,2019,58.9
2003,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,ប្រទេសកម្ពុជា,,,ឆ្នាំ,2019,59.6
2004,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,ប្រទេសកម្ពុជា,,,ឆ្នាំ,2019,60.3
2005,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,ប្រទេសកម្ពុជា,,,ឆ្នាំ,2019,61.0
2006,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,ប្រទេសកម្ពុជា,,,ឆ្នាំ,2019,61.7
2007,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,ប្រទេសកម្ពុជា,,,ឆ្នាំ,2019,62.4
2008,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,ប្រទេសកម្ពុជា,,,ឆ្នាំ,2019,62.4
2009,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,ប្រទេសកម្ពុជា,,,ឆ្នាំ,2019,63.8
2010,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,ប្រទេសកម្ពុជា,,,ឆ្នាំ,2019,64.5
2011,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,ប្រទេសកម្ពុជា,,,ឆ្នាំ,2019,65.2
2012,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,ប្រទេសកម្ពុជា,,,ឆ្នាំ,2019,66.7
2013,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,ប្រទេសកម្ពុជា,,,ឆ្នាំ,2019,67.6
2014,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS_General Population Census of Cambodia",ប្រចាំឆ្នាំ,ជាតិ,៣.១.១ អាយុសង្ឃឹមរស់ពីកំណើត,ប្រទេសកម្ពុជា,,,ឆ្នាំ,2019,68.3
