Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,AGE,URBANISATION,INCOME_WEALTH_QUANTILE,UNIT_MEASURE,TIME_DETAIL,Value
2000,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",ប្រចាំឆ្នាំ,ជាតិ,៣.៣.១ អត្រាមរណភាពកុមារអាយុក្រោម៥ឆ្នាំ,ប្រទេសកម្ពុជា,ស្រី,អាយុក្រោម ៥ ឆ្នាំ,,,ក្នុង ១០០ កំណើតរស់,2014,110.1
2005,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",ប្រចាំឆ្នាំ,ជាតិ,៣.៣.១ អត្រាមរណភាពកុមារអាយុក្រោម៥ឆ្នាំ,ប្រទេសកម្ពុជា,ស្រី,អាយុក្រោម ៥ ឆ្នាំ,,,ក្នុង ១០០ កំណើតរស់,2014,97.0
2010,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",ប្រចាំឆ្នាំ,ជាតិ,៣.៣.១ អត្រាមរណភាពកុមារអាយុក្រោម៥ឆ្នាំ,ប្រទេសកម្ពុជា,ស្រី,អាយុក្រោម ៥ ឆ្នាំ,,,ក្នុង ១០០ កំណើតរស់,2014,59.0
2014,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",ប្រចាំឆ្នាំ,ជាតិ,៣.៣.១ អត្រាមរណភាពកុមារអាយុក្រោម៥ឆ្នាំ,ប្រទេសកម្ពុជា,ស្រី,អាយុក្រោម ៥ ឆ្នាំ,,,ក្នុង ១០០ កំណើតរស់,2014,41.0
2000,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",ប្រចាំឆ្នាំ,ជាតិ,៣.៣.១ អត្រាមរណភាពកុមារអាយុក្រោម៥ឆ្នាំ,ប្រទេសកម្ពុជា,ប្រុស,អាយុក្រោម ៥ ឆ្នាំ,,,ក្នុង ១០០ កំណើតរស់,2014,132.8
2005,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",ប្រចាំឆ្នាំ,ជាតិ,៣.៣.១ អត្រាមរណភាពកុមារអាយុក្រោម៥ឆ្នាំ,ប្រទេសកម្ពុជា,ប្រុស,អាយុក្រោម ៥ ឆ្នាំ,,,ក្នុង ១០០ កំណើតរស់,2014,115.0
2010,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",ប្រចាំឆ្នាំ,ជាតិ,៣.៣.១ អត្រាមរណភាពកុមារអាយុក្រោម៥ឆ្នាំ,ប្រទេសកម្ពុជា,ប្រុស,អាយុក្រោម ៥ ឆ្នាំ,,,ក្នុង ១០០ កំណើតរស់,2014,76.0
2014,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",ប្រចាំឆ្នាំ,ជាតិ,៣.៣.១ អត្រាមរណភាពកុមារអាយុក្រោម៥ឆ្នាំ,ប្រទេសកម្ពុជា,ប្រុស,អាយុក្រោម ៥ ឆ្នាំ,,,ក្នុង ១០០ កំណើតរស់,2014,54.0
2000,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",ប្រចាំឆ្នាំ,ជាតិ,៣.៣.១ អត្រាមរណភាពកុមារអាយុក្រោម៥ឆ្នាំ,ប្រទេសកម្ពុជា,,អាយុក្រោម ៥ ឆ្នាំ,,,ក្នុង ១០០ កំណើតរស់,2014,124.4
2005,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",ប្រចាំឆ្នាំ,ជាតិ,៣.៣.១ អត្រាមរណភាពកុមារអាយុក្រោម៥ឆ្នាំ,ប្រទេសកម្ពុជា,,អាយុក្រោម ៥ ឆ្នាំ,,,ក្នុង ១០០ កំណើតរស់,2014,83.0
