Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,UNIT_MEASURE,TIME_DETAIL,Value
1993,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoWA_Planning Department, Annual report",ប្រចាំឆ្នាំ,ជាតិ,៥.៥.២ សមាមាត្រស្តី្រជា អនុរដ្ឋលេខាធិការ,ប្រទេសកម្ពុជា,ស្រី,ភាគរយ,2018,5.0
1998,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoWA_Planning Department, Annual report",ប្រចាំឆ្នាំ,ជាតិ,៥.៥.២ សមាមាត្រស្តី្រជា អនុរដ្ឋលេខាធិការ,ប្រទេសកម្ពុជា,ស្រី,ភាគរយ,2018,3.93
2003,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoWA_Planning Department, Annual report",ប្រចាំឆ្នាំ,ជាតិ,៥.៥.២ សមាមាត្រស្តី្រជា អនុរដ្ឋលេខាធិការ,ប្រទេសកម្ពុជា,ស្រី,ភាគរយ,2018,7.5
2008,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoWA_Planning Department, Annual report",ប្រចាំឆ្នាំ,ជាតិ,៥.៥.២ សមាមាត្រស្តី្រជា អនុរដ្ឋលេខាធិការ,ប្រទេសកម្ពុជា,ស្រី,ភាគរយ,2018,15.1
2013,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoWA_Planning Department, Annual report",ប្រចាំឆ្នាំ,ជាតិ,៥.៥.២ សមាមាត្រស្តី្រជា អនុរដ្ឋលេខាធិការ,ប្រទេសកម្ពុជា,ស្រី,ភាគរយ,2018,17.58
2018,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoWA_Planning Department, Annual report",ប្រចាំឆ្នាំ,ជាតិ,៥.៥.២ សមាមាត្រស្តី្រជា អនុរដ្ឋលេខាធិការ,ប្រទេសកម្ពុជា,ស្រី,ភាគរយ,2018,16.87
1993,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoWA_Planning Department, Annual report",ប្រចាំឆ្នាំ,ជាតិ,៥.៥.២ សមាមាត្រស្តី្រជា រដ្ឋលេខាធិការ,ប្រទេសកម្ពុជា,ស្រី,ភាគរយ,2018,0.0
1998,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoWA_Planning Department, Annual report",ប្រចាំឆ្នាំ,ជាតិ,៥.៥.២ សមាមាត្រស្តី្រជា រដ្ឋលេខាធិការ,ប្រទេសកម្ពុជា,ស្រី,ភាគរយ,2018,6.0
2003,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoWA_Planning Department, Annual report",ប្រចាំឆ្នាំ,ជាតិ,៥.៥.២ សមាមាត្រស្តី្រជា រដ្ឋលេខាធិការ,ប្រទេសកម្ពុជា,ស្រី,ភាគរយ,2018,6.6
2008,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoWA_Planning Department, Annual report",ប្រចាំឆ្នាំ,ជាតិ,៥.៥.២ សមាមាត្រស្តី្រជា រដ្ឋលេខាធិការ,ប្រទេសកម្ពុជា,ស្រី,ភាគរយ,2018,8.0
2013,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoWA_Planning Department, Annual report",ប្រចាំឆ្នាំ,ជាតិ,៥.៥.២ សមាមាត្រស្តី្រជា រដ្ឋលេខាធិការ,ប្រទេសកម្ពុជា,ស្រី,ភាគរយ,2018,20.54
2018,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoWA_Planning Department, Annual report",ប្រចាំឆ្នាំ,ជាតិ,៥.៥.២ សមាមាត្រស្តី្រជា រដ្ឋលេខាធិការ,ប្រទេសកម្ពុជា,ស្រី,ភាគរយ,2018,16.36
