Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,AGE,URBANISATION,INCOME_WEALTH_QUANTILE,UNIT_MEASURE,TIME_DETAIL,Value
2000,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",ប្រចាំឆ្នាំ,ជាតិ,២.២.១ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពក្រិនមធ្យមឬធ្ងន់ធ្ងរ,ប្រទេសកម្ពុជា,ស្រី,អាយុក្រោម ៥ ឆ្នាំ,,,ភាគរយ,2014,45.9
2005,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",ប្រចាំឆ្នាំ,ជាតិ,២.២.១ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពក្រិនមធ្យមឬធ្ងន់ធ្ងរ,ប្រទេសកម្ពុជា,ស្រី,អាយុក្រោម ៥ ឆ្នាំ,,,ភាគរយ,2014,35.8
2010,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",ប្រចាំឆ្នាំ,ជាតិ,២.២.១ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពក្រិនមធ្យមឬធ្ងន់ធ្ងរ,ប្រទេសកម្ពុជា,ស្រី,អាយុក្រោម ៥ ឆ្នាំ,,,ភាគរយ,2014,38.2
2014,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",ប្រចាំឆ្នាំ,ជាតិ,២.២.១ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពក្រិនមធ្យមឬធ្ងន់ធ្ងរ,ប្រទេសកម្ពុជា,ស្រី,អាយុក្រោម ៥ ឆ្នាំ,,,ភាគរយ,2014,31.9
2000,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",ប្រចាំឆ្នាំ,ជាតិ,២.២.១ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពក្រិនមធ្យមឬធ្ងន់ធ្ងរ,ប្រទេសកម្ពុជា,ប្រុស,អាយុក្រោម ៥ ឆ្នាំ,,,ភាគរយ,2014,43.3
2005,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",ប្រចាំឆ្នាំ,ជាតិ,២.២.១ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពក្រិនមធ្យមឬធ្ងន់ធ្ងរ,ប្រទេសកម្ពុជា,ប្រុស,អាយុក្រោម ៥ ឆ្នាំ,,,ភាគរយ,2014,38.8
2010,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",ប្រចាំឆ្នាំ,ជាតិ,២.២.១ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពក្រិនមធ្យមឬធ្ងន់ធ្ងរ,ប្រទេសកម្ពុជា,ប្រុស,អាយុក្រោម ៥ ឆ្នាំ,,,ភាគរយ,2014,41.6
2014,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",ប្រចាំឆ្នាំ,ជាតិ,២.២.១ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពក្រិនមធ្យមឬធ្ងន់ធ្ងរ,ប្រទេសកម្ពុជា,ប្រុស,អាយុក្រោម ៥ ឆ្នាំ,,,ភាគរយ,2014,32.9
2000,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",ប្រចាំឆ្នាំ,ជាតិ,២.២.១ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពក្រិនមធ្យមឬធ្ងន់ធ្ងរ,ប្រទេសកម្ពុជា,,អាយុក្រោម ៥ ឆ្នាំ,,,ភាគរយ,2014,44.6
2005,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",ប្រចាំឆ្នាំ,ជាតិ,២.២.១ ភាគរយកុមារអាយុក្រោម៥ឆ្នាំដែលមានភាពក្រិនមធ្យមឬធ្ងន់ធ្ងរ,ប្រទេសកម្ពុជា,,អាយុក្រោម ៥ ឆ្នាំ,,,ភាគរយ,2014,37.3
