Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,UNIT_MEASURE,TIME_DETAIL,Value
2007,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"NRSC, National Road Safty Committee",ប្រចាំឆ្នាំ,ជាតិ,៣.៧.១ របួសនិងស្លាប់ដោយគ្រោះថ្នាក់,ប្រទេសកម្ពុជា,ក្នុងមួយប្រជាជន ១០០.០០០ នាក់,2019,10.8
2008,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"NRSC, National Road Safty Committee",ប្រចាំឆ្នាំ,ជាតិ,៣.៧.១ របួសនិងស្លាប់ដោយគ្រោះថ្នាក់,ប្រទេសកម្ពុជា,ក្នុងមួយប្រជាជន ១០០.០០០ នាក់,2019,11.9
2009,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"NRSC, National Road Safty Committee",ប្រចាំឆ្នាំ,ជាតិ,៣.៧.១ របួសនិងស្លាប់ដោយគ្រោះថ្នាក់,ប្រទេសកម្ពុជា,ក្នុងមួយប្រជាជន ១០០.០០០ នាក់,2019,12.2
2010,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"NRSC, National Road Safty Committee",ប្រចាំឆ្នាំ,ជាតិ,៣.៧.១ របួសនិងស្លាប់ដោយគ្រោះថ្នាក់,ប្រទេសកម្ពុជា,ក្នុងមួយប្រជាជន ១០០.០០០ នាក់,2019,12.7
2011,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"NRSC, National Road Safty Committee",ប្រចាំឆ្នាំ,ជាតិ,៣.៧.១ របួសនិងស្លាប់ដោយគ្រោះថ្នាក់,ប្រទេសកម្ពុជា,ក្នុងមួយប្រជាជន ១០០.០០០ នាក់,2019,13.1
2012,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"NRSC, National Road Safty Committee",ប្រចាំឆ្នាំ,ជាតិ,៣.៧.១ របួសនិងស្លាប់ដោយគ្រោះថ្នាក់,ប្រទេសកម្ពុជា,ក្នុងមួយប្រជាជន ១០០.០០០ នាក់,2019,13.3
2013,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"NRSC, National Road Safty Committee",ប្រចាំឆ្នាំ,ជាតិ,៣.៧.១ របួសនិងស្លាប់ដោយគ្រោះថ្នាក់,ប្រទេសកម្ពុជា,ក្នុងមួយប្រជាជន ១០០.០០០ នាក់,2019,13.3
2014,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"NRSC, National Road Safty Committee",ប្រចាំឆ្នាំ,ជាតិ,៣.៧.១ របួសនិងស្លាប់ដោយគ្រោះថ្នាក់,ប្រទេសកម្ពុជា,ក្នុងមួយប្រជាជន ១០០.០០០ នាក់,2019,14.9
2015,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"NRSC, National Road Safty Committee",ប្រចាំឆ្នាំ,ជាតិ,៣.៧.១ របួសនិងស្លាប់ដោយគ្រោះថ្នាក់,ប្រទេសកម្ពុជា,ក្នុងមួយប្រជាជន ១០០.០០០ នាក់,2019,14.7
2016,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"NRSC, National Road Safty Committee",ប្រចាំឆ្នាំ,ជាតិ,៣.៧.១ របួសនិងស្លាប់ដោយគ្រោះថ្នាក់,ប្រទេសកម្ពុជា,ក្នុងមួយប្រជាជន ១០០.០០០ នាក់,2019,12.0
2017,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"NRSC, National Road Safty Committee",ប្រចាំឆ្នាំ,ជាតិ,៣.៧.១ របួសនិងស្លាប់ដោយគ្រោះថ្នាក់,ប្រទេសកម្ពុជា,ក្នុងមួយប្រជាជន ១០០.០០០ នាក់,2019,11.3
2018,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"NRSC, National Road Safty Committee",ប្រចាំឆ្នាំ,ជាតិ,៣.៧.១ របួសនិងស្លាប់ដោយគ្រោះថ្នាក់,ប្រទេសកម្ពុជា,ក្នុងមួយប្រជាជន ១០០.០០០ នាក់,2019,11.0
2019,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"NRSC, National Road Safty Committee",ប្រចាំឆ្នាំ,ជាតិ,៣.៧.១ របួសនិងស្លាប់ដោយគ្រោះថ្នាក់,ប្រទេសកម្ពុជា,ក្នុងមួយប្រជាជន ១០០.០០០ នាក់,2019,12.2
