Indicator,Disaggregations,Number of disaggregations
#1-1-1,"REPORTING_TYPE, REF_AREA, SEX, AGE, URBANISATION, EDUCATION_LEV, OCCUPATION, DISABILITY_STATUS, COMPOSITE_BREAKDOWN, INCOME_WEALTH_QUANTILE, UNIT_MULT, TIME_DETAIL",12
#1-2-1,"REPORTING_TYPE, REF_AREA, SEX, AGE, URBANISATION, EDUCATION_LEV, OCCUPATION, DISABILITY_STATUS, COMPOSITE_BREAKDOWN, INCOME_WEALTH_QUANTILE, UNIT_MULT, TIME_DETAIL",12
#1-2-2,"REPORTING_TYPE, REF_AREA, SEX, AGE, URBANISATION, EDUCATION_LEV, OCCUPATION, DISABILITY_STATUS, COMPOSITE_BREAKDOWN, INCOME_WEALTH_QUANTILE, UNIT_MULT, TIME_DETAIL",12
#1-3-1,"REPORTING_TYPE, REF_AREA, SEX, AGE, URBANISATION, EDUCATION_LEV, OCCUPATION, DISABILITY_STATUS, COMPOSITE_BREAKDOWN, INCOME_WEALTH_QUANTILE, UNIT_MULT, TIME_DETAIL",12
#1-5-1,"REPORTING_TYPE, REF_AREA, SEX, AGE, URBANISATION, EDUCATION_LEV, OCCUPATION, DISABILITY_STATUS, COMPOSITE_BREAKDOWN, INCOME_WEALTH_QUANTILE, UNIT_MULT, TIME_DETAIL",12
#1-5-2,"REPORTING_TYPE, REF_AREA, SEX, AGE, URBANISATION, EDUCATION_LEV, OCCUPATION, DISABILITY_STATUS, COMPOSITE_BREAKDOWN, INCOME_WEALTH_QUANTILE, UNIT_MULT, TIME_DETAIL",12
#1-a-2,"REPORTING_TYPE, REF_AREA, SEX, AGE, URBANISATION, EDUCATION_LEV, OCCUPATION, DISABILITY_STATUS, COMPOSITE_BREAKDOWN, INCOME_WEALTH_QUANTILE, UNIT_MULT, TIME_DETAIL",12
#1-a-MZ_1,"REPORTING_TYPE, REF_AREA, SEX, AGE, URBANISATION, EDUCATION_LEV, OCCUPATION, DISABILITY_STATUS, COMPOSITE_BREAKDOWN, INCOME_WEALTH_QUANTILE, UNIT_MULT, TIME_DETAIL",12
#10-2-1,"REPORTING_TYPE, REF_AREA, SEX, AGE, URBANISATION, EDUCATION_LEV, OCCUPATION, DISABILITY_STATUS, COMPOSITE_BREAKDOWN, INCOME_WEALTH_QUANTILE, UNIT_MULT, TIME_DETAIL",12
#10-4-1,"REPORTING_TYPE, REF_AREA, SEX, AGE, URBANISATION, EDUCATION_LEV, OCCUPATION, DISABILITY_STATUS, COMPOSITE_BREAKDOWN, INCOME_WEALTH_QUANTILE, UNIT_MULT, TIME_DETAIL",12
