Year,seriesdescription,area,sex,age,urbanisation,education-level,unit,TIME_DETAIL,Value
2010,D61,BI,_T,_T,_T,_T,Percent,2010,0.91
2011,D61,BI,_T,_T,_T,_T,Percent,2011,0.93
2012,D61,BI,_T,_T,_T,_T,Percent,2012,0.94
2013,D61,BI,_T,_T,_T,_T,Percent,2013,0.96
2014,D61,BI,_T,_T,_T,_T,Percent,2014,0.97
2015,D61,BI,_T,_T,_T,_T,Percent,2015,0.99
2016,D61,BI,_T,_T,_T,_T,Percent,2016,1.0
2010,D62,BI,_T,_T,_T,_T,Percent,2010,0.59
2011,D62,BI,_T,_T,_T,_T,Percent,2011,0.61
2012,D62,BI,_T,_T,_T,_T,Percent,2012,0.61
2013,D62,BI,_T,_T,_T,_T,Percent,2013,0.64
2014,D62,BI,_T,_T,_T,_T,Percent,2014,0.68
2015,D62,BI,_T,_T,_T,_T,Percent,2015,0.73
2016,D62,BI,_T,_T,_T,_T,Percent,2016,0.82
