Year,seriesdescription,area,sex,age,urbanisation,education-level,unit,TIME_DETAIL,Value
2010,SH_STA_BRTC,BI,_T,_T,_T,_T,Percent,2010,45.9
2011,SH_STA_BRTC,BI,_T,_T,_T,_T,Percent,2011,52.8
2012,SH_STA_BRTC,BI,_T,_T,_T,_T,Percent,2012,53.7
2013,SH_STA_BRTC,BI,_T,_T,_T,_T,Percent,2013,54.0
2014,SH_STA_BRTC,BI,_T,_T,_T,_T,Percent,2014,58.4
2015,SH_STA_BRTC,BI,_T,_T,_T,_T,Percent,2015,77.3
2016,SH_STA_BRTC,BI,_T,_T,_T,_T,Percent,2016,78.3
2017,SH_STA_BRTC,BI,_T,_T,_T,_T,Percent,2017,79.5
2010,SH_STA_BRTC,BI,_T,_T,U,_T,Percent,2010,87.9
2010,SH_STA_BRTC,BI,_T,_T,R,_T,Percent,2010,57.8
