Year,seriesdescription,area,sex,age,urbanisation,education-level,unit,scale,Value
2010,D4,BI,_T,_T,_T,_T,Percent,1,98.2
2011,D4,BI,_T,_T,_T,_T,Percent,1,98.0
2012,D4,BI,_T,_T,_T,_T,Percent,1,97.8
2013,D4,BI,_T,_T,_T,_T,Percent,1,97.9
2014,D4,BI,_T,_T,_T,_T,Percent,1,97.8
2015,D4,BI,_T,_T,_T,_T,Percent,1,97.6
2016,D4,BI,_T,_T,_T,_T,Percent,1,97.8
2012,D5,BI,_T,_T,_T,_T,Percent,1,19.1
2013,D5,BI,_T,_T,_T,_T,Percent,1,40.8
2014,D5,BI,_T,_T,_T,_T,Percent,1,22.9
2015,D5,BI,_T,_T,_T,_T,Percent,1,69.1
2012,D3,BI,_T,_T,_T,_T,Percent,1,4.8
2016,D3,BI,_T,_T,_T,_T,Percent,1,7.8
2017,D3,BI,_T,_T,_T,_T,Percent,1,8.0
