Year,seriesdescription,geoarea,sex,age,urbanization,education-level,wealth-quintile,unit,scale,Value
2005,SH_STA_WASTE,ET,_T,_T,_T,AGGA_01_02,_T,Percent,1,13.2
2011,SH_STA_WASTE,ET,_T,_T,_T,AGGA_01_02,_T,Percent,1,11.0
2000,SH_STA_WASTE,ET,_T,_T,_T,AGG_1_2,_T,Percent,1,10.4
2005,SH_STA_WASTE,ET,_T,_T,_T,AGG_1_2,_T,Percent,1,9.9
2011,SH_STA_WASTE,ET,_T,_T,_T,AGG_1_2,_T,Percent,1,7.9
2000,SH_STA_WASTE,ET,_T,_T,_T,AGG_2_3,_T,Percent,1,8.0
2005,SH_STA_WASTE,ET,_T,_T,_T,AGG_2_3,_T,Percent,1,3.4
2011,SH_STA_WASTE,ET,_T,_T,_T,AGG_2_3,_T,Percent,1,3.0
2000,SH_STA_WASTE,ET,_T,_T,_T,AGG_5T8,_T,Percent,1,0.7
2005,SH_STA_WASTE,ET,_T,_T,_T,AGG_5T8,_T,Percent,1,15.0
2011,SH_STA_WASTE,ET,_T,_T,_T,AGG_5T8,_T,Percent,1,5.1
2000,SH_STA_WASTE,ET,_T,Y0T4,_T,_T,_T,Percent,1,12.2
2005,SH_STA_WASTE,ET,_T,Y0T4,_T,_T,_T,Percent,1,12.2
2011,SH_STA_WASTE,ET,_T,Y0T4,_T,_T,_T,Percent,1,9.7
2000,SH_STA_WASTE,ET,_T,Y0T4,_T,_T,Q1,Percent,1,12.1
2005,SH_STA_WASTE,ET,_T,Y0T4,_T,_T,Q1,Percent,1,15.4
2011,SH_STA_WASTE,ET,_T,Y0T4,_T,_T,Q1,Percent,1,12.1
2000,SH_STA_WASTE,ET,_T,Y0T4,_T,_T,Q2,Percent,1,12.8
2005,SH_STA_WASTE,ET,_T,Y0T4,_T,_T,Q2,Percent,1,15.2
2011,SH_STA_WASTE,ET,_T,Y0T4,_T,_T,Q2,Percent,1,12.3
2000,SH_STA_WASTE,ET,_T,Y0T4,_T,_T,Q3,Percent,1,13.1
2005,SH_STA_WASTE,ET,_T,Y0T4,_T,_T,Q3,Percent,1,12.0
2011,SH_STA_WASTE,ET,_T,Y0T4,_T,_T,Q3,Percent,1,9.4
2000,SH_STA_WASTE,ET,_T,Y0T4,_T,_T,Q4,Percent,1,13.2
2005,SH_STA_WASTE,ET,_T,Y0T4,_T,_T,Q4,Percent,1,8.7
2011,SH_STA_WASTE,ET,_T,Y0T4,_T,_T,Q4,Percent,1,7.7
2000,SH_STA_WASTE,ET,_T,Y0T4,_T,_T,Q5,Percent,1,8.7
2005,SH_STA_WASTE,ET,_T,Y0T4,_T,_T,Q5,Percent,1,8.3
2011,SH_STA_WASTE,ET,_T,Y0T4,_T,_T,Q5,Percent,1,5.1
2000,SH_STA_WASTE,ET,_T,Y0T4,U,_T,_T,Percent,1,7.4
2005,SH_STA_WASTE,ET,_T,Y0T4,U,_T,_T,Percent,1,8.7
2011,SH_STA_WASTE,ET,_T,Y0T4,U,_T,_T,Percent,1,5.7
