Year,seriesdescription,area,sex,age,urbanisation,education-level,unit,scale,Value
2010,D47,BI,F,_T,_T,ISCED97_1,Percent,1,26.5
2011,D47,BI,F,_T,_T,ISCED97_1,Percent,1,30.0
2012,D47,BI,F,_T,_T,ISCED97_1,Percent,1,34.1
2013,D47,BI,F,_T,_T,ISCED97_1,Percent,1,40.0
2014,D47,BI,F,_T,_T,ISCED97_1,Percent,1,40.3
2015,D47,BI,F,_T,_T,ISCED97_1,Percent,1,39.9
2016,D47,BI,F,_T,_T,ISCED97_1,Percent,1,35.7
2017,D47,BI,F,_T,_T,ISCED97_1,Percent,1,40.3
2010,D47,BI,F,_T,_T,ISCED97_2,Percent,1,8.5
2011,D47,BI,F,_T,_T,ISCED97_2,Percent,1,10.7
2012,D47,BI,F,_T,_T,ISCED97_2,Percent,1,10.7
2013,D47,BI,F,_T,_T,ISCED97_2,Percent,1,13.3
2014,D47,BI,F,_T,_T,ISCED97_2,Percent,1,15.8
2015,D47,BI,F,_T,_T,ISCED97_2,Percent,1,21.8
2016,D47,BI,F,_T,_T,ISCED97_2,Percent,1,25.1
2017,D47,BI,F,_T,_T,ISCED97_2,Percent,1,29.3
2018,D47,BI,F,_T,_T,AGG_3_4,Percent,1,29.6
2010,D47,BI,M,_T,_T,ISCED97_1,Percent,1,33.5
2011,D47,BI,M,_T,_T,ISCED97_1,Percent,1,37.1
2012,D47,BI,M,_T,_T,ISCED97_1,Percent,1,39.8
2013,D47,BI,M,_T,_T,ISCED97_1,Percent,1,44.4
2014,D47,BI,M,_T,_T,ISCED97_1,Percent,1,41.9
2015,D47,BI,M,_T,_T,ISCED97_1,Percent,1,38.7
2016,D47,BI,M,_T,_T,ISCED97_1,Percent,1,32.3
2017,D47,BI,M,_T,_T,ISCED97_1,Percent,1,36.1
2010,D47,BI,M,_T,_T,ISCED97_2,Percent,1,13.4
2011,D47,BI,M,_T,_T,ISCED97_2,Percent,1,16.6
2012,D47,BI,M,_T,_T,ISCED97_2,Percent,1,18.0
2013,D47,BI,M,_T,_T,ISCED97_2,Percent,1,20.4
2014,D47,BI,M,_T,_T,ISCED97_2,Percent,1,22.8
2015,D47,BI,M,_T,_T,ISCED97_2,Percent,1,28.8
2016,D47,BI,M,_T,_T,ISCED97_2,Percent,1,30.2
2017,D47,BI,M,_T,_T,ISCED97_2,Percent,1,31.6
2018,D47,BI,M,_T,_T,AGG_3_4,Percent,1,29.0
2010,D47,BI,_T,_T,_T,ISCED97_1,Percent,1,30.1
2011,D47,BI,_T,_T,_T,ISCED97_1,Percent,1,33.6
2012,D47,BI,_T,_T,_T,ISCED97_1,Percent,1,37.0
2013,D47,BI,_T,_T,_T,ISCED97_1,Percent,1,42.3
2014,D47,BI,_T,_T,_T,ISCED97_1,Percent,1,41.1
2015,D47,BI,_T,_T,_T,ISCED97_1,Percent,1,39.3
2016,D47,BI,_T,_T,_T,ISCED97_1,Percent,1,33.9
2017,D47,BI,_T,_T,_T,ISCED97_1,Percent,1,44.5
2010,D47,BI,_T,_T,_T,ISCED97_2,Percent,1,11.0
2011,D47,BI,_T,_T,_T,ISCED97_2,Percent,1,13.7
2012,D47,BI,_T,_T,_T,ISCED97_2,Percent,1,14.4
2013,D47,BI,_T,_T,_T,ISCED97_2,Percent,1,16.9
2014,D47,BI,_T,_T,_T,ISCED97_2,Percent,1,19.4
2015,D47,BI,_T,_T,_T,ISCED97_2,Percent,1,25.4
2016,D47,BI,_T,_T,_T,ISCED97_2,Percent,1,27.7
2017,D47,BI,_T,_T,_T,ISCED97_2,Percent,1,26.9
2018,D47,BI,_T,_T,_T,AGG_3_4,Percent,1,29.3
