Indicator,Disaggregations,Number of disaggregations
#1-1-1,"REF_AREA, SEX, AGE, URBANISATION, UNIT_MULT, TIME_DETAIL",6
#1-2-1,"REF_AREA, SEX, AGE, URBANISATION, UNIT_MULT, TIME_DETAIL",6
#1-3-1,"REF_AREA, SEX, AGE, URBANISATION, UNIT_MULT, TIME_DETAIL",6
#1-4-1,"REF_AREA, SEX, AGE, URBANISATION, UNIT_MULT, TIME_DETAIL",6
#1-5-3,"REF_AREA, SEX, AGE, URBANISATION, UNIT_MULT, TIME_DETAIL",6
#1-a-2,"REF_AREA, SEX, AGE, URBANISATION, UNIT_MULT, TIME_DETAIL",6
#10-3-1,"REF_AREA, SEX, AGE, URBANISATION, UNIT_MULT, TIME_DETAIL",6
#10-4-1,"REF_AREA, SEX, AGE, URBANISATION, UNIT_MULT, TIME_DETAIL",6
#11-1-1,"REF_AREA, SEX, AGE, URBANISATION, UNIT_MULT, TIME_DETAIL",6
#11-5-1,"REF_AREA, SEX, AGE, URBANISATION, UNIT_MULT, TIME_DETAIL",6
#11-7-1,"REF_AREA, SEX, AGE, URBANISATION, UNIT_MULT, TIME_DETAIL",6
#11-7-2,"REF_AREA, SEX, AGE, URBANISATION, UNIT_MULT, TIME_DETAIL",6
#11-a-1,"REF_AREA, SEX, AGE, URBANISATION, UNIT_MULT, TIME_DETAIL",6
#12-6-1,"REF_AREA, SEX, AGE, URBANISATION, UNIT_MULT, TIME_DETAIL",6
#15-1-1,"REF_AREA, SEX, AGE, URBANISATION, UNIT_MULT, TIME_DETAIL",6
#15-6-1,"REF_AREA, SEX, AGE, URBANISATION, UNIT_MULT, TIME_DETAIL",6
#16-1-1,"REF_AREA, SEX, AGE, URBANISATION, UNIT_MULT, TIME_DETAIL",6
#16-1-4,"REF_AREA, SEX, AGE, URBANISATION, UNIT_MULT, TIME_DETAIL",6
#16-2-1,"REF_AREA, SEX, AGE, URBANISATION, UNIT_MULT, TIME_DETAIL",6
#16-2-2,"REF_AREA, SEX, AGE, URBANISATION, UNIT_MULT, TIME_DETAIL",6
#16-3-1,"REF_AREA, SEX, AGE, URBANISATION, UNIT_MULT, TIME_DETAIL",6
#16-9-1,"REF_AREA, SEX, AGE, URBANISATION, UNIT_MULT, TIME_DETAIL",6
#17-1-1,"REF_AREA, SEX, AGE, URBANISATION, UNIT_MULT, TIME_DETAIL",6
#17-1-2,"REF_AREA, SEX, AGE, URBANISATION, UNIT_MULT, TIME_DETAIL",6
#17-3-2,"REF_AREA, SEX, AGE, URBANISATION, UNIT_MULT, TIME_DETAIL",6
#17-4-1,"REF_AREA, SEX, AGE, URBANISATION, UNIT_MULT, TIME_DETAIL",6
#17-8-1,"REF_AREA, SEX, AGE, URBANISATION, UNIT_MULT, TIME_DETAIL",6
#2-2-1,"REF_AREA, SEX, AGE, URBANISATION, UNIT_MULT, TIME_DETAIL",6
#2-2-2,"REF_AREA, SEX, AGE, URBANISATION, UNIT_MULT, TIME_DETAIL",6
#2-3-1,"REF_AREA, SEX, AGE, URBANISATION, UNIT_MULT, TIME_DETAIL",6
#2-4-1,"REF_AREA, SEX, AGE, URBANISATION, UNIT_MULT, TIME_DETAIL",6
#2-c-1,"REF_AREA, SEX, AGE, URBANISATION, UNIT_MULT, TIME_DETAIL",6
#3-1-1,"REF_AREA, SEX, AGE, URBANISATION, UNIT_MULT, TIME_DETAIL",6
#3-1-2,"REF_AREA, SEX, AGE, URBANISATION, UNIT_MULT, TIME_DETAIL",6
#3-2-1,"REF_AREA, SEX, AGE, URBANISATION, UNIT_MULT, TIME_DETAIL",6
#3-2-2,"REF_AREA, SEX, AGE, URBANISATION, UNIT_MULT, TIME_DETAIL",6
#3-3-2,"REF_AREA, SEX, AGE, URBANISATION, UNIT_MULT, TIME_DETAIL",6
#3-3-3,"REF_AREA, SEX, AGE, URBANISATION, UNIT_MULT, TIME_DETAIL",6
#3-6-1,"REF_AREA, SEX, AGE, URBANISATION, UNIT_MULT, TIME_DETAIL",6
#3-7-1,"REF_AREA, SEX, AGE, URBANISATION, UNIT_MULT, TIME_DETAIL",6
#3-7-2,"REF_AREA, SEX, AGE, URBANISATION, UNIT_MULT, TIME_DETAIL",6
#3-8-1,"REF_AREA, SEX, AGE, URBANISATION, UNIT_MULT, TIME_DETAIL",6
#3-b-1,"REF_AREA, SEX, AGE, URBANISATION, UNIT_MULT, TIME_DETAIL",6
#4-2-1,"REF_AREA, SEX, AGE, URBANISATION, UNIT_MULT, TIME_DETAIL",6
#4-2-2,"REF_AREA, SEX, AGE, URBANISATION, UNIT_MULT, TIME_DETAIL",6
#4-3-1,"REF_AREA, SEX, AGE, URBANISATION, UNIT_MULT, TIME_DETAIL",6
#4-4-1,"REF_AREA, SEX, AGE, URBANISATION, UNIT_MULT, TIME_DETAIL",6
#4-5-1,"REF_AREA, SEX, AGE, URBANISATION, UNIT_MULT, TIME_DETAIL",6
#4-6-1,"REF_AREA, SEX, AGE, URBANISATION, UNIT_MULT, TIME_DETAIL",6
