Year,seriesdescription,area,sex,age,urbanisation,education-level,unit,scale,Value
2010,D48,BI,_T,_T,_T,ISCED11_1,Percent,1,0.99
2011,D48,BI,_T,_T,_T,ISCED11_1,Percent,1,1.0
2012,D48,BI,_T,_T,_T,ISCED11_1,Percent,1,1.01
2013,D48,BI,_T,_T,_T,ISCED11_1,Percent,1,1.02
2014,D48,BI,_T,_T,_T,ISCED11_1,Percent,1,1.03
2015,D48,BI,_T,_T,_T,ISCED11_1,Percent,1,1.02
2016,D48,BI,_T,_T,_T,ISCED11_1,Percent,1,1.02
2017,D48,BI,_T,_T,_T,ISCED11_1,Percent,1,1.03
2010,D48,BI,_T,_T,_T,ISCED11_2,Percent,1,0.76
2011,D48,BI,_T,_T,_T,ISCED11_2,Percent,1,0.78
2012,D48,BI,_T,_T,_T,ISCED11_2,Percent,1,0.83
2013,D48,BI,_T,_T,_T,ISCED11_2,Percent,1,0.88
2014,D48,BI,_T,_T,_T,ISCED11_2,Percent,1,0.94
2015,D48,BI,_T,_T,_T,ISCED11_2,Percent,1,1.02
2016,D48,BI,_T,_T,_T,ISCED11_2,Percent,1,1.08
2017,D48,BI,_T,_T,_T,ISCED11_2,Percent,1,0.83
2010,D48,BI,_T,_T,_T,ISCED11_3,Percent,1,0.6
2011,D48,BI,_T,_T,_T,ISCED11_3,Percent,1,0.61
2012,D48,BI,_T,_T,_T,ISCED11_3,Percent,1,0.59
2013,D48,BI,_T,_T,_T,ISCED11_3,Percent,1,0.62
2014,D48,BI,_T,_T,_T,ISCED11_3,Percent,1,0.67
2015,D48,BI,_T,_T,_T,ISCED11_3,Percent,1,0.73
2016,D48,BI,_T,_T,_T,ISCED11_3,Percent,1,0.8
