Year,seriesdescription,area,sex,age,urbanisation,education-level,unit,scale,Value
2010,D52,BI,F,_T,_T,ISCED11_1,Percent,1,48.0
2011,D52,BI,F,_T,_T,ISCED11_1,Percent,1,53.1
2012,D52,BI,F,_T,_T,ISCED11_1,Percent,1,60.7
2013,D52,BI,F,_T,_T,ISCED11_1,Percent,1,75.3
2014,D52,BI,F,_T,_T,ISCED11_1,Percent,1,68.9
2015,D52,BI,F,_T,_T,ISCED11_1,Percent,1,64.3
2016,D52,BI,F,_T,_T,ISCED11_1,Percent,1,67.0
2017,D52,BI,F,_T,_T,ISCED11_1,Percent,1,67.0
2010,D52,BI,F,_T,_T,ISCED11_2,Percent,1,12.5
2011,D52,BI,F,_T,_T,ISCED11_2,Percent,1,13.7
2012,D52,BI,F,_T,_T,ISCED11_2,Percent,1,14.3
2013,D52,BI,F,_T,_T,ISCED11_2,Percent,1,18.3
2014,D52,BI,F,_T,_T,ISCED11_2,Percent,1,20.8
2015,D52,BI,F,_T,_T,ISCED11_2,Percent,1,20.9
2016,D52,BI,F,_T,_T,ISCED11_2,Percent,1,34.0
2017,D52,BI,F,_T,_T,ISCED11_2,Percent,1,40.9
2010,D52,BI,F,_T,_T,ISCED11_3,Percent,1,3.7
2011,D52,BI,F,_T,_T,ISCED11_3,Percent,1,5.1
2012,D52,BI,F,_T,_T,ISCED11_3,Percent,1,4.4
2013,D52,BI,F,_T,_T,ISCED11_3,Percent,1,6.0
2014,D52,BI,F,_T,_T,ISCED11_3,Percent,1,7.5
2015,D52,BI,F,_T,_T,ISCED11_3,Percent,1,12.9
2016,D52,BI,F,_T,_T,ISCED11_3,Percent,1,15.2
2017,D52,BI,F,_T,_T,ISCED11_3,Percent,1,13.3
2010,D52,BI,M,_T,_T,ISCED11_1,Percent,1,48.8
2011,D52,BI,M,_T,_T,ISCED11_1,Percent,1,51.7
2012,D52,BI,M,_T,_T,ISCED11_1,Percent,1,56.5
2013,D52,BI,M,_T,_T,ISCED11_1,Percent,1,56.4
2014,D52,BI,M,_T,_T,ISCED11_1,Percent,1,59.1
2015,D52,BI,M,_T,_T,ISCED11_1,Percent,1,54.4
2016,D52,BI,M,_T,_T,ISCED11_1,Percent,1,58.4
2017,D52,BI,M,_T,_T,ISCED11_1,Percent,1,57.2
2010,D52,BI,M,_T,_T,ISCED11_2,Percent,1,18.9
2011,D52,BI,M,_T,_T,ISCED11_2,Percent,1,20.0
2012,D52,BI,M,_T,_T,ISCED11_2,Percent,1,20.9
2013,D52,BI,M,_T,_T,ISCED11_2,Percent,1,24.1
2014,D52,BI,M,_T,_T,ISCED11_2,Percent,1,26.4
2015,D52,BI,M,_T,_T,ISCED11_2,Percent,1,33.4
2016,D52,BI,M,_T,_T,ISCED11_2,Percent,1,35.6
2017,D52,BI,M,_T,_T,ISCED11_2,Percent,1,35.8
2010,D52,BI,M,_T,_T,ISCED11_3,Percent,1,7.1
2011,D52,BI,M,_T,_T,ISCED11_3,Percent,1,9.0
2012,D52,BI,M,_T,_T,ISCED11_3,Percent,1,9.1
2013,D52,BI,M,_T,_T,ISCED11_3,Percent,1,11.2
2014,D52,BI,M,_T,_T,ISCED11_3,Percent,1,11.3
2015,D52,BI,M,_T,_T,ISCED11_3,Percent,1,19.3
2016,D52,BI,M,_T,_T,ISCED11_3,Percent,1,21.1
2017,D52,BI,M,_T,_T,ISCED11_3,Percent,1,17.7
2010,D52,BI,_T,_T,_T,ISCED11_1,Percent,1,48.4
2011,D52,BI,_T,_T,_T,ISCED11_1,Percent,1,52.4
2012,D52,BI,_T,_T,_T,ISCED11_1,Percent,1,58.6
2013,D52,BI,_T,_T,_T,ISCED11_1,Percent,1,65.7
2014,D52,BI,_T,_T,_T,ISCED11_1,Percent,1,64.0
2015,D52,BI,_T,_T,_T,ISCED11_1,Percent,1,59.3
2016,D52,BI,_T,_T,_T,ISCED11_1,Percent,1,61.7
2017,D52,BI,_T,_T,_T,ISCED11_1,Percent,1,62.0
2010,D52,BI,_T,_T,_T,ISCED11_2,Percent,1,15.6
2011,D52,BI,_T,_T,_T,ISCED11_2,Percent,1,16.8
2012,D52,BI,_T,_T,_T,ISCED11_2,Percent,1,17.5
2013,D52,BI,_T,_T,_T,ISCED11_2,Percent,1,21.1
2014,D52,BI,_T,_T,_T,ISCED11_2,Percent,1,23.6
2015,D52,BI,_T,_T,_T,ISCED11_2,Percent,1,31.1
2016,D52,BI,_T,_T,_T,ISCED11_2,Percent,1,34.8
2017,D52,BI,_T,_T,_T,ISCED11_2,Percent,1,38.4
2010,D52,BI,_T,_T,_T,ISCED11_3,Percent,1,5.4
2011,D52,BI,_T,_T,_T,ISCED11_3,Percent,1,5.7
2012,D52,BI,_T,_T,_T,ISCED11_3,Percent,1,6.8
2013,D52,BI,_T,_T,_T,ISCED11_3,Percent,1,8.7
2014,D52,BI,_T,_T,_T,ISCED11_3,Percent,1,10.5
2015,D52,BI,_T,_T,_T,ISCED11_3,Percent,1,16.2
2016,D52,BI,_T,_T,_T,ISCED11_3,Percent,1,18.2
2017,D52,BI,_T,_T,_T,ISCED11_3,Percent,1,15.5
