Value,Disaggregation combinations using this value,Number of indicators
AG_LND_FRSTCHG,8,1
BX_TRF_PWKR,4,1
D10,21,1
D107,6,1
D11,3,1
D110,2,1
D117,1,1
D118,1,1
D129,5,2
D137,8,1
D138,3,1
D14,2,1
D142,1,1
D145,8,1
D146,1,1
D15,2,1
D152,1,1
D154,1,1
D16,10,2
D161,1,1
D165,1,1
D170,5,1
D171,5,1
D172,4,1
D174,1,1
D176,5,1
D177,8,1
D178,8,1
D179,8,1
D18,1,1
D180,8,1
D181,8,1
D182_a,3,1
D182_b,3,1
D182_c,3,1
D182_d,1,1
D182_e,2,1
D182_f,2,1
D182_g,2,1
D182_h,2,1
D183.a,6,1
D183,8,1
D184,7,1
D185,7,1
D186,5,1
D187,1,1
D188,1,1
D19,1,1
D191,6,1
D192,8,1
D196,1,1
D197,8,1
D198,8,1
D199,8,1
D200,7,1
D201,6,1
D202,7,1
D203,7,1
D205,1,1
D209,1,1
D210,1,1
D26,2,1
D27,8,1
D28,8,1
D29,8,1
D3,3,1
D30,24,1
D31,21,1
D32,21,1
D34,13,1
D35,3,1
D36,8,1
D37,2,1
D38,2,1
D39,1,1
D4,7,1
D42,3,1
D43,1,1
D44,24,1
D45,24,1
D46,24,1
D47,51,1
D48,23,1
D49,66,1
D5,4,1
D52,72,1
D58,5,1
D59,5,1
D6,6,1
D60,5,1
D61,7,1
D62,7,1
D7,4,2
D70,4,1
D71,8,1
D72,8,1
D73,8,1
D76,1,1
D77,1,1
D80,8,1
D81,1,1
D85,6,1
D87,3,1
D88,7,1
D89,6,1
D9,24,1
D91,4,1
D95,1,1
D96,8,1
D97,8,1
D98,8,1
DC_ODA_BDVL,6,2
DC_TOF_INFRAL,6,1
DC_TOF_WASHL,4,1
DC_TRF_TFDV,6,1
EG_ELC_ACCS,6,1
EN_LND_SLUM,1,1
ER_PTD_MOTN,1,1
ER_WAT_PARTIC,1,1
IC_GEN_MGTL,1,1
IT_MOB_NTWK1,6,1
IT_MOB_NTWK2,6,1
IT_MOB_OWN,17,2
IT_NET_BBN,2,1
IT_USE_ii99,10,2
NY_GDP_PCAP,4,1
SD_XPD_ESED,2,1
SE_ACS_ELECT,24,1
SE_ACS_H2O,24,1
SE_ADT_ACTS,5,1
SE_DEV_ONTRK,5,1
SG_GEN_PARL,16,2
SG_REG_BRTH,6,1
SG_REG_BRTH90,6,1
SG_REG_CENSUS,7,1
SG_STT_CAPTY,1,1
SH_ACS_UNHC,3,1
SH_DYN_MORT,5,1
SH_DYN_NMRT,5,1
SH_FPL_MTMM,3,1
SH_H2O_SAFE,3,1
SH_HIV_INCD,3,1
SH_MED_HEAWOR1,3,1
SH_MED_HEAWOR2,3,1
SH_MED_HEAWOR3,1,1
SH_PRV_SMOK,2,1
SH_SAN_DEFECT,6,1
SH_STA_BRTC,10,1
SH_STA_MALR,8,1
SH_STA_MMR,1,1
SH_STA_OVRWGT,7,1
SH_STA_STUNT,9,1
SH_TBS_INCID,8,1
SI_COV_SOCAST,6,1
SI_COV_SOCINS,6,1
SI_HEI_BTN40,1,1
SI_HEI_TOTL,1,1
SI_POV_NAHC,3,1
SL_EMP_GTOTL,1,1
SL_ISV_IFRM,1,1
SN_ITK_DEFC,10,2
SP_DYN_ADKL,2,1
SP_LGL_LNDDOC,5,1
VC_DSR_MTMP,4,2
VC_IHR_PSRC,4,1
VC_PRS_UNSEC,4,1
VC_VAW_MARR,1,1
