Value,Disaggregation combinations using this value,Number of indicators
CMAA_Cambodia Mine Action Authority/DBU,31,6
CRDB/CDC,10,10
"EDC,MOME_Annual Report",1,1
EPA/MoE MoC MAFF,1,1
LMs-Las,2,2
"MAFF, Forestry Administration_Forestry Statistics",1,1
MAFF/MOE,1,1
"MAFF, MOE",1,1
MAFF,14,14
"Member of CNCW, MOWA",3,3
MIH,1,1
MME,2,2
MOC,4,4
MoC,1,1
MoE MEF (customs) MIH MoC MoH MoI MPWT,1,1
MoE MIH MAFF MoH MoC,1,1
MoE MIH MAFF MoI MoH MPWT MoC,1,1
MOE MIH MoI PP Municipality,3,3
MoE MRD,1,1
"MoE, SNA",1,1
MoE,4,4
MoEYS_Education Statistics & Indicators,211,8
"MoEYS, MRD",2,2
MoEYS,6,6
MoH_Health Management Information System,1,1
MOH/MEF,1,1
MoH_National Tuberculosis Control (CENET),1,1
MoH,11,10
MOLVT,1,1
MONASRI,1,1
MoP_Cambodia Socio Economic Survey,5,2
"MoP, NIS_Cambodia Socio-economic Surveys (CSES)",50,4
"MoP,NIS_Cambodia Socio Economics Survey",1,1
"MoP, NIS_General Population Census of Cambodia",119,3
"MoP, NIS & MoH_Cambodia Demographic and Health Survey",189,6
"MoP, NIS_National Accounts, Bulletin",1,1
"MoP, NIS",1,1
MoP,1,1
MOP,1,1
MoSVY_National Fund for Veterans_2015,24,1
MoSVY_National Fund for Veterans,1,1
MoSVY,1,1
MOT,2,2
"MOWA, LMs",1,1
MOWA MCS,2,2
"MOWA, MOH",1,1
"MOWA, MOP",1,1
"MoWA_Planning and Statistics Department, Annual report",1,1
"MoWA_Planning Department, Annual report",4,3
MPTC,3,3
MPWT,1,1
"NAA, MOH",2,2
National Committee for OVOP Promotion and other relevant ministries and institutions,2,2
NCSD MoI,3,3
"NRSC, National Road Safty Committee",1,1
SSCA,4,2
The National Science and Technology Council (NSTC),1,1
