Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,TIME_DETAIL,Value
2015,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MoEYS_Education Statistics & Indicators,ប្រចាំឆ្នាំ,ជាតិ,៤.៣.១ អត្រារួមនៃការសិក្សានៅឧត្តមសិក្សា(អាយុពី១៨ ដល់២១ឆ្នាំ) បែងចែកតាមភេទ,ប្រទេសកម្ពុជា,,អាយុពី ១៨ ទៅ ២១ ឆ្នាំ,ភាគរយ,2020,12.4
2016,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MoEYS_Education Statistics & Indicators,ប្រចាំឆ្នាំ,ជាតិ,៤.៣.១ អត្រារួមនៃការសិក្សានៅឧត្តមសិក្សា(អាយុពី១៨ ដល់២១ឆ្នាំ) បែងចែកតាមភេទ,ប្រទេសកម្ពុជា,,អាយុពី ១៨ ទៅ ២១ ឆ្នាំ,ភាគរយ,2020,10.9
2017,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MoEYS_Education Statistics & Indicators,ប្រចាំឆ្នាំ,ជាតិ,៤.៣.១ អត្រារួមនៃការសិក្សានៅឧត្តមសិក្សា(អាយុពី១៨ ដល់២១ឆ្នាំ) បែងចែកតាមភេទ,ប្រទេសកម្ពុជា,,អាយុពី ១៨ ទៅ ២១ ឆ្នាំ,ភាគរយ,2020,10.5
2018,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MoEYS_Education Statistics & Indicators,ប្រចាំឆ្នាំ,ជាតិ,៤.៣.១ អត្រារួមនៃការសិក្សានៅឧត្តមសិក្សា(អាយុពី១៨ ដល់២១ឆ្នាំ) បែងចែកតាមភេទ,ប្រទេសកម្ពុជា,,អាយុពី ១៨ ទៅ ២១ ឆ្នាំ,ភាគរយ,2020,11.6
2019,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MoEYS_Education Statistics & Indicators,ប្រចាំឆ្នាំ,ជាតិ,៤.៣.១ អត្រារួមនៃការសិក្សានៅឧត្តមសិក្សា(អាយុពី១៨ ដល់២១ឆ្នាំ) បែងចែកតាមភេទ,ប្រទេសកម្ពុជា,,អាយុពី ១៨ ទៅ ២១ ឆ្នាំ,ភាគរយ,2020,12.7
2020,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MoEYS_Education Statistics & Indicators,ប្រចាំឆ្នាំ,ជាតិ,៤.៣.១ អត្រារួមនៃការសិក្សានៅឧត្តមសិក្សា(អាយុពី១៨ ដល់២១ឆ្នាំ) បែងចែកតាមភេទ,ប្រទេសកម្ពុជា,,អាយុពី ១៨ ទៅ ២១ ឆ្នាំ,ភាគរយ,2020,13.8
2018,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MoEYS_Education Statistics & Indicators,ប្រចាំឆ្នាំ,ជាតិ,៤.៣.១ អត្រារួមនៃការសិក្សានៅឧត្តមសិក្សា(អាយុពី១៨ ដល់២១ឆ្នាំ) បែងចែកតាមភេទ,ប្រទេសកម្ពុជា,ស្រី,អាយុពី ១៨ ទៅ ២១ ឆ្នាំ,ភាគរយ,2020,11.3
2019,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MoEYS_Education Statistics & Indicators,ប្រចាំឆ្នាំ,ជាតិ,៤.៣.១ អត្រារួមនៃការសិក្សានៅឧត្តមសិក្សា(អាយុពី១៨ ដល់២១ឆ្នាំ) បែងចែកតាមភេទ,ប្រទេសកម្ពុជា,ស្រី,អាយុពី ១៨ ទៅ ២១ ឆ្នាំ,ភាគរយ,2020,11.6
2020,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MoEYS_Education Statistics & Indicators,ប្រចាំឆ្នាំ,ជាតិ,៤.៣.១ អត្រារួមនៃការសិក្សានៅឧត្តមសិក្សា(អាយុពី១៨ ដល់២១ឆ្នាំ) បែងចែកតាមភេទ,ប្រទេសកម្ពុជា,ស្រី,អាយុពី ១៨ ទៅ ២១ ឆ្នាំ,ភាគរយ,2020,12.0
2018,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MoEYS_Education Statistics & Indicators,ប្រចាំឆ្នាំ,ជាតិ,៤.៣.១ អត្រារួមនៃការសិក្សានៅឧត្តមសិក្សា(អាយុពី១៨ ដល់២១ឆ្នាំ) បែងចែកតាមភេទ,ប្រទេសកម្ពុជា,ប្រុស,អាយុពី ១៨ ទៅ ២១ ឆ្នាំ,ភាគរយ,2020,12.2
2019,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MoEYS_Education Statistics & Indicators,ប្រចាំឆ្នាំ,ជាតិ,៤.៣.១ អត្រារួមនៃការសិក្សានៅឧត្តមសិក្សា(អាយុពី១៨ ដល់២១ឆ្នាំ) បែងចែកតាមភេទ,ប្រទេសកម្ពុជា,ប្រុស,អាយុពី ១៨ ទៅ ២១ ឆ្នាំ,ភាគរយ,2020,14.3
2020,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,MoEYS_Education Statistics & Indicators,ប្រចាំឆ្នាំ,ជាតិ,៤.៣.១ អត្រារួមនៃការសិក្សានៅឧត្តមសិក្សា(អាយុពី១៨ ដល់២១ឆ្នាំ) បែងចែកតាមភេទ,ប្រទេសកម្ពុជា,ប្រុស,អាយុពី ១៨ ទៅ ២១ ឆ្នាំ,ភាគរយ,2020,15.5
