Year,seriesdescription,area,sex,age,urbanisation,education-level,unit,scale,Value
2010,SE_ACS_H2O,BI,_T,_T,_T,ISCED11_1,Percent,1,37.9
2011,SE_ACS_H2O,BI,_T,_T,_T,ISCED11_1,Percent,1,48.9
2012,SE_ACS_H2O,BI,_T,_T,_T,ISCED11_1,Percent,1,56.1
2013,SE_ACS_H2O,BI,_T,_T,_T,ISCED11_1,Percent,1,55.2
2014,SE_ACS_H2O,BI,_T,_T,_T,ISCED11_1,Percent,1,56.0
2015,SE_ACS_H2O,BI,_T,_T,_T,ISCED11_1,Percent,1,55.6
2016,SE_ACS_H2O,BI,_T,_T,_T,ISCED11_1,Percent,1,55.8
2017,SE_ACS_H2O,BI,_T,_T,_T,ISCED11_1,Percent,1,47.8
2010,SE_ACS_H2O,BI,_T,_T,_T,AGG_2_3,Percent,1,34.1
2011,SE_ACS_H2O,BI,_T,_T,_T,AGG_2_3,Percent,1,33.7
2012,SE_ACS_H2O,BI,_T,_T,_T,AGG_2_3,Percent,1,36.3
2013,SE_ACS_H2O,BI,_T,_T,_T,AGG_2_3,Percent,1,40.8
2014,SE_ACS_H2O,BI,_T,_T,_T,AGG_2_3,Percent,1,40.3
2015,SE_ACS_H2O,BI,_T,_T,_T,AGG_2_3,Percent,1,45.7
2016,SE_ACS_H2O,BI,_T,_T,_T,AGG_2_3,Percent,1,44.1
2017,SE_ACS_H2O,BI,_T,_T,_T,AGG_2_3,Percent,1,38.5
2010,SE_ACS_H2O,BI,_T,_T,_T,AGG_3_4,Percent,1,38.1
2011,SE_ACS_H2O,BI,_T,_T,_T,AGG_3_4,Percent,1,37.1
2012,SE_ACS_H2O,BI,_T,_T,_T,AGG_3_4,Percent,1,40.1
2013,SE_ACS_H2O,BI,_T,_T,_T,AGG_3_4,Percent,1,41.3
2014,SE_ACS_H2O,BI,_T,_T,_T,AGG_3_4,Percent,1,42.0
2015,SE_ACS_H2O,BI,_T,_T,_T,AGG_3_4,Percent,1,50.8
2016,SE_ACS_H2O,BI,_T,_T,_T,AGG_3_4,Percent,1,53.1
2017,SE_ACS_H2O,BI,_T,_T,_T,AGG_3_4,Percent,1,49.9
2010,SE_ACS_ELECT,BI,_T,_T,_T,ISCED11_1,Percent,1,16.0
2011,SE_ACS_ELECT,BI,_T,_T,_T,ISCED11_1,Percent,1,22.0
2012,SE_ACS_ELECT,BI,_T,_T,_T,ISCED11_1,Percent,1,21.5
2013,SE_ACS_ELECT,BI,_T,_T,_T,ISCED11_1,Percent,1,22.3
2014,SE_ACS_ELECT,BI,_T,_T,_T,ISCED11_1,Percent,1,21.6
2015,SE_ACS_ELECT,BI,_T,_T,_T,ISCED11_1,Percent,1,22.1
2016,SE_ACS_ELECT,BI,_T,_T,_T,ISCED11_1,Percent,1,22.8
2017,SE_ACS_ELECT,BI,_T,_T,_T,ISCED11_1,Percent,1,22.4
2010,SE_ACS_ELECT,BI,_T,_T,_T,AGG_2_3,Percent,1,3.6
2011,SE_ACS_ELECT,BI,_T,_T,_T,AGG_2_3,Percent,1,4.7
2012,SE_ACS_ELECT,BI,_T,_T,_T,AGG_2_3,Percent,1,5.3
2013,SE_ACS_ELECT,BI,_T,_T,_T,AGG_2_3,Percent,1,5.5
2014,SE_ACS_ELECT,BI,_T,_T,_T,AGG_2_3,Percent,1,5.5
2015,SE_ACS_ELECT,BI,_T,_T,_T,AGG_2_3,Percent,1,6.9
2016,SE_ACS_ELECT,BI,_T,_T,_T,AGG_2_3,Percent,1,7.9
2017,SE_ACS_ELECT,BI,_T,_T,_T,AGG_2_3,Percent,1,8.5
2010,SE_ACS_ELECT,BI,_T,_T,_T,AGG_3_4,Percent,1,23.2
2011,SE_ACS_ELECT,BI,_T,_T,_T,AGG_3_4,Percent,1,21.6
2012,SE_ACS_ELECT,BI,_T,_T,_T,AGG_3_4,Percent,1,22.8
2013,SE_ACS_ELECT,BI,_T,_T,_T,AGG_3_4,Percent,1,24.5
2014,SE_ACS_ELECT,BI,_T,_T,_T,AGG_3_4,Percent,1,24.7
2015,SE_ACS_ELECT,BI,_T,_T,_T,AGG_3_4,Percent,1,28.8
2016,SE_ACS_ELECT,BI,_T,_T,_T,AGG_3_4,Percent,1,32.9
2017,SE_ACS_ELECT,BI,_T,_T,_T,AGG_3_4,Percent,1,35.2
