Year,indicador-disponível,sériedescrição,província,sexo,idade,área-de-residência,nível-de-educação,ocupação,deficiência,composição-composta,quintil,unit,TIME_DETAIL,Value
2007,G,EG_ACS_ELEC,508,_T,_T,_T,_T,_T,_T,_T,_T,Percent,2007,12.4
2007,G,EG_ACS_ELEC,508,_T,_T,U,_T,_T,_T,_T,_T,Percent,2007,37.5
2007,G,EG_ACS_ELEC,508,_T,_T,R,_T,_T,_T,_T,_T,Percent,2007,1.4
2007,G,EG_ACS_ELEC,MZ-A,_T,_T,_T,_T,_T,_T,_T,_T,Percent,2007,5.8
2007,G,EG_ACS_ELEC,MZ-P,_T,_T,_T,_T,_T,_T,_T,_T,Percent,2007,4.9
2007,G,EG_ACS_ELEC,MZ-N,_T,_T,_T,_T,_T,_T,_T,_T,Percent,2007,8.1
2007,G,EG_ACS_ELEC,MZ-Q,_T,_T,_T,_T,_T,_T,_T,_T,Percent,2007,4.5
2007,G,EG_ACS_ELEC,MZ-T,_T,_T,_T,_T,_T,_T,_T,_T,Percent,2007,5.9
2007,G,EG_ACS_ELEC,MZ-B,_T,_T,_T,_T,_T,_T,_T,_T,Percent,2007,9.1
2007,G,EG_ACS_ELEC,MZ-S,_T,_T,_T,_T,_T,_T,_T,_T,Percent,2007,13.3
2007,G,EG_ACS_ELEC,MZ-I,_T,_T,_T,_T,_T,_T,_T,_T,Percent,2007,5.8
2007,G,EG_ACS_ELEC,MZ-G,_T,_T,_T,_T,_T,_T,_T,_T,Percent,2007,14.7
2007,G,EG_ACS_ELEC,MZ-L,_T,_T,_T,_T,_T,_T,_T,_T,Percent,2007,34.5
2007,G,EG_ACS_ELEC,MZ6,_T,_T,_T,_T,_T,_T,_T,_T,Percent,2007,67.4
