Year,indicador-disponível,sériedescrição,província,sexo,idade,área-de-residência,nível-de-educação,ocupação,deficiência,composição-composta,quintil,unit,TIME_DETAIL,Value
2011,G,SH_FPL_MTMM,508,_T,_T,_T,_T,_T,_T,_T,_T,Percent,2011,28.3
2011,G,SH_FPL_MTMM,508,_T,_T,U,_T,_T,_T,_T,_T,Percent,2011,41.0
2011,G,SH_FPL_MTMM,508,_T,_T,R,_T,_T,_T,_T,_T,Percent,2011,20.5
2011,G,SH_FPL_MTMM,MZ-A,_T,_T,_T,_T,_T,_T,_T,_T,Percent,2011,28.8
2011,G,SH_FPL_MTMM,MZ-P,_T,_T,_T,_T,_T,_T,_T,_T,Percent,2011,19.5
2011,G,SH_FPL_MTMM,MZ-N,_T,_T,_T,_T,_T,_T,_T,_T,Percent,2011,16.8
2011,G,SH_FPL_MTMM,MZ-Q,_T,_T,_T,_T,_T,_T,_T,_T,Percent,2011,11.7
2011,G,SH_FPL_MTMM,MZ-T,_T,_T,_T,_T,_T,_T,_T,_T,Percent,2011,36.3
2011,G,SH_FPL_MTMM,MZ-B,_T,_T,_T,_T,_T,_T,_T,_T,Percent,2011,29.2
2011,G,SH_FPL_MTMM,MZ-S,_T,_T,_T,_T,_T,_T,_T,_T,Percent,2011,22.0
2011,G,SH_FPL_MTMM,MZ-I,_T,_T,_T,_T,_T,_T,_T,_T,Percent,2011,25.5
2011,G,SH_FPL_MTMM,MZ-G,_T,_T,_T,_T,_T,_T,_T,_T,Percent,2011,33.6
2011,G,SH_FPL_MTMM,MZ-L,_T,_T,_T,_T,_T,_T,_T,_T,Percent,2011,51.0
2011,G,SH_FPL_MTMM,MZ6,_T,_T,_T,_T,_T,_T,_T,_T,Percent,2011,54.2
