Year,indicador-disponível,objectivo,meta,indicador,sériedescrição,província,sexo,idade,área-de-residência,nível-de-educação,ocupação,deficiência,composição-composta,quintil,unit,scale,Value
2015,N,4,4.a,4.a.MZ_2,D28,508,_T,_T,_T,_T,_T,_T,_T,_T,Number,1,60.0
2016,N,4,4.a,4.a.MZ_2,D28,508,_T,_T,_T,_T,_T,_T,_T,_T,Number,1,60.0
2017,N,4,4.a,4.a.MZ_2,D28,508,_T,_T,_T,_T,_T,_T,_T,_T,Number,1,61.0
2018,N,4,4.a,4.a.MZ_2,D28,508,_T,_T,_T,_T,_T,_T,_T,_T,Number,1,63.0
2015,N,4,4.a,4.a.MZ_2,D28,MZ-A,_T,_T,_T,_T,_T,_T,_T,_T,Number,1,79.0
2016,N,4,4.a,4.a.MZ_2,D28,MZ-A,_T,_T,_T,_T,_T,_T,_T,_T,Number,1,66.0
2017,N,4,4.a,4.a.MZ_2,D28,MZ-A,_T,_T,_T,_T,_T,_T,_T,_T,Number,1,70.0
2018,N,4,4.a,4.a.MZ_2,D28,MZ-A,_T,_T,_T,_T,_T,_T,_T,_T,Number,1,76.0
2015,N,4,4.a,4.a.MZ_2,D28,MZ-P,_T,_T,_T,_T,_T,_T,_T,_T,Number,1,59.0
2016,N,4,4.a,4.a.MZ_2,D28,MZ-P,_T,_T,_T,_T,_T,_T,_T,_T,Number,1,61.0
2017,N,4,4.a,4.a.MZ_2,D28,MZ-P,_T,_T,_T,_T,_T,_T,_T,_T,Number,1,56.0
2018,N,4,4.a,4.a.MZ_2,D28,MZ-P,_T,_T,_T,_T,_T,_T,_T,_T,Number,1,66.0
2015,N,4,4.a,4.a.MZ_2,D28,MZ-N,_T,_T,_T,_T,_T,_T,_T,_T,Number,1,65.0
2016,N,4,4.a,4.a.MZ_2,D28,MZ-N,_T,_T,_T,_T,_T,_T,_T,_T,Number,1,66.0
2017,N,4,4.a,4.a.MZ_2,D28,MZ-N,_T,_T,_T,_T,_T,_T,_T,_T,Number,1,70.0
2018,N,4,4.a,4.a.MZ_2,D28,MZ-N,_T,_T,_T,_T,_T,_T,_T,_T,Number,1,73.0
2015,N,4,4.a,4.a.MZ_2,D28,MZ-Q,_T,_T,_T,_T,_T,_T,_T,_T,Number,1,65.0
2016,N,4,4.a,4.a.MZ_2,D28,MZ-Q,_T,_T,_T,_T,_T,_T,_T,_T,Number,1,66.0
2017,N,4,4.a,4.a.MZ_2,D28,MZ-Q,_T,_T,_T,_T,_T,_T,_T,_T,Number,1,67.0
2018,N,4,4.a,4.a.MZ_2,D28,MZ-Q,_T,_T,_T,_T,_T,_T,_T,_T,Number,1,65.0
2015,N,4,4.a,4.a.MZ_2,D28,MZ-T,_T,_T,_T,_T,_T,_T,_T,_T,Number,1,52.0
2016,N,4,4.a,4.a.MZ_2,D28,MZ-T,_T,_T,_T,_T,_T,_T,_T,_T,Number,1,55.0
2017,N,4,4.a,4.a.MZ_2,D28,MZ-T,_T,_T,_T,_T,_T,_T,_T,_T,Number,1,57.0
2018,N,4,4.a,4.a.MZ_2,D28,MZ-T,_T,_T,_T,_T,_T,_T,_T,_T,Number,1,61.0
2015,N,4,4.a,4.a.MZ_2,D28,MZ-B,_T,_T,_T,_T,_T,_T,_T,_T,Number,1,57.0
2016,N,4,4.a,4.a.MZ_2,D28,MZ-B,_T,_T,_T,_T,_T,_T,_T,_T,Number,1,53.0
2017,N,4,4.a,4.a.MZ_2,D28,MZ-B,_T,_T,_T,_T,_T,_T,_T,_T,Number,1,56.0
2018,N,4,4.a,4.a.MZ_2,D28,MZ-B,_T,_T,_T,_T,_T,_T,_T,_T,Number,1,59.0
2015,N,4,4.a,4.a.MZ_2,D28,MZ-S,_T,_T,_T,_T,_T,_T,_T,_T,Number,1,61.0
2016,N,4,4.a,4.a.MZ_2,D28,MZ-S,_T,_T,_T,_T,_T,_T,_T,_T,Number,1,63.0
2017,N,4,4.a,4.a.MZ_2,D28,MZ-S,_T,_T,_T,_T,_T,_T,_T,_T,Number,1,68.0
