Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,UNIT_MEASURE,Value
2015,ຄ່າທໍານຽມປົກກະຕິ,ຫົວຫນ່ວຍ,ຍັງບໍ່ທັນມີ,Ministry of Labor and Social Welfare; http://www.molsw.gov.la,ປະຈໍາປີ,ແຫ່ງຊາດ,"ຈໍານວນຄົນທີ່ໄດ້ຮັບຜົນກະທົບຈາກໄພພິບັດ [1.5.1, 11.5.1, 13.1.1]",Lao People's Democratic Republic,"ຕໍ່ 100,000 ຄົນ",996.75
2016,ຄ່າທໍານຽມປົກກະຕິ,ຫົວຫນ່ວຍ,ຍັງບໍ່ທັນມີ,Ministry of Labor and Social Welfare; http://www.molsw.gov.la,ປະຈໍາປີ,ແຫ່ງຊາດ,"ຈໍານວນຄົນທີ່ໄດ້ຮັບຜົນກະທົບຈາກໄພພິບັດ [1.5.1, 11.5.1, 13.1.1]",Lao People's Democratic Republic,"ຕໍ່ 100,000 ຄົນ",358.1
2017,ຄ່າທໍານຽມປົກກະຕິ,ຫົວຫນ່ວຍ,ຍັງບໍ່ທັນມີ,Ministry of Labor and Social Welfare; http://www.molsw.gov.la,ປະຈໍາປີ,ແຫ່ງຊາດ,"ຈໍານວນຄົນທີ່ໄດ້ຮັບຜົນກະທົບຈາກໄພພິບັດ [1.5.1, 11.5.1, 13.1.1]",Lao People's Democratic Republic,"ຕໍ່ 100,000 ຄົນ",3805.69
2018,ຄ່າທໍານຽມປົກກະຕິ,ຫົວຫນ່ວຍ,ຍັງບໍ່ທັນມີ,Ministry of Labor and Social Welfare; http://www.molsw.gov.la,ປະຈໍາປີ,ແຫ່ງຊາດ,"ຈໍານວນຄົນທີ່ໄດ້ຮັບຜົນກະທົບຈາກໄພພິບັດ [1.5.1, 11.5.1, 13.1.1]",Lao People's Democratic Republic,"ຕໍ່ 100,000 ຄົນ",9270.11
2019,ຄ່າທໍານຽມປົກກະຕິ,ຫົວຫນ່ວຍ,ຍັງບໍ່ທັນມີ,Ministry of Labor and Social Welfare; http://www.molsw.gov.la,ປະຈໍາປີ,ແຫ່ງຊາດ,"ຈໍານວນຄົນທີ່ໄດ້ຮັບຜົນກະທົບຈາກໄພພິບັດ [1.5.1, 11.5.1, 13.1.1]",Lao People's Democratic Republic,"ຕໍ່ 100,000 ຄົນ",10795.47
2015,ຄ່າທໍານຽມປົກກະຕິ,ຫົວຫນ່ວຍ,ຍັງບໍ່ທັນມີ,Ministry of Labor and Social Welfare; http://www.molsw.gov.la,ປະຈໍາປີ,ແຫ່ງຊາດ,"ຈໍານວນຜູ້ເສຍຊີວິດຍ້ອນໄພພິບັດ [1.5.1, 11.5.1, 13.1.1]",Lao People's Democratic Republic,"ຕໍ່ 100,000 ຄົນ",0.1
2016,ຄ່າທໍານຽມປົກກະຕິ,ຫົວຫນ່ວຍ,ຍັງບໍ່ທັນມີ,Ministry of Labor and Social Welfare; http://www.molsw.gov.la,ປະຈໍາປີ,ແຫ່ງຊາດ,"ຈໍານວນຜູ້ເສຍຊີວິດຍ້ອນໄພພິບັດ [1.5.1, 11.5.1, 13.1.1]",Lao People's Democratic Republic,"ຕໍ່ 100,000 ຄົນ",0.07
2017,ຄ່າທໍານຽມປົກກະຕິ,ຫົວຫນ່ວຍ,ຍັງບໍ່ທັນມີ,Ministry of Labor and Social Welfare; http://www.molsw.gov.la,ປະຈໍາປີ,ແຫ່ງຊາດ,"ຈໍານວນຜູ້ເສຍຊີວິດຍ້ອນໄພພິບັດ [1.5.1, 11.5.1, 13.1.1]",Lao People's Democratic Republic,"ຕໍ່ 100,000 ຄົນ",0.14
2018,ຄ່າທໍານຽມປົກກະຕິ,ຫົວຫນ່ວຍ,ຍັງບໍ່ທັນມີ,Ministry of Labor and Social Welfare; http://www.molsw.gov.la,ປະຈໍາປີ,ແຫ່ງຊາດ,"ຈໍານວນຜູ້ເສຍຊີວິດຍ້ອນໄພພິບັດ [1.5.1, 11.5.1, 13.1.1]",Lao People's Democratic Republic,"ຕໍ່ 100,000 ຄົນ",0.91
2019,ຄ່າທໍານຽມປົກກະຕິ,ຫົວຫນ່ວຍ,ຍັງບໍ່ທັນມີ,Ministry of Labor and Social Welfare; http://www.molsw.gov.la,ປະຈໍາປີ,ແຫ່ງຊາດ,"ຈໍານວນຜູ້ເສຍຊີວິດຍ້ອນໄພພິບັດ [1.5.1, 11.5.1, 13.1.1]",Lao People's Democratic Republic,"ຕໍ່ 100,000 ຄົນ",0.37
