Year,SEX,AREA,Value
2000,Male,West Bank,
2004,Male,West Bank,
2006,Male,West Bank,
2009,Male,West Bank,
2011,Male,West Bank,
2014,Male,West Bank,
2018,Male,West Bank,
2019,Male,West Bank,
2000,Male,Gaza Strip,
2004,Male,Gaza Strip,
2006,Male,Gaza Strip,
2009,Male,Gaza Strip,
2011,Male,Gaza Strip,
2014,Male,Gaza Strip,
2018,Male,Gaza Strip,
2019,Male,Gaza Strip,
2000,Male,Palestine,36.0
2004,Male,Palestine,45.1
2006,Male,Palestine,52.7
2009,Male,Palestine,66.7
2011,Male,Palestine,76.5
2014,Male,Palestine,81.8
2018,Male,Palestine,79.2
2019,Male,Palestine,
2000,Female,West Bank,
2004,Female,West Bank,
2006,Female,West Bank,
2009,Female,West Bank,
2011,Female,West Bank,
2014,Female,West Bank,
2018,Female,West Bank,
2019,Female,West Bank,
2000,Female,Gaza Strip,
2004,Female,Gaza Strip,
2006,Female,Gaza Strip,
2009,Female,Gaza Strip,
2011,Female,Gaza Strip,
2014,Female,Gaza Strip,
2018,Female,Gaza Strip,
2019,Female,Gaza Strip,
2000,Female,Palestine,5.2
2004,Female,Palestine,14.6
2006,Female,Palestine,22.4
2009,Female,Palestine,41.6
2011,Female,Palestine,53.6
2014,Female,Palestine,65.3
2018,Female,Palestine,
2019,Female,Palestine,70.5
2000,Both sexes or no breakdown by sex,West Bank,24.4
2004,Both sexes or no breakdown by sex,West Bank,34.6
2006,Both sexes or no breakdown by sex,West Bank,41.9
2009,Both sexes or no breakdown by sex,West Bank,57.4
2011,Both sexes or no breakdown by sex,West Bank,69.5
2014,Both sexes or no breakdown by sex,West Bank,77.5
2018,Both sexes or no breakdown by sex,West Bank,
2019,Both sexes or no breakdown by sex,West Bank,81.6
2000,Both sexes or no breakdown by sex,Gaza Strip,13.0
2004,Both sexes or no breakdown by sex,Gaza Strip,21.7
2006,Both sexes or no breakdown by sex,Gaza Strip,30.1
2009,Both sexes or no breakdown by sex,Gaza Strip,48.9
2011,Both sexes or no breakdown by sex,Gaza Strip,57.8
2014,Both sexes or no breakdown by sex,Gaza Strip,67.2
2018,Both sexes or no breakdown by sex,Gaza Strip,
2019,Both sexes or no breakdown by sex,Gaza Strip,64.2
2000,Both sexes or no breakdown by sex,Palestine,20.6
2004,Both sexes or no breakdown by sex,Palestine,30.0
2006,Both sexes or no breakdown by sex,Palestine,37.7
2009,Both sexes or no breakdown by sex,Palestine,54.3
2011,Both sexes or no breakdown by sex,Palestine,65.2
2014,Both sexes or no breakdown by sex,Palestine,73.7
2018,Both sexes or no breakdown by sex,Palestine,
2019,Both sexes or no breakdown by sex,Palestine,74.9
