Year,SEX,TIME_DETAIL,Value
2013,Male,2013,
2014,Male,2014,1.69
2015,Male,2015,
2016,Male,2016,
2017,Male,2017,
2018,Male,2018,
2019,Male,2019,
2013,Female,2013,
2014,Female,2014,0.92
2015,Female,2015,
2016,Female,2016,
2017,Female,2017,
2018,Female,2018,
2019,Female,2019,
2013,Both sexes or no breakdown by sex,2013,0.8
2014,Both sexes or no breakdown by sex,2014,1.31
2015,Both sexes or no breakdown by sex,2015,0.69
2016,Both sexes or no breakdown by sex,2016,0.71
2017,Both sexes or no breakdown by sex,2017,0.85
2018,Both sexes or no breakdown by sex,2018,0.95
2019,Both sexes or no breakdown by sex,2019,1.11
