Year,indicador-disponível,objectivo,meta,indicador,sériedescrição,província,sexo,idade,área-de-residência,nível-de-educação,ocupação,deficiência,composição-composta,quintil,unit,scale,Value
2015,N,8,8.8,8.8.MZ_1,D31,508,_T,_T,_T,_T,_T,_T,_T,_T,Number,1,663.0
2016,N,8,8.8,8.8.MZ_1,D31,508,_T,_T,_T,_T,_T,_T,_T,_T,Number,1,495.0
2017,N,8,8.8,8.8.MZ_1,D31,508,_T,_T,_T,_T,_T,_T,_T,_T,Number,1,399.0
2018,N,8,8.8,8.8.MZ_1,D31,508,_T,_T,_T,_T,_T,_T,_T,_T,Number,1,496.0
2015,N,8,8.8,8.8.MZ_1,D31,508,_T,_T,_T,_T,_T,_T,FF,_T,Number,1,11.0
2016,N,8,8.8,8.8.MZ_1,D31,508,_T,_T,_T,_T,_T,_T,FF,_T,Number,1,14.0
2017,N,8,8.8,8.8.MZ_1,D31,508,_T,_T,_T,_T,_T,_T,FF,_T,Number,1,15.0
2018,N,8,8.8,8.8.MZ_1,D31,508,_T,_T,_T,_T,_T,_T,FF,_T,Number,1,11.0
2015,N,8,8.8,8.8.MZ_1,D31,508,_T,_T,_T,_T,_T,_T,FNF,_T,Number,1,652.0
2016,N,8,8.8,8.8.MZ_1,D31,508,_T,_T,_T,_T,_T,_T,FNF,_T,Number,1,481.0
2017,N,8,8.8,8.8.MZ_1,D31,508,_T,_T,_T,_T,_T,_T,FNF,_T,Number,1,384.0
2018,N,8,8.8,8.8.MZ_1,D31,508,_T,_T,_T,_T,_T,_T,FNF,_T,Number,1,485.0
