Year,seriesdescription,area,sex,age,urbanisation,education-level,unit,scale,Value
2010,D71,BI,_T,_T,_T,_T,Percent,1,25.0
2011,D71,BI,_T,_T,_T,_T,Percent,1,41.0
2012,D71,BI,_T,_T,_T,_T,Percent,1,30.0
2013,D71,BI,_T,_T,_T,_T,Percent,1,45.0
2014,D71,BI,_T,_T,_T,_T,Percent,1,36.3
2015,D71,BI,_T,_T,_T,_T,Percent,1,36.3
2016,D71,BI,_T,_T,_T,_T,Percent,1,30.0
2017,D71,BI,_T,_T,_T,_T,Percent,1,30.0
2010,D72,BI,_T,_T,_T,_T,Percent,1,11.76
2011,D72,BI,_T,_T,_T,_T,Percent,1,11.76
2012,D72,BI,_T,_T,_T,_T,Percent,1,11.76
2013,D72,BI,_T,_T,_T,_T,Percent,1,11.76
2014,D72,BI,_T,_T,_T,_T,Percent,1,11.11
2015,D72,BI,_T,_T,_T,_T,Percent,1,16.6
2016,D72,BI,_T,_T,_T,_T,Percent,1,16.6
2017,D72,BI,_T,_T,_T,_T,Percent,1,16.6
2010,D73,BI,_T,_T,_T,_T,Percent,1,16.15
2011,D73,BI,_T,_T,_T,_T,Percent,1,16.15
2012,D73,BI,_T,_T,_T,_T,Percent,1,16.15
2013,D73,BI,_T,_T,_T,_T,Percent,1,16.15
2014,D73,BI,_T,_T,_T,_T,Percent,1,16.15
2015,D73,BI,_T,_T,_T,_T,Percent,1,33.61
2016,D73,BI,_T,_T,_T,_T,Percent,1,33.61
2017,D73,BI,_T,_T,_T,_T,Percent,1,33.61
2017,VC_VAW_MARR,BI,F,Y_GE15,_T,_T,Percent,1,27.8
