Indicator,Disaggregations,Number of disaggregations
#1-1-1,"SERIES, REF_AREA, SEX, AGE, location, EDUCATION_LEV, OCCUPATION, COMPOSITE_BREAKDOWN, DISABILITY_STATUS, UNIT_MEASURE, UNIT_MULT, TIME_DETAIL",12
#1-2-1,"SERIES, REF_AREA, SEX, AGE, location, EDUCATION_LEV, OCCUPATION, COMPOSITE_BREAKDOWN, DISABILITY_STATUS, UNIT_MEASURE, UNIT_MULT, TIME_DETAIL",12
#1-2-2,"SERIES, REF_AREA, SEX, AGE, location, EDUCATION_LEV, OCCUPATION, COMPOSITE_BREAKDOWN, DISABILITY_STATUS, UNIT_MEASURE, UNIT_MULT, TIME_DETAIL",12
#1-3-1,"SERIES, REF_AREA, SEX, AGE, location, EDUCATION_LEV, OCCUPATION, COMPOSITE_BREAKDOWN, DISABILITY_STATUS, UNIT_MEASURE, UNIT_MULT, TIME_DETAIL",12
#1-4-2,"SERIES, REF_AREA, SEX, AGE, location, EDUCATION_LEV, OCCUPATION, COMPOSITE_BREAKDOWN, DISABILITY_STATUS, UNIT_MEASURE, UNIT_MULT, TIME_DETAIL",12
#1-a-2,"SERIES, REF_AREA, SEX, AGE, location, EDUCATION_LEV, OCCUPATION, COMPOSITE_BREAKDOWN, DISABILITY_STATUS, UNIT_MEASURE, UNIT_MULT, TIME_DETAIL",12
#10-4-1,"SERIES, REF_AREA, SEX, AGE, location, EDUCATION_LEV, OCCUPATION, COMPOSITE_BREAKDOWN, DISABILITY_STATUS, UNIT_MEASURE, UNIT_MULT, TIME_DETAIL",12
#11-5-1,"SERIES, REF_AREA, SEX, AGE, location, EDUCATION_LEV, OCCUPATION, COMPOSITE_BREAKDOWN, DISABILITY_STATUS, UNIT_MULT, TIME_DETAIL",11
#15-1-1,"SERIES, REF_AREA, SEX, AGE, location, EDUCATION_LEV, OCCUPATION, COMPOSITE_BREAKDOWN, DISABILITY_STATUS, UNIT_MEASURE, UNIT_MULT, TIME_DETAIL",12
#15-2-1,"SERIES, REF_AREA, SEX, AGE, location, EDUCATION_LEV, OCCUPATION, COMPOSITE_BREAKDOWN, DISABILITY_STATUS, UNIT_MULT, TIME_DETAIL",11
#16-1-1,"SERIES, REF_AREA, SEX, AGE, location, EDUCATION_LEV, OCCUPATION, COMPOSITE_BREAKDOWN, DISABILITY_STATUS, UNIT_MEASURE, UNIT_MULT, TIME_DETAIL",12
#16-2-1,"SERIES, REF_AREA, SEX, AGE, location, EDUCATION_LEV, OCCUPATION, COMPOSITE_BREAKDOWN, DISABILITY_STATUS, UNIT_MEASURE, UNIT_MULT, TIME_DETAIL",12
#16-2-2,"SERIES, REF_AREA, SEX, AGE, location, EDUCATION_LEV, OCCUPATION, COMPOSITE_BREAKDOWN, DISABILITY_STATUS, UNIT_MEASURE, UNIT_MULT, TIME_DETAIL",12
#16-3-2,"SERIES, REF_AREA, SEX, AGE, location, EDUCATION_LEV, OCCUPATION, COMPOSITE_BREAKDOWN, DISABILITY_STATUS, UNIT_MEASURE, UNIT_MULT, TIME_DETAIL",12
#16-6-1,"SERIES, REF_AREA, SEX, AGE, location, EDUCATION_LEV, OCCUPATION, COMPOSITE_BREAKDOWN, DISABILITY_STATUS, UNIT_MEASURE, UNIT_MULT, TIME_DETAIL",12
#16-9-1,"SERIES, REF_AREA, SEX, AGE, location, EDUCATION_LEV, OCCUPATION, COMPOSITE_BREAKDOWN, DISABILITY_STATUS, UNIT_MEASURE, UNIT_MULT, TIME_DETAIL",12
#17-1-1,"SERIES, REF_AREA, SEX, AGE, location, EDUCATION_LEV, OCCUPATION, COMPOSITE_BREAKDOWN, DISABILITY_STATUS, UNIT_MEASURE, UNIT_MULT, TIME_DETAIL",12
#17-1-2,"SERIES, REF_AREA, SEX, AGE, location, EDUCATION_LEV, OCCUPATION, COMPOSITE_BREAKDOWN, DISABILITY_STATUS, UNIT_MEASURE, UNIT_MULT, TIME_DETAIL",12
#17-3-1,"SERIES, REF_AREA, SEX, AGE, location, EDUCATION_LEV, OCCUPATION, COMPOSITE_BREAKDOWN, DISABILITY_STATUS, UNIT_MEASURE, UNIT_MULT, TIME_DETAIL",12
#17-3-2,"SERIES, REF_AREA, SEX, AGE, location, EDUCATION_LEV, OCCUPATION, COMPOSITE_BREAKDOWN, DISABILITY_STATUS, UNIT_MEASURE, UNIT_MULT, TIME_DETAIL",12
#17-4-1,"SERIES, REF_AREA, SEX, AGE, location, EDUCATION_LEV, OCCUPATION, COMPOSITE_BREAKDOWN, DISABILITY_STATUS, UNIT_MEASURE, UNIT_MULT, TIME_DETAIL",12
#17-8-1,"SERIES, REF_AREA, SEX, AGE, location, EDUCATION_LEV, OCCUPATION, COMPOSITE_BREAKDOWN, DISABILITY_STATUS, UNIT_MEASURE, UNIT_MULT, TIME_DETAIL",12
#2-2-1,"SERIES, REF_AREA, SEX, AGE, location, EDUCATION_LEV, OCCUPATION, COMPOSITE_BREAKDOWN, DISABILITY_STATUS, UNIT_MEASURE, UNIT_MULT, TIME_DETAIL",12
#2-2-2,"SERIES, REF_AREA, SEX, AGE, location, EDUCATION_LEV, OCCUPATION, COMPOSITE_BREAKDOWN, DISABILITY_STATUS, UNIT_MEASURE, UNIT_MULT, TIME_DETAIL",12
#2-a-1,"SERIES, REF_AREA, SEX, AGE, location, EDUCATION_LEV, OCCUPATION, COMPOSITE_BREAKDOWN, DISABILITY_STATUS, UNIT_MEASURE, UNIT_MULT, TIME_DETAIL",12
