Year,indicador-disponível,objectivo,meta,indicador,sériedescrição,província,sexo,idade,área-de-residência,nível-de-educação,ocupação,deficiência,composição-composta,quintil,unit,scale,Value
2015,N,4,4.1,4.1.MZ_4,D19,508,F,_T,_T,AGG_1_2,_T,_T,_T,_T,Percent,1,35.0
2016,N,4,4.1,4.1.MZ_4,D19,508,F,_T,_T,AGG_1_2,_T,_T,_T,_T,Percent,1,43.0
2017,N,4,4.1,4.1.MZ_4,D19,508,F,_T,_T,AGG_1_2,_T,_T,_T,_T,Percent,1,42.0
2015,N,4,4.1,4.1.MZ_4,D19,508,F,_T,_T,AGG_2,_T,_T,_T,_T,Percent,1,15.6
2016,N,4,4.1,4.1.MZ_4,D19,508,F,_T,_T,AGG_2,_T,_T,_T,_T,Percent,1,30.0
2017,N,4,4.1,4.1.MZ_4,D19,508,F,_T,_T,AGG_2,_T,_T,_T,_T,Percent,1,22.1
2015,N,4,4.1,4.1.MZ_4,D19,508,F,_T,_T,AGG_3,_T,_T,_T,_T,Percent,1,8.7
2016,N,4,4.1,4.1.MZ_4,D19,508,F,_T,_T,AGG_3,_T,_T,_T,_T,Percent,1,15.4
2017,N,4,4.1,4.1.MZ_4,D19,508,F,_T,_T,AGG_3,_T,_T,_T,_T,Percent,1,11.5
2015,N,4,4.1,4.1.MZ_4,D19,508,M,_T,_T,AGG_1_2,_T,_T,_T,_T,Percent,1,39.0
2016,N,4,4.1,4.1.MZ_4,D19,508,M,_T,_T,AGG_1_2,_T,_T,_T,_T,Percent,1,47.0
2017,N,4,4.1,4.1.MZ_4,D19,508,M,_T,_T,AGG_1_2,_T,_T,_T,_T,Percent,1,48.0
2015,N,4,4.1,4.1.MZ_4,D19,508,M,_T,_T,AGG_2,_T,_T,_T,_T,Percent,1,17.2
2016,N,4,4.1,4.1.MZ_4,D19,508,M,_T,_T,AGG_2,_T,_T,_T,_T,Percent,1,29.7
2017,N,4,4.1,4.1.MZ_4,D19,508,M,_T,_T,AGG_2,_T,_T,_T,_T,Percent,1,24.2
2015,N,4,4.1,4.1.MZ_4,D19,508,M,_T,_T,AGG_3,_T,_T,_T,_T,Percent,1,10.2
2016,N,4,4.1,4.1.MZ_4,D19,508,M,_T,_T,AGG_3,_T,_T,_T,_T,Percent,1,16.0
2017,N,4,4.1,4.1.MZ_4,D19,508,M,_T,_T,AGG_3,_T,_T,_T,_T,Percent,1,9.4
2015,N,4,4.1,4.1.MZ_4,D19,508,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,Percent,1,37.0
2016,N,4,4.1,4.1.MZ_4,D19,508,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,Percent,1,45.0
2017,N,4,4.1,4.1.MZ_4,D19,508,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,Percent,1,45.0
2015,N,4,4.1,4.1.MZ_4,D19,508,_T,_T,_T,AGG_2,_T,_T,_T,_T,Percent,1,16.4
2016,N,4,4.1,4.1.MZ_4,D19,508,_T,_T,_T,AGG_2,_T,_T,_T,_T,Percent,1,29.9
2017,N,4,4.1,4.1.MZ_4,D19,508,_T,_T,_T,AGG_2,_T,_T,_T,_T,Percent,1,23.2
2015,N,4,4.1,4.1.MZ_4,D19,508,_T,_T,_T,AGG_3,_T,_T,_T,_T,Percent,1,9.5
2016,N,4,4.1,4.1.MZ_4,D19,508,_T,_T,_T,AGG_3,_T,_T,_T,_T,Percent,1,15.7
2017,N,4,4.1,4.1.MZ_4,D19,508,_T,_T,_T,AGG_3,_T,_T,_T,_T,Percent,1,10.4
2015,N,4,4.1,4.1.MZ_4,D19,MZ-A,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,Percent,1,28.0
2016,N,4,4.1,4.1.MZ_4,D19,MZ-A,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,Percent,1,34.0
2017,N,4,4.1,4.1.MZ_4,D19,MZ-A,_T,_T,_T,AGG_1_2,_T,_T,_T,_T,Percent,1,35.0
2015,N,4,4.1,4.1.MZ_4,D19,MZ-A,_T,_T,_T,AGG_2,_T,_T,_T,_T,Percent,1,13.4
2016,N,4,4.1,4.1.MZ_4,D19,MZ-A,_T,_T,_T,AGG_2,_T,_T,_T,_T,Percent,1,20.6
2017,N,4,4.1,4.1.MZ_4,D19,MZ-A,_T,_T,_T,AGG_2,_T,_T,_T,_T,Percent,1,16.6
