Year,seriesdescription,area,sex,age,urbanisation,education-level,unit,scale,Value
2011,IT_MOB_NTWK1,BI,_T,_T,_T,_T,Percent,1,17.8
2012,IT_MOB_NTWK1,BI,_T,_T,_T,_T,Percent,1,20.9
2013,IT_MOB_NTWK1,BI,_T,_T,_T,_T,Percent,1,23.0
2014,IT_MOB_NTWK1,BI,_T,_T,_T,_T,Percent,1,29.7
2015,IT_MOB_NTWK1,BI,_T,_T,_T,_T,Percent,1,48.0
2016,IT_MOB_NTWK1,BI,_T,_T,_T,_T,Percent,1,49.9
2011,IT_MOB_NTWK2,BI,_T,_T,_T,_T,Percent,1,0.7
2012,IT_MOB_NTWK2,BI,_T,_T,_T,_T,Percent,1,1.9
2013,IT_MOB_NTWK2,BI,_T,_T,_T,_T,Percent,1,6.6
2014,IT_MOB_NTWK2,BI,_T,_T,_T,_T,Percent,1,7.3
2015,IT_MOB_NTWK2,BI,_T,_T,_T,_T,Percent,1,8.2
2016,IT_MOB_NTWK2,BI,_T,_T,_T,_T,Percent,1,8.5
