Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,UNIT_MEASURE,TIME_DETAIL,Value
2007,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoWA_Planning and Statistics Department, Annual report",ប្រចាំឆ្នាំ,ជាតិ,១៦.៧.១ សមាមាត្រនៃស្តី្រ ជាមន្ត្រីរាជការស៊ីវិលនៅតាមក្រសួងស្ថាប័ននានា,ប្រទេសកម្ពុជា,ស្រី,ភាគរយ,2020,32
2008,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoWA_Planning and Statistics Department, Annual report",ប្រចាំឆ្នាំ,ជាតិ,១៦.៧.១ សមាមាត្រនៃស្តី្រ ជាមន្ត្រីរាជការស៊ីវិលនៅតាមក្រសួងស្ថាប័ននានា,ប្រទេសកម្ពុជា,ស្រី,ភាគរយ,2020,34
2009,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoWA_Planning and Statistics Department, Annual report",ប្រចាំឆ្នាំ,ជាតិ,១៦.៧.១ សមាមាត្រនៃស្តី្រ ជាមន្ត្រីរាជការស៊ីវិលនៅតាមក្រសួងស្ថាប័ននានា,ប្រទេសកម្ពុជា,ស្រី,ភាគរយ,2020,33
2010,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoWA_Planning and Statistics Department, Annual report",ប្រចាំឆ្នាំ,ជាតិ,១៦.៧.១ សមាមាត្រនៃស្តី្រ ជាមន្ត្រីរាជការស៊ីវិលនៅតាមក្រសួងស្ថាប័ននានា,ប្រទេសកម្ពុជា,ស្រី,ភាគរយ,2020,34
2011,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoWA_Planning and Statistics Department, Annual report",ប្រចាំឆ្នាំ,ជាតិ,១៦.៧.១ សមាមាត្រនៃស្តី្រ ជាមន្ត្រីរាជការស៊ីវិលនៅតាមក្រសួងស្ថាប័ននានា,ប្រទេសកម្ពុជា,ស្រី,ភាគរយ,2020,34
2012,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoWA_Planning and Statistics Department, Annual report",ប្រចាំឆ្នាំ,ជាតិ,១៦.៧.១ សមាមាត្រនៃស្តី្រ ជាមន្ត្រីរាជការស៊ីវិលនៅតាមក្រសួងស្ថាប័ននានា,ប្រទេសកម្ពុជា,ស្រី,ភាគរយ,2020,35
2013,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoWA_Planning and Statistics Department, Annual report",ប្រចាំឆ្នាំ,ជាតិ,១៦.៧.១ សមាមាត្រនៃស្តី្រ ជាមន្ត្រីរាជការស៊ីវិលនៅតាមក្រសួងស្ថាប័ននានា,ប្រទេសកម្ពុជា,ស្រី,ភាគរយ,2020,37
2014,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoWA_Planning and Statistics Department, Annual report",ប្រចាំឆ្នាំ,ជាតិ,១៦.៧.១ សមាមាត្រនៃស្តី្រ ជាមន្ត្រីរាជការស៊ីវិលនៅតាមក្រសួងស្ថាប័ននានា,ប្រទេសកម្ពុជា,ស្រី,ភាគរយ,2020,38
2015,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoWA_Planning and Statistics Department, Annual report",ប្រចាំឆ្នាំ,ជាតិ,១៦.៧.១ សមាមាត្រនៃស្តី្រ ជាមន្ត្រីរាជការស៊ីវិលនៅតាមក្រសួងស្ថាប័ននានា,ប្រទេសកម្ពុជា,ស្រី,ភាគរយ,2020,39
2016,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoWA_Planning and Statistics Department, Annual report",ប្រចាំឆ្នាំ,ជាតិ,១៦.៧.១ សមាមាត្រនៃស្តី្រ ជាមន្ត្រីរាជការស៊ីវិលនៅតាមក្រសួងស្ថាប័ននានា,ប្រទេសកម្ពុជា,ស្រី,ភាគរយ,2020,40
2017,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoWA_Planning and Statistics Department, Annual report",ប្រចាំឆ្នាំ,ជាតិ,១៦.៧.១ សមាមាត្រនៃស្តី្រ ជាមន្ត្រីរាជការស៊ីវិលនៅតាមក្រសួងស្ថាប័ននានា,ប្រទេសកម្ពុជា,ស្រី,ភាគរយ,2020,41
2018,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoWA_Planning and Statistics Department, Annual report",ប្រចាំឆ្នាំ,ជាតិ,១៦.៧.១ សមាមាត្រនៃស្តី្រ ជាមន្ត្រីរាជការស៊ីវិលនៅតាមក្រសួងស្ថាប័ននានា,ប្រទេសកម្ពុជា,ស្រី,ភាគរយ,2020,42
2019,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoWA_Planning and Statistics Department, Annual report",ប្រចាំឆ្នាំ,ជាតិ,១៦.៧.១ សមាមាត្រនៃស្តី្រ ជាមន្ត្រីរាជការស៊ីវិលនៅតាមក្រសួងស្ថាប័ននានា,ប្រទេសកម្ពុជា,ស្រី,ភាគរយ,2020,43
2020,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoWA_Planning and Statistics Department, Annual report",ប្រចាំឆ្នាំ,ជាតិ,១៦.៧.១ សមាមាត្រនៃស្តី្រ ជាមន្ត្រីរាជការស៊ីវិលនៅតាមក្រសួងស្ថាប័ននានា,ប្រទេសកម្ពុជា,ស្រី,ភាគរយ,2020,44
