Year,SEX,AREA,TIME_DETAIL,Value
2000,Male,Jenin,2000,18.4
2001,Male,Jenin,2001,40.9
2002,Male,Jenin,2002,48.2
2003,Male,Jenin,2003,39.0
2004,Male,Jenin,2004,30.7
2005,Male,Jenin,2005,25.7
2006,Male,Jenin,2006,23.5
2007,Male,Jenin,2007,20.3
2008,Male,Jenin,2008,24.6
2009,Male,Jenin,2009,18.6
2010,Male,Jenin,2010,15.4
2011,Male,Jenin,2011,12.3
2012,Male,Jenin,2012,12.9
2013,Male,Jenin,2013,15.1
2014,Male,Jenin,2014,12.1
2015,Male,Jenin,2015,13.7
2016,Male,Jenin,2016,15.5
2017,Male,Jenin,2017,13.7
2018,Male,Jenin,2018,16.8
2000,Male,Tubas & Northern Valleys,2000,16.3
2001,Male,Tubas & Northern Valleys,2001,33.6
2002,Male,Tubas & Northern Valleys,2002,41.8
2003,Male,Tubas & Northern Valleys,2003,27.0
2004,Male,Tubas & Northern Valleys,2004,22.9
2005,Male,Tubas & Northern Valleys,2005,18.3
2006,Male,Tubas & Northern Valleys,2006,17.5
2007,Male,Tubas & Northern Valleys,2007,20.3
2008,Male,Tubas & Northern Valleys,2008,16.7
2009,Male,Tubas & Northern Valleys,2009,11.3
2010,Male,Tubas & Northern Valleys,2010,11.4
2011,Male,Tubas & Northern Valleys,2011,14.0
2012,Male,Tubas & Northern Valleys,2012,13.7
2013,Male,Tubas & Northern Valleys,2013,14.2
2014,Male,Tubas & Northern Valleys,2014,11.4
2015,Male,Tubas & Northern Valleys,2015,15.5
2016,Male,Tubas & Northern Valleys,2016,15.4
2017,Male,Tubas & Northern Valleys,2017,17.6
2018,Male,Tubas & Northern Valleys,2018,13.9
2000,Male,Tulkarm,2000,17.3
2001,Male,Tulkarm,2001,22.3
2002,Male,Tulkarm,2002,25.9
2003,Male,Tulkarm,2003,26.9
2004,Male,Tulkarm,2004,22.8
2005,Male,Tulkarm,2005,21.4
2006,Male,Tulkarm,2006,21.6
2007,Male,Tulkarm,2007,19.4
2008,Male,Tulkarm,2008,19.6
2009,Male,Tulkarm,2009,18.4
2010,Male,Tulkarm,2010,19.9
2011,Male,Tulkarm,2011,20.5
2012,Male,Tulkarm,2012,25.9
2013,Male,Tulkarm,2013,17.8
2014,Male,Tulkarm,2014,10.8
2015,Male,Tulkarm,2015,13.3
2016,Male,Tulkarm,2016,12.7
2017,Male,Tulkarm,2017,13.2
2018,Male,Tulkarm,2018,14.7
2000,Male,Nablus,2000,10.2
2001,Male,Nablus,2001,23.0
2002,Male,Nablus,2002,30.7
2003,Male,Nablus,2003,25.9
2004,Male,Nablus,2004,20.0
2005,Male,Nablus,2005,16.8
2006,Male,Nablus,2006,16.9
2007,Male,Nablus,2007,15.4
2008,Male,Nablus,2008,15.0
2009,Male,Nablus,2009,12.9
2010,Male,Nablus,2010,13.8
2011,Male,Nablus,2011,11.8
2012,Male,Nablus,2012,10.6
2013,Male,Nablus,2013,12.1
2014,Male,Nablus,2014,14.0
2015,Male,Nablus,2015,12.8
2016,Male,Nablus,2016,11.9
2017,Male,Nablus,2017,16.1
2018,Male,Nablus,2018,13.4
2000,Male,Qalqiliya,2000,18.2
2001,Male,Qalqiliya,2001,36.7
2002,Male,Qalqiliya,2002,30.8
2003,Male,Qalqiliya,2003,27.1
2004,Male,Qalqiliya,2004,24.2
2005,Male,Qalqiliya,2005,21.2
2006,Male,Qalqiliya,2006,16.1
2007,Male,Qalqiliya,2007,16.9
2008,Male,Qalqiliya,2008,22.6
2009,Male,Qalqiliya,2009,20.2
2010,Male,Qalqiliya,2010,18.5
2011,Male,Qalqiliya,2011,20.0
2012,Male,Qalqiliya,2012,20.1
2013,Male,Qalqiliya,2013,14.6
2014,Male,Qalqiliya,2014,10.9
2015,Male,Qalqiliya,2015,10.9
2016,Male,Qalqiliya,2016,10.1
2017,Male,Qalqiliya,2017,7.2
2018,Male,Qalqiliya,2018,2.8
2000,Male,Salfit,2000,18.8
2001,Male,Salfit,2001,47.0
2002,Male,Salfit,2002,34.4
2003,Male,Salfit,2003,27.3
2004,Male,Salfit,2004,21.7
2005,Male,Salfit,2005,22.1
2006,Male,Salfit,2006,18.2
2007,Male,Salfit,2007,18.2
2008,Male,Salfit,2008,19.5
2009,Male,Salfit,2009,14.0
2010,Male,Salfit,2010,12.7
2011,Male,Salfit,2011,13.7
2012,Male,Salfit,2012,13.5
2013,Male,Salfit,2013,17.4
2014,Male,Salfit,2014,13.8
2015,Male,Salfit,2015,11.9
2016,Male,Salfit,2016,13.9
2017,Male,Salfit,2017,14.6
2018,Male,Salfit,2018,17.6
2000,Male,Ramallah & Al-Bireh,2000,9.9
2001,Male,Ramallah & Al-Bireh,2001,28.4
2002,Male,Ramallah & Al-Bireh,2002,28.1
2003,Male,Ramallah & Al-Bireh,2003,21.8
2004,Male,Ramallah & Al-Bireh,2004,20.8
2005,Male,Ramallah & Al-Bireh,2005,16.2
2006,Male,Ramallah & Al-Bireh,2006,15.4
2007,Male,Ramallah & Al-Bireh,2007,15.7
2008,Male,Ramallah & Al-Bireh,2008,17.8
2009,Male,Ramallah & Al-Bireh,2009,17.3
2010,Male,Ramallah & Al-Bireh,2010,15.3
2011,Male,Ramallah & Al-Bireh,2011,15.5
2012,Male,Ramallah & Al-Bireh,2012,16.5
2013,Male,Ramallah & Al-Bireh,2013,16.6
2014,Male,Ramallah & Al-Bireh,2014,12.8
2015,Male,Ramallah & Al-Bireh,2015,17.5
2016,Male,Ramallah & Al-Bireh,2016,14.7
2017,Male,Ramallah & Al-Bireh,2017,15.5
2018,Male,Ramallah & Al-Bireh,2018,14.4
2000,Male,Jericho & AL Aghwar,2000,7.9
2001,Male,Jericho & AL Aghwar,2001,12.8
2002,Male,Jericho & AL Aghwar,2002,11.6
2003,Male,Jericho & AL Aghwar,2003,9.2
2004,Male,Jericho & AL Aghwar,2004,12.3
2005,Male,Jericho & AL Aghwar,2005,13.0
2006,Male,Jericho & AL Aghwar,2006,14.9
2007,Male,Jericho & AL Aghwar,2007,7.8
2008,Male,Jericho & AL Aghwar,2008,10.0
2009,Male,Jericho & AL Aghwar,2009,8.6
2010,Male,Jericho & AL Aghwar,2010,13.2
2011,Male,Jericho & AL Aghwar,2011,11.9
2012,Male,Jericho & AL Aghwar,2012,15.5
2013,Male,Jericho & AL Aghwar,2013,14.9
2014,Male,Jericho & AL Aghwar,2014,16.4
2015,Male,Jericho & AL Aghwar,2015,12.4
2016,Male,Jericho & AL Aghwar,2016,9.5
2017,Male,Jericho & AL Aghwar,2017,12.3
2018,Male,Jericho & AL Aghwar,2018,15.8
2000,Male,Jerusalem,2000,12.4
2001,Male,Jerusalem,2001,17.2
2002,Male,Jerusalem,2002,31.0
2003,Male,Jerusalem,2003,24.3
2004,Male,Jerusalem,2004,25.1
2005,Male,Jerusalem,2005,18.3
2006,Male,Jerusalem,2006,14.8
2007,Male,Jerusalem,2007,15.4
2008,Male,Jerusalem,2008,12.2
2009,Male,Jerusalem,2009,11.3
2010,Male,Jerusalem,2010,11.3
2011,Male,Jerusalem,2011,11.9
2012,Male,Jerusalem,2012,17.3
2013,Male,Jerusalem,2013,18.1
2014,Male,Jerusalem,2014,16.8
2015,Male,Jerusalem,2015,12.2
2016,Male,Jerusalem,2016,15.6
2017,Male,Jerusalem,2017,10.8
2018,Male,Jerusalem,2018,9.1
2000,Male,Bethlehem,2000,10.4
2001,Male,Bethlehem,2001,12.1
2002,Male,Bethlehem,2002,22.7
2003,Male,Bethlehem,2003,19.8
2004,Male,Bethlehem,2004,23.2
2005,Male,Bethlehem,2005,14.2
2006,Male,Bethlehem,2006,13.8
2007,Male,Bethlehem,2007,18.8
2008,Male,Bethlehem,2008,23.0
2009,Male,Bethlehem,2009,20.4
2010,Male,Bethlehem,2010,20.2
2011,Male,Bethlehem,2011,18.3
2012,Male,Bethlehem,2012,20.2
2013,Male,Bethlehem,2013,20.3
2014,Male,Bethlehem,2014,17.7
2015,Male,Bethlehem,2015,11.3
2016,Male,Bethlehem,2016,17.9
2017,Male,Bethlehem,2017,17.1
2018,Male,Bethlehem,2018,17.8
2000,Male,Hebron,2000,10.5
2001,Male,Hebron,2001,17.0
2002,Male,Hebron,2002,28.7
2003,Male,Hebron,2003,23.3
2004,Male,Hebron,2004,27.6
2005,Male,Hebron,2005,27.9
2006,Male,Hebron,2006,24.9
2007,Male,Hebron,2007,23.9
2008,Male,Hebron,2008,28.1
2009,Male,Hebron,2009,23.2
2010,Male,Hebron,2010,21.3
2011,Male,Hebron,2011,19.7
2012,Male,Hebron,2012,20.4
2013,Male,Hebron,2013,21.6
2014,Male,Hebron,2014,18.6
2015,Male,Hebron,2015,18.1
2016,Male,Hebron,2016,18.3
2017,Male,Hebron,2017,19.0
2018,Male,Hebron,2018,17.1
2000,Male,North Gaza,2000,17.0
2001,Male,North Gaza,2001,36.4
2002,Male,North Gaza,2002,38.6
2003,Male,North Gaza,2003,27.7
2004,Male,North Gaza,2004,37.5
2005,Male,North Gaza,2005,33.9
2006,Male,North Gaza,2006,39.7
2007,Male,North Gaza,2007,31.8
2008,Male,North Gaza,2008,40.4
2009,Male,North Gaza,2009,35.6
2010,Male,North Gaza,2010,34.7
2011,Male,North Gaza,2011,25.6
2012,Male,North Gaza,2012,29.6
2013,Male,North Gaza,2013,29.0
2014,Male,North Gaza,2014,39.6
2015,Male,North Gaza,2015,37.5
2016,Male,North Gaza,2016,37.8
2017,Male,North Gaza,2017,34.9
2018,Male,North Gaza,2018,39.4
2000,Male,Gaza,2000,17.1
2001,Male,Gaza,2001,33.7
2002,Male,Gaza,2002,36.6
2003,Male,Gaza,2003,27.3
2004,Male,Gaza,2004,32.9
2005,Male,Gaza,2005,25.5
2006,Male,Gaza,2006,33.2
2007,Male,Gaza,2007,23.7
2008,Male,Gaza,2008,37.2
2009,Male,Gaza,2009,33.6
2010,Male,Gaza,2010,33.5
2011,Male,Gaza,2011,24.3
2012,Male,Gaza,2012,23.7
2013,Male,Gaza,2013,24.7
2014,Male,Gaza,2014,35.4
2015,Male,Gaza,2015,30.9
2016,Male,Gaza,2016,28.0
2017,Male,Gaza,2017,32.2
2018,Male,Gaza,2018,40.5
2000,Male,Dier Al-Balah,2000,21.8
2001,Male,Dier Al-Balah,2001,34.4
2002,Male,Dier Al-Balah,2002,40.0
2003,Male,Dier Al-Balah,2003,31.1
2004,Male,Dier Al-Balah,2004,36.6
2005,Male,Dier Al-Balah,2005,33.6
2006,Male,Dier Al-Balah,2006,35.9
2007,Male,Dier Al-Balah,2007,33.6
2008,Male,Dier Al-Balah,2008,39.7
2009,Male,Dier Al-Balah,2009,32.0
2010,Male,Dier Al-Balah,2010,38.3
2011,Male,Dier Al-Balah,2011,22.3
2012,Male,Dier Al-Balah,2012,24.1
2013,Male,Dier Al-Balah,2013,23.8
2014,Male,Dier Al-Balah,2014,44.0
2015,Male,Dier Al-Balah,2015,44.2
2016,Male,Dier Al-Balah,2016,38.1
2017,Male,Dier Al-Balah,2017,43.0
2018,Male,Dier Al-Balah,2018,50.2
2000,Male,Khan Yunis,2000,21.5
2001,Male,Khan Yunis,2001,37.6
2002,Male,Khan Yunis,2002,39.6
2003,Male,Khan Yunis,2003,34.3
2004,Male,Khan Yunis,2004,39.6
2005,Male,Khan Yunis,2005,31.2
2006,Male,Khan Yunis,2006,36.2
2007,Male,Khan Yunis,2007,36.6
2008,Male,Khan Yunis,2008,48.6
2009,Male,Khan Yunis,2009,47.7
2010,Male,Khan Yunis,2010,41.3
2011,Male,Khan Yunis,2011,28.1
2012,Male,Khan Yunis,2012,29.4
2013,Male,Khan Yunis,2013,34.3
2014,Male,Khan Yunis,2014,43.8
2015,Male,Khan Yunis,2015,37.8
2016,Male,Khan Yunis,2016,39.5
2017,Male,Khan Yunis,2017,40.4
2018,Male,Khan Yunis,2018,47.1
2000,Male,Rafah,2000,19.4
2001,Male,Rafah,2001,35.2
2002,Male,Rafah,2002,42.7
2003,Male,Rafah,2003,29.1
2004,Male,Rafah,2004,36.2
2005,Male,Rafah,2005,28.8
2006,Male,Rafah,2006,30.3
2007,Male,Rafah,2007,27.7
2008,Male,Rafah,2008,33.9
2009,Male,Rafah,2009,36.8
2010,Male,Rafah,2010,32.4
2011,Male,Rafah,2011,29.3
2012,Male,Rafah,2012,28.3
2013,Male,Rafah,2013,33.2
2014,Male,Rafah,2014,42.1
2015,Male,Rafah,2015,34.5
2016,Male,Rafah,2016,34.4
2017,Male,Rafah,2017,38.3
2018,Male,Rafah,2018,45.7
2000,Female,Jenin,2000,7.2
2001,Female,Jenin,2001,10.1
2002,Female,Jenin,2002,20.1
2003,Female,Jenin,2003,19.1
2004,Female,Jenin,2004,20.4
2005,Female,Jenin,2005,23.2
2006,Female,Jenin,2006,21.3
2007,Female,Jenin,2007,14.1
2008,Female,Jenin,2008,14.6
2009,Female,Jenin,2009,18.9
2010,Female,Jenin,2010,15.0
2011,Female,Jenin,2011,17.2
2012,Female,Jenin,2012,21.2
2013,Female,Jenin,2013,29.7
2014,Female,Jenin,2014,31.2
2015,Female,Jenin,2015,24.2
2016,Female,Jenin,2016,33.5
2017,Female,Jenin,2017,38.0
2018,Female,Jenin,2018,37.4
2000,Female,Tubas & Northern Valleys,2000,13.4
2001,Female,Tubas & Northern Valleys,2001,14.6
2002,Female,Tubas & Northern Valleys,2002,25.3
2003,Female,Tubas & Northern Valleys,2003,17.8
2004,Female,Tubas & Northern Valleys,2004,17.2
2005,Female,Tubas & Northern Valleys,2005,25.4
2006,Female,Tubas & Northern Valleys,2006,25.9
2007,Female,Tubas & Northern Valleys,2007,18.8
2008,Female,Tubas & Northern Valleys,2008,17.5
2009,Female,Tubas & Northern Valleys,2009,20.0
2010,Female,Tubas & Northern Valleys,2010,12.6
2011,Female,Tubas & Northern Valleys,2011,17.0
2012,Female,Tubas & Northern Valleys,2012,19.9
2013,Female,Tubas & Northern Valleys,2013,21.2
2014,Female,Tubas & Northern Valleys,2014,26.6
2015,Female,Tubas & Northern Valleys,2015,26.1
2016,Female,Tubas & Northern Valleys,2016,30.8
2017,Female,Tubas & Northern Valleys,2017,36.0
2018,Female,Tubas & Northern Valleys,2018,38.7
2000,Female,Tulkarm,2000,13.1
2001,Female,Tulkarm,2001,12.9
2002,Female,Tulkarm,2002,14.7
2003,Female,Tulkarm,2003,14.4
2004,Female,Tulkarm,2004,19.5
2005,Female,Tulkarm,2005,22.6
2006,Female,Tulkarm,2006,22.4
2007,Female,Tulkarm,2007,25.5
2008,Female,Tulkarm,2008,33.0
2009,Female,Tulkarm,2009,35.7
2010,Female,Tulkarm,2010,31.8
2011,Female,Tulkarm,2011,28.5
2012,Female,Tulkarm,2012,34.5
2013,Female,Tulkarm,2013,27.7
2014,Female,Tulkarm,2014,21.9
2015,Female,Tulkarm,2015,31.4
2016,Female,Tulkarm,2016,31.5
2017,Female,Tulkarm,2017,28.8
2018,Female,Tulkarm,2018,31.4
2000,Female,Nablus,2000,14.5
2001,Female,Nablus,2001,21.1
2002,Female,Nablus,2002,22.0
2003,Female,Nablus,2003,23.2
2004,Female,Nablus,2004,22.4
2005,Female,Nablus,2005,22.6
2006,Female,Nablus,2006,19.8
2007,Female,Nablus,2007,16.2
2008,Female,Nablus,2008,19.0
2009,Female,Nablus,2009,12.8
2010,Female,Nablus,2010,13.9
2011,Female,Nablus,2011,24.6
2012,Female,Nablus,2012,27.3
2013,Female,Nablus,2013,26.0
2014,Female,Nablus,2014,28.6
2015,Female,Nablus,2015,30.5
2016,Female,Nablus,2016,31.0
2017,Female,Nablus,2017,32.0
2018,Female,Nablus,2018,26.3
2000,Female,Qalqiliya,2000,13.4
2001,Female,Qalqiliya,2001,9.1
2002,Female,Qalqiliya,2002,10.7
2003,Female,Qalqiliya,2003,8.6
2004,Female,Qalqiliya,2004,14.7
2005,Female,Qalqiliya,2005,18.8
2006,Female,Qalqiliya,2006,17.1
2007,Female,Qalqiliya,2007,13.9
2008,Female,Qalqiliya,2008,27.0
2009,Female,Qalqiliya,2009,37.0
2010,Female,Qalqiliya,2010,25.9
2011,Female,Qalqiliya,2011,27.8
2012,Female,Qalqiliya,2012,26.5
2013,Female,Qalqiliya,2013,23.9
2014,Female,Qalqiliya,2014,18.5
2015,Female,Qalqiliya,2015,22.3
2016,Female,Qalqiliya,2016,23.8
2017,Female,Qalqiliya,2017,26.0
2018,Female,Qalqiliya,2018,27.6
2000,Female,Salfit,2000,13.6
2001,Female,Salfit,2001,11.3
2002,Female,Salfit,2002,11.2
2003,Female,Salfit,2003,10.3
2004,Female,Salfit,2004,10.8
2005,Female,Salfit,2005,18.4
2006,Female,Salfit,2006,14.7
2007,Female,Salfit,2007,21.0
2008,Female,Salfit,2008,21.3
2009,Female,Salfit,2009,22.6
2010,Female,Salfit,2010,22.6
2011,Female,Salfit,2011,21.8
2012,Female,Salfit,2012,31.9
2013,Female,Salfit,2013,27.1
2014,Female,Salfit,2014,32.5
2015,Female,Salfit,2015,28.2
2016,Female,Salfit,2016,22.6
2017,Female,Salfit,2017,22.4
2018,Female,Salfit,2018,24.5
2000,Female,Ramallah & Al-Bireh,2000,7.1
2001,Female,Ramallah & Al-Bireh,2001,7.9
2002,Female,Ramallah & Al-Bireh,2002,16.3
2003,Female,Ramallah & Al-Bireh,2003,13.6
2004,Female,Ramallah & Al-Bireh,2004,15.9
2005,Female,Ramallah & Al-Bireh,2005,13.7
2006,Female,Ramallah & Al-Bireh,2006,18.8
2007,Female,Ramallah & Al-Bireh,2007,17.0
2008,Female,Ramallah & Al-Bireh,2008,15.0
2009,Female,Ramallah & Al-Bireh,2009,16.4
2010,Female,Ramallah & Al-Bireh,2010,17.6
2011,Female,Ramallah & Al-Bireh,2011,18.7
2012,Female,Ramallah & Al-Bireh,2012,19.8
2013,Female,Ramallah & Al-Bireh,2013,19.5
2014,Female,Ramallah & Al-Bireh,2014,21.0
2015,Female,Ramallah & Al-Bireh,2015,27.2
2016,Female,Ramallah & Al-Bireh,2016,20.8
2017,Female,Ramallah & Al-Bireh,2017,18.1
2018,Female,Ramallah & Al-Bireh,2018,21.0
2000,Female,Jericho & AL Aghwar,2000,3.9
2001,Female,Jericho & AL Aghwar,2001,5.4
2002,Female,Jericho & AL Aghwar,2002,6.8
2003,Female,Jericho & AL Aghwar,2003,9.9
2004,Female,Jericho & AL Aghwar,2004,15.7
2005,Female,Jericho & AL Aghwar,2005,13.8
2006,Female,Jericho & AL Aghwar,2006,12.2
2007,Female,Jericho & AL Aghwar,2007,16.9
2008,Female,Jericho & AL Aghwar,2008,8.9
2009,Female,Jericho & AL Aghwar,2009,5.9
2010,Female,Jericho & AL Aghwar,2010,10.6
2011,Female,Jericho & AL Aghwar,2011,18.1
2012,Female,Jericho & AL Aghwar,2012,28.0
2013,Female,Jericho & AL Aghwar,2013,22.3
2014,Female,Jericho & AL Aghwar,2014,22.4
2015,Female,Jericho & AL Aghwar,2015,22.3
2016,Female,Jericho & AL Aghwar,2016,16.7
2017,Female,Jericho & AL Aghwar,2017,27.2
2018,Female,Jericho & AL Aghwar,2018,33.9
2000,Female,Jerusalem,2000,6.5
2001,Female,Jerusalem,2001,4.9
2002,Female,Jerusalem,2002,5.3
2003,Female,Jerusalem,2003,12.7
2004,Female,Jerusalem,2004,14.3
2005,Female,Jerusalem,2005,10.9
2006,Female,Jerusalem,2006,8.3
2007,Female,Jerusalem,2007,9.1
2008,Female,Jerusalem,2008,9.5
2009,Female,Jerusalem,2009,13.4
2010,Female,Jerusalem,2010,18.1
2011,Female,Jerusalem,2011,21.5
2012,Female,Jerusalem,2012,19.6
2013,Female,Jerusalem,2013,23.4
2014,Female,Jerusalem,2014,33.5
2015,Female,Jerusalem,2015,26.4
2016,Female,Jerusalem,2016,12.7
2017,Female,Jerusalem,2017,17.5
2018,Female,Jerusalem,2018,23.0
2000,Female,Bethlehem,2000,5.6
2001,Female,Bethlehem,2001,5.4
2002,Female,Bethlehem,2002,4.4
2003,Female,Bethlehem,2003,8.8
2004,Female,Bethlehem,2004,5.6
2005,Female,Bethlehem,2005,8.4
