Year,indicador-disponível,objectivo,meta,indicador,sériedescrição,província,sexo,idade,área-de-residência,nível-de-educação,ocupação,deficiência,composição-composta,quintil,unit,scale,Value
2007,G,7,7.1,7.1.1,EG_ACS_ELEC,508,_T,_T,_T,_T,_T,_T,_T,_T,Percent,1,12.4
2007,G,7,7.1,7.1.1,EG_ACS_ELEC,508,_T,_T,U,_T,_T,_T,_T,_T,Percent,1,37.5
2007,G,7,7.1,7.1.1,EG_ACS_ELEC,508,_T,_T,R,_T,_T,_T,_T,_T,Percent,1,1.4
2007,G,7,7.1,7.1.1,EG_ACS_ELEC,MZ-A,_T,_T,_T,_T,_T,_T,_T,_T,Percent,1,5.8
2007,G,7,7.1,7.1.1,EG_ACS_ELEC,MZ-P,_T,_T,_T,_T,_T,_T,_T,_T,Percent,1,4.9
2007,G,7,7.1,7.1.1,EG_ACS_ELEC,MZ-N,_T,_T,_T,_T,_T,_T,_T,_T,Percent,1,8.1
2007,G,7,7.1,7.1.1,EG_ACS_ELEC,MZ-Q,_T,_T,_T,_T,_T,_T,_T,_T,Percent,1,4.5
2007,G,7,7.1,7.1.1,EG_ACS_ELEC,MZ-T,_T,_T,_T,_T,_T,_T,_T,_T,Percent,1,5.9
2007,G,7,7.1,7.1.1,EG_ACS_ELEC,MZ-B,_T,_T,_T,_T,_T,_T,_T,_T,Percent,1,9.1
2007,G,7,7.1,7.1.1,EG_ACS_ELEC,MZ-S,_T,_T,_T,_T,_T,_T,_T,_T,Percent,1,13.3
2007,G,7,7.1,7.1.1,EG_ACS_ELEC,MZ-I,_T,_T,_T,_T,_T,_T,_T,_T,Percent,1,5.8
2007,G,7,7.1,7.1.1,EG_ACS_ELEC,MZ-G,_T,_T,_T,_T,_T,_T,_T,_T,Percent,1,14.7
2007,G,7,7.1,7.1.1,EG_ACS_ELEC,MZ-L,_T,_T,_T,_T,_T,_T,_T,_T,Percent,1,34.5
2007,G,7,7.1,7.1.1,EG_ACS_ELEC,MZ6,_T,_T,_T,_T,_T,_T,_T,_T,Percent,1,67.4
