Year,seriesdescription,area,sex,age,urbanisation,education-level,unit,scale,Value
2010,SH_STA_BRTC,BI,_T,_T,_T,_T,Percent,1,45.9
2011,SH_STA_BRTC,BI,_T,_T,_T,_T,Percent,1,52.8
2012,SH_STA_BRTC,BI,_T,_T,_T,_T,Percent,1,53.7
2013,SH_STA_BRTC,BI,_T,_T,_T,_T,Percent,1,54.0
2014,SH_STA_BRTC,BI,_T,_T,_T,_T,Percent,1,58.4
2015,SH_STA_BRTC,BI,_T,_T,_T,_T,Percent,1,77.3
2016,SH_STA_BRTC,BI,_T,_T,_T,_T,Percent,1,78.3
2017,SH_STA_BRTC,BI,_T,_T,_T,_T,Percent,1,79.5
2010,SH_STA_BRTC,BI,_T,_T,U,_T,Percent,1,87.9
2010,SH_STA_BRTC,BI,_T,_T,R,_T,Percent,1,57.8
