Year,seriesdescription,geoarea,sex,age,urbanization,education-level,wealth-quintile,unit,TIME_DETAIL,Value
2016,SL_TLF_UEM,ET,F,_T,U,_T,_T,Percent,2016,24.7
2016,SL_TLF_UEM,ET,M,_T,U,_T,_T,Percent,2016,9.4
2016,SL_TLF_UEM,ET01,F,_T,U,_T,_T,Percent,2016,27.4
2016,SL_TLF_UEM,ET01,M,_T,U,_T,_T,Percent,2016,12.8
2016,SL_TLF_UEM,ET02,F,_T,U,_T,_T,Percent,2016,28.0
2016,SL_TLF_UEM,ET02,M,_T,U,_T,_T,Percent,2016,10.5
2016,SL_TLF_UEM,ET03,F,_T,U,_T,_T,Percent,2016,26.1
2016,SL_TLF_UEM,ET03,M,_T,U,_T,_T,Percent,2016,9.7
2016,SL_TLF_UEM,ET04,F,_T,U,_T,_T,Percent,2016,22.9
2016,SL_TLF_UEM,ET04,M,_T,U,_T,_T,Percent,2016,8.3
2016,SL_TLF_UEM,ET05,F,_T,U,_T,_T,Percent,2016,29.9
2016,SL_TLF_UEM,ET05,M,_T,U,_T,_T,Percent,2016,9.2
2016,SL_TLF_UEM,ET06,F,_T,U,_T,_T,Percent,2016,15.3
2016,SL_TLF_UEM,ET06,M,_T,U,_T,_T,Percent,2016,7.5
2016,SL_TLF_UEM,ET07,F,_T,U,_T,_T,Percent,2016,18.2
2016,SL_TLF_UEM,ET07,M,_T,U,_T,_T,Percent,2016,5.1
2016,SL_TLF_UEM,ET12,F,_T,U,_T,_T,Percent,2016,10.9
2016,SL_TLF_UEM,ET12,M,_T,U,_T,_T,Percent,2016,5.5
2016,SL_TLF_UEM,ET13,F,_T,U,_T,_T,Percent,2016,13.8
2016,SL_TLF_UEM,ET13,M,_T,U,_T,_T,Percent,2016,7.1
2016,SL_TLF_UEM,ET14,F,_T,U,_T,_T,Percent,2016,30.0
2016,SL_TLF_UEM,ET14,M,_T,U,_T,_T,Percent,2016,12.4
2016,SL_TLF_UEM,ET15,F,_T,U,_T,_T,Percent,2016,32.6
2016,SL_TLF_UEM,ET15,M,_T,U,_T,_T,Percent,2016,16.4
