Year,SEX,AREA,Value
2015,Female,West Bank,14.8
2016,Female,West Bank,14.8
2017,Female,West Bank,14.8
2018,Female,West Bank,14.8
2019,Female,West Bank,11.5
2015,Female,Gaza Strip,25.9
2016,Female,Gaza Strip,15.5
2017,Female,Gaza Strip,8.6
2018,Female,Gaza Strip,19.1
2019,Female,Gaza Strip,30.8
2015,Female,Palestine,15.7
2016,Female,Palestine,13.8
2017,Female,Palestine,5.9
2018,Female,Palestine,16.7
2019,Female,Palestine,19.5
2015,Both sexes or no breakdown by sex,West Bank,7.2
2016,Both sexes or no breakdown by sex,West Bank,12.4
2017,Both sexes or no breakdown by sex,West Bank,3.8
2018,Both sexes or no breakdown by sex,West Bank,14.8
2019,Both sexes or no breakdown by sex,West Bank,11.5
2015,Both sexes or no breakdown by sex,Gaza Strip,25.9
2016,Both sexes or no breakdown by sex,Gaza Strip,15.5
2017,Both sexes or no breakdown by sex,Gaza Strip,8.6
2018,Both sexes or no breakdown by sex,Gaza Strip,19.1
2019,Both sexes or no breakdown by sex,Gaza Strip,30.8
2015,Both sexes or no breakdown by sex,Palestine,15.7
2016,Both sexes or no breakdown by sex,Palestine,13.8
2017,Both sexes or no breakdown by sex,Palestine,5.9
2018,Both sexes or no breakdown by sex,Palestine,16.7
2019,Both sexes or no breakdown by sex,Palestine,19.5
