Year,seriesdescription,area,sex,age,urbanisation,education-level,unit,scale,Value
2015,D43,BI,_T,_T,_T,_T,,1,91.6
2010,D44,BI,F,_T,_T,_T,Percent,1,30.6
2011,D44,BI,F,_T,_T,_T,Percent,1,29.7
2012,D44,BI,F,_T,_T,_T,Percent,1,28.6
2013,D44,BI,F,_T,_T,_T,Percent,1,28.7
2014,D44,BI,F,_T,_T,_T,Percent,1,28.9
2015,D44,BI,F,_T,_T,_T,Percent,1,28.8
2016,D44,BI,F,_T,_T,_T,Percent,1,27.7
2017,D44,BI,F,_T,_T,_T,Percent,1,26.7
2010,D44,BI,M,_T,_T,_T,Percent,1,30.1
2011,D44,BI,M,_T,_T,_T,Percent,1,29.4
2012,D44,BI,M,_T,_T,_T,Percent,1,28.3
2013,D44,BI,M,_T,_T,_T,Percent,1,28.5
2014,D44,BI,M,_T,_T,_T,Percent,1,28.8
2015,D44,BI,M,_T,_T,_T,Percent,1,28.7
2016,D44,BI,M,_T,_T,_T,Percent,1,27.7
2017,D44,BI,M,_T,_T,_T,Percent,1,26.8
2010,D44,BI,_T,_T,_T,_T,Percent,1,30.4
2011,D44,BI,_T,_T,_T,_T,Percent,1,29.5
2012,D44,BI,_T,_T,_T,_T,Percent,1,28.5
2013,D44,BI,_T,_T,_T,_T,Percent,1,28.6
2014,D44,BI,_T,_T,_T,_T,Percent,1,28.9
2015,D44,BI,_T,_T,_T,_T,Percent,1,28.8
2016,D44,BI,_T,_T,_T,_T,Percent,1,27.7
2017,D44,BI,_T,_T,_T,_T,Percent,1,26.7
2010,D45,BI,F,_T,_T,_T,Percent,1,10.8
2011,D45,BI,F,_T,_T,_T,Percent,1,11.6
2012,D45,BI,F,_T,_T,_T,Percent,1,12.1
2013,D45,BI,F,_T,_T,_T,Percent,1,12.7
2014,D45,BI,F,_T,_T,_T,Percent,1,11.3
2015,D45,BI,F,_T,_T,_T,Percent,1,9.7
2016,D45,BI,F,_T,_T,_T,Percent,1,8.8
2017,D45,BI,F,_T,_T,_T,Percent,1,9.2
2010,D45,BI,M,_T,_T,_T,Percent,1,10.5
2011,D45,BI,M,_T,_T,_T,Percent,1,10.6
2012,D45,BI,M,_T,_T,_T,Percent,1,10.8
2013,D45,BI,M,_T,_T,_T,Percent,1,10.8
2014,D45,BI,M,_T,_T,_T,Percent,1,9.4
2015,D45,BI,M,_T,_T,_T,Percent,1,8.0
2016,D45,BI,M,_T,_T,_T,Percent,1,7.5
2017,D45,BI,M,_T,_T,_T,Percent,1,8.0
2010,D45,BI,_T,_T,_T,_T,Percent,1,10.7
2011,D45,BI,_T,_T,_T,_T,Percent,1,11.1
2012,D45,BI,_T,_T,_T,_T,Percent,1,11.5
2013,D45,BI,_T,_T,_T,_T,Percent,1,11.8
2014,D45,BI,_T,_T,_T,_T,Percent,1,10.4
2015,D45,BI,_T,_T,_T,_T,Percent,1,8.9
2016,D45,BI,_T,_T,_T,_T,Percent,1,8.1
2017,D45,BI,_T,_T,_T,_T,Percent,1,8.6
2010,D46,BI,F,_T,_T,_T,Percent,1,2.3
2011,D46,BI,F,_T,_T,_T,Percent,1,2.5
2012,D46,BI,F,_T,_T,_T,Percent,1,2.6
2013,D46,BI,F,_T,_T,_T,Percent,1,2.8
2014,D46,BI,F,_T,_T,_T,Percent,1,3.2
2015,D46,BI,F,_T,_T,_T,Percent,1,3.8
2016,D46,BI,F,_T,_T,_T,Percent,1,4.8
2017,D46,BI,F,_T,_T,_T,Percent,1,2.3
2010,D46,BI,M,_T,_T,_T,Percent,1,3.0
2011,D46,BI,M,_T,_T,_T,Percent,1,3.1
2012,D46,BI,M,_T,_T,_T,Percent,1,3.2
2013,D46,BI,M,_T,_T,_T,Percent,1,3.3
2014,D46,BI,M,_T,_T,_T,Percent,1,3.5
2015,D46,BI,M,_T,_T,_T,Percent,1,4.0
2016,D46,BI,M,_T,_T,_T,Percent,1,4.5
2017,D46,BI,M,_T,_T,_T,Percent,1,1.9
2010,D46,BI,_T,_T,_T,_T,Percent,1,2.6
2011,D46,BI,_T,_T,_T,_T,Percent,1,2.8
2012,D46,BI,_T,_T,_T,_T,Percent,1,2.9
2013,D46,BI,_T,_T,_T,_T,Percent,1,3.1
2014,D46,BI,_T,_T,_T,_T,Percent,1,3.4
2015,D46,BI,_T,_T,_T,_T,Percent,1,3.9
2016,D46,BI,_T,_T,_T,_T,Percent,1,4.7
2017,D46,BI,_T,_T,_T,_T,Percent,1,2.0
