Year,seriesdescription,area,sex,age,urbanisation,education-level,unit,scale,Value
2010,D49,BI,F,_T,_T,ISCED11_1,Percent,1,36.8
2011,D49,BI,F,_T,_T,ISCED11_1,Percent,1,38.7
2012,D49,BI,F,_T,_T,ISCED11_1,Percent,1,34.7
2013,D49,BI,F,_T,_T,ISCED11_1,Percent,1,29.6
2014,D49,BI,F,_T,_T,ISCED11_1,Percent,1,24.9
2015,D49,BI,F,_T,_T,ISCED11_1,Percent,1,22.3
2016,D49,BI,F,_T,_T,ISCED11_1,Percent,1,21.3
2017,D49,BI,F,_T,_T,ISCED11_1,Percent,1,20.9
2010,D49,BI,F,_T,_T,ISCED11_2,Percent,1,35.2
2011,D49,BI,F,_T,_T,ISCED11_2,Percent,1,36.0
2012,D49,BI,F,_T,_T,ISCED11_2,Percent,1,32.2
2013,D49,BI,F,_T,_T,ISCED11_2,Percent,1,29.0
2014,D49,BI,F,_T,_T,ISCED11_2,Percent,1,13.0
2015,D49,BI,F,_T,_T,ISCED11_2,Percent,1,15.9
2016,D49,BI,F,_T,_T,ISCED11_2,Percent,1,21.9
2010,D49,BI,F,_T,_T,ISCED11_3,Percent,1,21.6
2011,D49,BI,F,_T,_T,ISCED11_3,Percent,1,23.0
2012,D49,BI,F,_T,_T,ISCED11_3,Percent,1,22.5
2013,D49,BI,F,_T,_T,ISCED11_3,Percent,1,20.9
2014,D49,BI,F,_T,_T,ISCED11_3,Percent,1,19.2
2015,D49,BI,F,_T,_T,ISCED11_3,Percent,1,15.2
2016,D49,BI,F,_T,_T,ISCED11_3,Percent,1,13.1
2010,D49,BI,M,_T,_T,ISCED11_1,Percent,1,35.6
2011,D49,BI,M,_T,_T,ISCED11_1,Percent,1,37.5
2012,D49,BI,M,_T,_T,ISCED11_1,Percent,1,34.2
2013,D49,BI,M,_T,_T,ISCED11_1,Percent,1,29.3
2014,D49,BI,M,_T,_T,ISCED11_1,Percent,1,25.3
2015,D49,BI,M,_T,_T,ISCED11_1,Percent,1,23.3
2016,D49,BI,M,_T,_T,ISCED11_1,Percent,1,23.4
2017,D49,BI,M,_T,_T,ISCED11_1,Percent,1,20.9
2010,D49,BI,M,_T,_T,ISCED11_2,Percent,1,26.1
2011,D49,BI,M,_T,_T,ISCED11_2,Percent,1,29.6
2012,D49,BI,M,_T,_T,ISCED11_2,Percent,1,30.6
2013,D49,BI,M,_T,_T,ISCED11_2,Percent,1,25.8
2014,D49,BI,M,_T,_T,ISCED11_2,Percent,1,23.7
2015,D49,BI,M,_T,_T,ISCED11_2,Percent,1,13.0
2016,D49,BI,M,_T,_T,ISCED11_2,Percent,1,16.3
2010,D49,BI,M,_T,_T,ISCED11_3,Percent,1,20.3
2011,D49,BI,M,_T,_T,ISCED11_3,Percent,1,22.0
2012,D49,BI,M,_T,_T,ISCED11_3,Percent,1,23.6
2013,D49,BI,M,_T,_T,ISCED11_3,Percent,1,19.3
2014,D49,BI,M,_T,_T,ISCED11_3,Percent,1,18.1
2015,D49,BI,M,_T,_T,ISCED11_3,Percent,1,12.5
2016,D49,BI,M,_T,_T,ISCED11_3,Percent,1,11.9
2010,D49,BI,_T,_T,_T,ISCED11_1,Percent,1,36.2
2011,D49,BI,_T,_T,_T,ISCED11_1,Percent,1,38.1
2012,D49,BI,_T,_T,_T,ISCED11_1,Percent,1,34.4
2013,D49,BI,_T,_T,_T,ISCED11_1,Percent,1,29.4
2014,D49,BI,_T,_T,_T,ISCED11_1,Percent,1,25.3
2015,D49,BI,_T,_T,_T,ISCED11_1,Percent,1,22.8
2016,D49,BI,_T,_T,_T,ISCED11_1,Percent,1,22.3
2017,D49,BI,_T,_T,_T,ISCED11_1,Percent,1,22.0
2010,D49,BI,_T,_T,_T,ISCED11_2,Percent,1,33.9
2011,D49,BI,_T,_T,_T,ISCED11_2,Percent,1,34.3
2012,D49,BI,_T,_T,_T,ISCED11_2,Percent,1,38.8
2013,D49,BI,_T,_T,_T,ISCED11_2,Percent,1,28.1
2014,D49,BI,_T,_T,_T,ISCED11_2,Percent,1,13.5
2015,D49,BI,_T,_T,_T,ISCED11_2,Percent,1,16.2
2016,D49,BI,_T,_T,_T,ISCED11_2,Percent,1,21.1
2010,D49,BI,_T,_T,_T,ISCED11_3,Percent,1,20.8
2011,D49,BI,_T,_T,_T,ISCED11_3,Percent,1,22.4
2012,D49,BI,_T,_T,_T,ISCED11_3,Percent,1,23.2
2013,D49,BI,_T,_T,_T,ISCED11_3,Percent,1,19.9
2014,D49,BI,_T,_T,_T,ISCED11_3,Percent,1,18.5
2015,D49,BI,_T,_T,_T,ISCED11_3,Percent,1,13.6
2016,D49,BI,_T,_T,_T,ISCED11_3,Percent,1,12.4
