Year,seriesdescription,area,sex,age,urbanisation,education-level,unit,scale,Value
2010,D29,BI,_T,_T,_T,_T,,1,40.0
2011,D29,BI,_T,_T,_T,_T,,1,48.0
2012,D29,BI,_T,_T,_T,_T,,1,55.0
2013,D29,BI,_T,_T,_T,_T,,1,64.0
2014,D29,BI,_T,_T,_T,_T,,1,68.0
2015,D29,BI,_T,_T,_T,_T,,1,80.0
2016,D29,BI,_T,_T,_T,_T,,1,83.9
2017,D29,BI,_T,_T,_T,_T,,1,97.0
2010,D30,BI,F,_T,_T,_T,,1,2.0
2011,D30,BI,F,_T,_T,_T,,1,208.0
2012,D30,BI,F,_T,_T,_T,,1,0.0
2013,D30,BI,F,_T,_T,_T,,1,51.0
2014,D30,BI,F,_T,_T,_T,,1,143.0
2015,D30,BI,F,_T,_T,_T,,1,134.0
2016,D30,BI,F,_T,_T,_T,,1,114.0
2017,D30,BI,F,_T,_T,_T,,1,100.0
2010,D30,BI,M,_T,_T,_T,,1,3.0
2011,D30,BI,M,_T,_T,_T,,1,232.0
2012,D30,BI,M,_T,_T,_T,,1,0.0
2013,D30,BI,M,_T,_T,_T,,1,80.0
2014,D30,BI,M,_T,_T,_T,,1,127.0
2015,D30,BI,M,_T,_T,_T,,1,128.0
2016,D30,BI,M,_T,_T,_T,,1,120.0
2017,D30,BI,M,_T,_T,_T,,1,127.0
2010,D30,BI,_T,_T,_T,_T,,1,5.0
2011,D30,BI,_T,_T,_T,_T,,1,440.0
2012,D30,BI,_T,_T,_T,_T,,1,0.0
2013,D30,BI,_T,_T,_T,_T,,1,131.0
2014,D30,BI,_T,_T,_T,_T,,1,270.0
2015,D30,BI,_T,_T,_T,_T,,1,262.0
2016,D30,BI,_T,_T,_T,_T,,1,234.0
2017,D30,BI,_T,_T,_T,_T,,1,227.0
2011,D31,BI,F,Y1T14,_T,_T,,1,92970.0
2012,D31,BI,F,Y1T14,_T,_T,,1,117386.0
2013,D31,BI,F,Y1T14,_T,_T,,1,161895.0
2014,D31,BI,F,Y1T14,_T,_T,,1,172284.0
2015,D31,BI,F,Y1T14,_T,_T,,1,176233.0
2016,D31,BI,F,Y1T14,_T,_T,,1,266949.0
2017,D31,BI,F,Y1T14,_T,_T,,1,166313.0
2011,D31,BI,M,Y1T14,_T,_T,,1,78049.0
2012,D31,BI,M,Y1T14,_T,_T,,1,98650.0
2013,D31,BI,M,Y1T14,_T,_T,,1,132384.0
2014,D31,BI,M,Y1T14,_T,_T,,1,134643.0
2015,D31,BI,M,Y1T14,_T,_T,,1,136970.0
2016,D31,BI,M,Y1T14,_T,_T,,1,147695.0
2017,D31,BI,M,Y1T14,_T,_T,,1,133107.0
2011,D31,BI,_T,Y1T14,_T,_T,,1,171019.0
2012,D31,BI,_T,Y1T14,_T,_T,,1,216036.0
2013,D31,BI,_T,Y1T14,_T,_T,,1,294279.0
2014,D31,BI,_T,Y1T14,_T,_T,,1,306927.0
2015,D31,BI,_T,Y1T14,_T,_T,,1,313203.0
2016,D31,BI,_T,Y1T14,_T,_T,,1,414644.0
2017,D31,BI,_T,Y1T14,_T,_T,,1,299420.0
2011,D32,BI,F,Y_GE15,_T,_T,,1,54556.0
2012,D32,BI,F,Y_GE15,_T,_T,,1,40095.0
2013,D32,BI,F,Y_GE15,_T,_T,,1,54556.0
2014,D32,BI,F,Y_GE15,_T,_T,,1,69049.0
2015,D32,BI,F,Y_GE15,_T,_T,,1,73908.0
2016,D32,BI,F,Y_GE15,_T,_T,,1,150783.0
2017,D32,BI,F,Y_GE15,_T,_T,,1,74540.0
2011,D32,BI,M,Y_GE15,_T,_T,,1,35923.0
2012,D32,BI,M,Y_GE15,_T,_T,,1,27220.0
2013,D32,BI,M,Y_GE15,_T,_T,,1,35923.0
2014,D32,BI,M,Y_GE15,_T,_T,,1,42391.0
2015,D32,BI,M,Y_GE15,_T,_T,,1,46616.0
2016,D32,BI,M,Y_GE15,_T,_T,,1,49205.0
2017,D32,BI,M,Y_GE15,_T,_T,,1,53576.0
2011,D32,BI,_T,Y_GE15,_T,_T,,1,90479.0
2012,D32,BI,_T,Y_GE15,_T,_T,,1,67315.0
2013,D32,BI,_T,Y_GE15,_T,_T,,1,90479.0
2014,D32,BI,_T,Y_GE15,_T,_T,,1,111440.0
2015,D32,BI,_T,Y_GE15,_T,_T,,1,120524.0
2016,D32,BI,_T,Y_GE15,_T,_T,,1,199988.0
2017,D32,BI,_T,Y_GE15,_T,_T,,1,128116.0
2010,D34,BI,F,_T,_T,_T,,1,19.0
2011,D34,BI,F,_T,_T,_T,,1,5.0
2012,D34,BI,F,_T,_T,_T,,1,17.0
2013,D34,BI,F,_T,_T,_T,,1,9.0
2010,D34,BI,M,_T,_T,_T,,1,7.0
2011,D34,BI,M,_T,_T,_T,,1,4.0
2012,D34,BI,M,_T,_T,_T,,1,7.0
2013,D34,BI,M,_T,_T,_T,,1,3.0
2010,D34,BI,_T,_T,_T,_T,,1,26.0
2011,D34,BI,_T,_T,_T,_T,,1,9.0
2012,D34,BI,_T,_T,_T,_T,,1,24.0
2013,D34,BI,_T,_T,_T,_T,,1,12.0
2014,D34,BI,_T,_T,_T,_T,,1,46.0
