Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,AGE,URBANISATION,INCOME_WEALTH_QUANTILE,UNIT_MEASURE,TIME_DETAIL,Value
2000,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",ប្រចាំឆ្នាំ,ជាតិ,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,ប្រទេសកម្ពុជា,ស្រី,អាយុក្រោម ១ ខែ,,,ក្នុង ១០០ កំណើតរស់,2014,34.1
2005,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",ប្រចាំឆ្នាំ,ជាតិ,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,ប្រទេសកម្ពុជា,ស្រី,អាយុក្រោម ១ ខែ,,,ក្នុង ១០០ កំណើតរស់,2014,30.0
2010,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",ប្រចាំឆ្នាំ,ជាតិ,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,ប្រទេសកម្ពុជា,ស្រី,អាយុក្រោម ១ ខែ,,,ក្នុង ១០០ កំណើតរស់,2014,27.0
2014,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",ប្រចាំឆ្នាំ,ជាតិ,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,ប្រទេសកម្ពុជា,ស្រី,អាយុក្រោម ១ ខែ,,,ក្នុង ១០០ កំណើតរស់,2014,20.0
2000,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",ប្រចាំឆ្នាំ,ជាតិ,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,ប្រទេសកម្ពុជា,ស្រី,អាយុក្រោម ១ ឆ្នាំ,,,ក្នុង ១០០ កំណើតរស់,2014,34.1
2005,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",ប្រចាំឆ្នាំ,ជាតិ,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,ប្រទេសកម្ពុជា,ស្រី,អាយុក្រោម ១ ឆ្នាំ,,,ក្នុង ១០០ កំណើតរស់,2014,30.0
2010,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",ប្រចាំឆ្នាំ,ជាតិ,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,ប្រទេសកម្ពុជា,ស្រី,អាយុក្រោម ១ ឆ្នាំ,,,ក្នុង ១០០ កំណើតរស់,2014,27.0
2014,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",ប្រចាំឆ្នាំ,ជាតិ,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,ប្រទេសកម្ពុជា,ស្រី,អាយុក្រោម ១ ឆ្នាំ,,,ក្នុង ១០០ កំណើតរស់,2014,20.0
2000,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",ប្រចាំឆ្នាំ,ជាតិ,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,ប្រទេសកម្ពុជា,ប្រុស,អាយុក្រោម ១ ខែ,,,ក្នុង ១០០ កំណើតរស់,2014,44.0
2005,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",ប្រចាំឆ្នាំ,ជាតិ,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,ប្រទេសកម្ពុជា,ប្រុស,អាយុក្រោម ១ ខែ,,,ក្នុង ១០០ កំណើតរស់,2014,42.0
2010,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",ប្រចាំឆ្នាំ,ជាតិ,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,ប្រទេសកម្ពុជា,ប្រុស,អាយុក្រោម ១ ខែ,,,ក្នុង ១០០ កំណើតរស់,2014,36.0
2014,តម្លៃធម្មតា,ឯកតា,ទិន្នន័យប្រទេស,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",ប្រចាំឆ្នាំ,ជាតិ,៣.៣.២ អត្រាមរណភាពទារកទើបកើត,ប្រទេសកម្ពុជា,ប្រុស,អាយុក្រោម ១ ខែ,,,ក្នុង ១០០ កំណើតរស់,2014,22.0
