Year,indicador-disponível,sériedescrição,província,sexo,idade,área-de-residência,nível-de-educação,ocupação,deficiência,composição-composta,quintil,unit,TIME_DETAIL,Value
2007,G,SH_H2O_SAFE,508,_T,_T,_T,_T,_T,_T,_T,_T,Percent,2007,36.6
2007,G,SH_H2O_SAFE,508,_T,_T,U,_T,_T,_T,_T,_T,Percent,2007,70.4
2007,G,SH_H2O_SAFE,508,_T,_T,R,_T,_T,_T,_T,_T,Percent,2007,21.9
2007,G,SH_H2O_SAFE,MZ-A,_T,_T,_T,_T,_T,_T,_T,_T,Percent,2007,23.2
2007,G,SH_H2O_SAFE,MZ-P,_T,_T,_T,_T,_T,_T,_T,_T,Percent,2007,32.0
2007,G,SH_H2O_SAFE,MZ-N,_T,_T,_T,_T,_T,_T,_T,_T,Percent,2007,26.8
2007,G,SH_H2O_SAFE,MZ-Q,_T,_T,_T,_T,_T,_T,_T,_T,Percent,2007,18.3
2007,G,SH_H2O_SAFE,MZ-T,_T,_T,_T,_T,_T,_T,_T,_T,Percent,2007,33.8
2007,G,SH_H2O_SAFE,MZ-B,_T,_T,_T,_T,_T,_T,_T,_T,Percent,2007,29.3
2007,G,SH_H2O_SAFE,MZ-S,_T,_T,_T,_T,_T,_T,_T,_T,Percent,2007,48.8
2007,G,SH_H2O_SAFE,MZ-I,_T,_T,_T,_T,_T,_T,_T,_T,Percent,2007,34.9
2007,G,SH_H2O_SAFE,MZ-G,_T,_T,_T,_T,_T,_T,_T,_T,Percent,2007,56.3
2007,G,SH_H2O_SAFE,MZ-L,_T,_T,_T,_T,_T,_T,_T,_T,Percent,2007,72.4
2007,G,SH_H2O_SAFE,MZ6,_T,_T,_T,_T,_T,_T,_T,_T,Percent,2007,93.8
